SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
12316,7.55,0,174,259,13,17
12316,8,174,300,428,18,20
12316,8.05,474,300,438,26,41
12316,8.1,774,300,149,11,41
12316,8.15,1074,300,114,14,24
12316,8.2,1374,300,115,10,37
12316,8.25,1674,300,173,12,31
12316,8.3,1974,300,133,16,47
12316,8.35,2274,300,111,13,41
12316,8.4,2574,300,78,4,32
12316,8.45,2874,300,122,8,23
12316,8.5,3174,300,133,11,25
12316,8.55,3474,300,84,6,32
12316,9,3774,300,53,5,20
12316,9.05,4074,300,106,7,14
12316,9.1,4374,300,18,2,22
12316,9.15,4674,300,30,4,16
12316,9.2,4974,300,68,3,6
12316,9.25,5274,300,0,0,0
12316,9.3,5574,300,0,0,0
12316,9.35,5874,300,4,0,0
12316,9.4,6174,300,120,1,1
12316,9.45,6474,300,537,7,13
12316,9.5,6774,300,187,11,32
12316,9.55,7074,300,124,4,16
12316,10,7374,300,148,14,33
12316,10.05,7674,300,130,6,23
12316,10.1,7974,300,135,12,25
12316,10.15,8274,300,196,14,25
12316,10.2,8574,300,322,18,34
12316,10.25,8874,300,194,20,33
12316,10.3,9174,300,282,13,19
12316,10.35,9474,300,325,13,24
12316,10.4,9774,300,290,25,37
12316,10.45,10074,300,165,13,20
12316,10.5,10374,300,124,11,25
12316,10.55,10674,300,155,10,28
12316,11,10974,300,111,7,22
12316,11.05,11274,300,209,14,47
12316,11.1,11574,300,171,10,22
12316,11.15,11874,300,194,15,47
12316,11.2,12174,300,246,18,27
12316,11.25,12474,300,456,13,19
12316,11.3,12774,300,160,15,24
12316,11.35,13074,300,277,16,36
12316,11.4,13374,300,248,14,29
12316,11.45,13674,300,164,20,42
12316,11.5,13974,300,55,7,35
12316,11.55,14274,300,141,17,36
12316,12,14574,300,50,5,23
12316,12.05,14874,300,82,8,28
12316,12.1,15174,300,96,6,17
12316,12.15,15474,300,174,8,21
12316,12.2,15774,300,94,14,44
12316,12.25,16074,300,341,11,19
12316,12.3,16374,300,205,12,25
12316,12.35,16674,300,112,12,35
12316,12.4,16974,300,257,22,42
12316,12.45,17274,300,144,7,21
12316,12.5,17574,300,226,16,21
12316,12.55,17874,300,134,8,9
12316,13,18174,300,0,0,25
12316,13.05,18474,300,11,0,0
12316,13.1,18774,300,0,0,0
12316,13.15,19074,300,0,0,1
12316,13.2,19374,300,0,0,0
12316,13.25,19674,300,0,0,0
12316,13.3,19974,300,0,0,0
12316,13.35,20274,300,0,0,0
12316,13.4,20574,300,0,0,0
12316,13.45,20874,300,0,0,0
12316,13.5,21174,300,0,0,0
12316,13.55,21474,300,0,0,0
12316,14,21774,300,0,0,0
12316,14.05,22074,300,0,0,0
12316,14.1,22374,300,0,0,0
12316,14.15,22674,300,0,0,2
12316,14.2,22974,300,0,0,1
12316,14.25,23274,300,215,8,14
12316,14.3,23574,300,166,17,40
12316,14.35,23874,300,53,4,24
12316,14.4,24174,300,166,8,16
12316,14.45,24474,300,123,7,15
12316,14.5,24774,300,61,6,8
12316,14.55,25074,300,44,4,10
12316,15,25374,300,88,3,6
12316,15.05,25674,300,100,6,17
12316,15.1,25974,300,47,5,13
12316,15.15,26274,300,201,6,24
12316,15.2,26574,300,17,1,16
12316,15.25,26874,300,54,3,27
12316,15.3,27174,300,32,2,23
12316,15.35,27474,300,97,12,30
12316,15.4,27774,300,96,7,34
12316,15.45,28074,300,4,1,48
12316,15.5,28374,300,87,11,47
12316,15.55,28674,300,217,17,37
12316,16,28974,300,227,9,31
12316,16.05,29274,300,377,13,24
12316,16.1,29574,300,32,1,9
12316,16.15,29874,300,107,5,20
12316,16.2,30174,300,232,12,21
12316,16.25,30474,300,375,14,16
12316,16.3,30774,300,286,19,23
12316,16.35,31074,300,183,15,34
12316,16.4,31374,300,148,10,26
12316,16.45,31674,300,231,6,14
12316,16.5,31974,300,291,16,34
12316,16.55,32274,300,379,25,53
12316,17,32574,300,566,23,40
12316,17.05,32874,300,418,13,18
12316,17.1,33174,300,78,2,2
12316,17.15,33474,300,0,0,0
12316,17.2,33774,300,10,0,0
12316,17.25,34074,300,111,0,0
12316,17.3,34374,300,164,5,13
12316,17.35,34674,300,155,13,27
12316,17.4,34974,300,104,12,43
12316,17.45,35274,300,299,22,36
12316,17.5,35574,300,329,27,43
12316,17.55,35874,300,288,28,43
12316,18,36174,300,178,13,22
12316,18.05,36474,300,347,17,25
12316,18.1,36774,300,358,19,40
12316,18.15,37074,300,184,17,38
12316,18.2,37374,300,248,15,30
12316,18.25,37674,300,249,8,20
12316,18.3,37974,300,94,12,54
12316,18.35,38274,300,125,14,57
12316,18.4,38574,300,68,7,40
12316,18.45,38874,300,54,9,32
12316,18.5,39174,300,69,5,22
12316,18.55,39474,300,125,19,55
12316,19,39774,300,196,5,5
12316,19.05,40074,300,276,3,6
12316,19.1,40374,300,136,4,6
12316,19.15,40674,300,1,0,0
12316,19.2,40974,300,0,0,0
12316,19.25,41274,300,28,1,2
12316,19.3,41574,300,4,0,0
12316,19.35,41874,300,0,0,0
12316,19.4,42174,300,0,0,0
12316,19.45,42474,300,0,0,0
12316,19.5,42774,300,0,0,0
12316,19.55,43074,300,0,0,0
12316,20,43374,300,0,0,0
12316,20.05,43674,300,0,0,0
12316,20.1,43974,300,0,0,0
12316,20.15,44274,300,0,0,0
12316,20.2,44574,300,0,0,0
12316,20.25,44874,300,0,0,0
12316,20.3,45174,300,0,0,0
12316,20.35,45474,300,0,0,0
12316,20.4,45774,300,7,0,0
12316,20.45,46074,300,0,0,0
12316,20.5,46374,300,0,0,0
12316,20.55,46674,300,0,0,0
12316,21,46974,300,0,0,0
12316,21.05,47274,300,0,0,0
12316,21.1,47574,300,0,0,0
12316,21.15,47874,300,0,0,0
12316,21.2,48174,300,0,0,0
12316,21.25,48474,300,0,0,0
12316,21.3,48774,300,0,0,0
12316,21.35,49074,300,0,0,0
12316,21.4,49374,300,0,0,0
12316,21.45,49674,300,0,0,0
12316,21.5,49974,300,0,0,0
12316,21.55,50274,300,0,0,0
12316,22,50574,300,0,0,0
12316,22.05,50874,300,0,0,0
