X1,SUBJECT,SEX,ETHNICITY,MOM_YRS_EDU,SES,CDI_18C16C_WG,CDI_18C16C_WG_PERCENTILE,CDI_18C18C_WG,CDI_18C18C_WG_PERCENTILE,AWC1816,LENAPDEV18CTL316CCTCHr,CVC1816,AWCr_1818,CTCHr_1818,CVCHr_1818,ACC_1816,RT_1816,ACC_1818,RT18A18C_NO1RT
1,11003,1 female,A/W,16,59.5,45,28,62,25,2121.54,57.89,142.26,1963.63,85.15,252.16,0.65,672.17,0.47,830.93
2,11009,1 female,W,18,61,77,70,139,67,3044.41,107.08,294.29,1621.25,76.41,290.23,0.64,729.28,0.68,586.91
3,11011,0 male,W,16,63,0,5,32,15,1322.79,39.83,178.55,1074.25,36.88,134.88,0.58,984.86,0.51,883.3
4,11014,0 male,A/W,16,58,52,85,94,82,1722.31,76.74,186.2,1687.48,73.83,211.05,0.72,800,0.71,832.07
5,11035,0 male,W,16,63,34,71,84,58,2460.26,70.99,188.81,2000.46,83.73,244.72,0.66,961.42,0.75,822.13
6,11036,0 male,A,16,62,125,93,291,99,1973.41,104.32,360.22,2203.84,143.72,521.08,0.62,1023.47,0.73,797.57
7,11037,0 male,W,18,63.5,18,53,76,47,2368.75,42.36,125.55,2142.9,50.62,151.57,0.68,873.4,0.77,688.04
8,11070,1 female,W,18,66,4,13,60,24,2273.55,51.25,145.3,3232.53,102.7,235,0.65,714.95,0.74,447.17
9,11136,0 male,W,18,66,8,12,28,14,2001.81,126.56,294.71,1785.39,128.4,365.03,0.73,598.57,0.7,692.83
10,11141,1 female,W,18,63.5,41,63,70,31,1216.86,60.11,269.1,1625.75,71.81,301.85,0.76,743.48,0.72,632.28
11,11200,1 female,W,16,48,39,61,10,NA,428.69,28.03,256.3,810.77,61.12,365.9,0.65,774.79,0.55,905.15
12,11327,0 male,A/W,17,66,20,57,28,14,1428.57,57.15,147.39,924.62,40.35,168.5,0.57,900.08,0.49,983.35
13,11417,0 male,A/W,17,59.5,2,10,15,11,2146.4,91.13,288.64,1328.42,38.52,135.64,0.58,957.73,0.73,636.13
14,11611,0 male,W,14,57,19,55,31,15,1345.84,54.98,201.8,1507.96,62.24,224.74,0.6,848.15,0.63,742.56
