SUBJECT,hour_bin,unclean_total_awc,unclean_total_ctc,unclean_total_cvc,unclean_total_hrs,clean_total_awc,clean_total_ctc,clean_total_cvc,clean_total_hrs
11003,8,2108,108,260,0.9072222222222223,2108,108,260,0.9072222222222223
11003,9,2824,63,171,1,2824,63,171,1
11003,10,2790,50,135,1,2790,50,135,1
11003,11,2508,60,160,1,2508,60,160,1
11003,12,1664,34,68,0.5833333333333334,1664,34,68,0.5
11003,13,1000,47,104,0.75,961,46,101,0.5833333333333334
11003,14,1215,50,105,1,1215,50,105,1
11003,15,803,34,178,1,803,34,178,1
11003,16,3036,62,100,1,3036,62,100,1
11003,17,1930,47,82,1,1930,47,82,1
11003,18,1294,31,89,1,1294,31,89,1
11003,19,2690,36,66,0.8333333333333334,2690,36,65,0.6666666666666666
11009,7,1509,38,55,0.1897222222222222,1509,38,55,0.1897222222222222
11009,8,3317,121,321,1,3317,121,321,1
11009,9,2198,106,322,1,2198,106,322,1
11009,10,3670,109,229,1,3277,96,186,0.6666666666666666
11009,11,3402,142,387,1,3402,142,387,1
11009,12,3146,103,339,1,3146,103,339,1
11009,13,1032,37,86,0.5,1032,37,77,0.25
11009,14,672,52,243,1,641,49,109,0.3333333333333333
11009,15,905,54,350,1,815,45,215,0.5833333333333334
11009,16,1239,41,206,1,1239,41,206,1
11009,17,1938,51,138,1,1938,51,138,1
11009,18,3548,95,278,1,3548,95,278,1
11009,19,2250,74,121,0.5833333333333334,2169,69,96,0.25
11011,8,569,28,282,0.7536111111111111,569,28,282,0.75
11011,9,1879,49,191,1,1879,49,191,1
11011,10,588,29,161,1,588,29,161,1
11011,11,58,4,20,0.25,58,4,20,0.16666666666666666
11011,13,307,16,161,1,292,16,159,0.9166666666666666
11011,14,1287,84,273,1,1287,84,273,1
11011,15,824,44,205,0.9166666666666666,824,44,205,0.9166666666666666
11011,16,1685,57,195,1,1685,57,195,1
11011,17,2395,5,8,1,2395,5,8,1
11011,18,1174,49,189,1,1174,49,189,1
11011,19,2036,20,43,0.9166666666666666,2036,20,43,0.8333333333333334
11014,8,24,1,2,0.025555555555555557,24,1,2,0.025555555555555557
11014,9,2414,130,243,1,2414,130,243,1
11014,10,1673,87,200,1,1673,87,200,0.9166666666666666
11014,12,500,15,19,0.3333333333333333,500,15,19,0.25
11014,13,484,25,72,0.75,484,25,72,0.75
11014,14,1190,64,228,1,1190,64,228,1
11014,15,1541,86,216,1,1541,86,216,1
11014,16,401,14,46,0.6666666666666666,401,14,46,0.5833333333333334
11014,17,2358,95,252,1,2358,95,252,1
11014,18,1636,75,181,1,1636,75,181,1
