Subject,AWC,hour
11003.0,667.0,10.15
11003.0,662.0,19.3
11003.0,640.0,19.25
11003.0,560.0,16.2
11003.0,546.0,12.2
11003.0,465.0,9.2
11003.0,441.0,8.55
11003.0,423.0,19.2
11003.0,416.0,16.15
11003.0,368.0,9.5
11003.0,367.0,16.3
11003.0,365.0,12.05
11003.0,365.0,19.35
11003.0,354.0,11
11003.0,334.0,9.25
11003.0,324.0,9.15
11003.0,319.0,10.5
11003.0,295.0,16.05
11003.0,291.0,8.45
11003.0,290.0,18.25
11003.0,286.0,10.05
11003.0,286.0,16
11003.0,284.0,12.15
11003.0,283.0,17.25
11003.0,277.0,10.1
11003.0,276.0,11.45
11003.0,259.0,17.35
11003.0,258.0,8.5
11003.0,253.0,11.2
11003.0,253.0,16.4
11003.0,247.0,10.45
11003.0,241.0,16.25
11003.0,240.0,10.2
11003.0,236.0,10.4
11003.0,236.0,10.55
11003.0,235.0,11.25
11003.0,228.0,11.1
11003.0,225.0,11.55
11003.0,225.0,17.5
11003.0,223.0,17.2
11003.0,216.0,8.2
11003.0,213.0,19.1
11003.0,208.0,16.1
11003.0,204.0,9.45
11003.0,202.0,9.3
11003.0,202.0,14
11003.0,200.0,13.45
11003.0,200.0,16.35
11003.0,200.0,19.05
11003.0,197.0,9
11003.0,196.0,8.4
11003.0,192.0,11.4
11003.0,192.0,13.35
11003.0,189.0,17.45
11003.0,189.0,17.55
11003.0,188.0,12
11003.0,186.0,18.15
11003.0,185.0,14.15
11003.0,184.0,9.55
11003.0,184.0,19.15
11003.0,183.0,11.05
11003.0,178.0,17.15
11003.0,173.0,9.4
11003.0,172.0,14.5
11003.0,165.0,11.15
11003.0,161.0,13.3
11003.0,161.0,13.4
11003.0,161.0,15
11003.0,155.0,9.1
11003.0,155.0,11.35
11003.0,155.0,15.4
11003.0,155.0,17.3
11003.0,147.0,8.35
11003.0,145.0,12.1
11003.0,143.0,8.3
11003.0,138.0,11.3
11003.0,137.0,9.35
11003.0,136.0,12.25
11003.0,136.0,18.05
11003.0,134.0,8.25
11003.0,132.0,14.4
11003.0,130.0,17.4
11003.0,126.0,18
11003.0,123.0,13.55
11003.0,122.0,14.55
11003.0,118.0,8.15
11003.0,117.0,18.35
11003.0,114.0,16.45
11003.0,113.0,14.35
11003.0,113.0,18.2
11003.0,104.0,11.5
11003.0,98.0,8.05
11003.0,97.0,10.3
11003.0,97.0,18.4
11003.0,95.0,14.1
11003.0,94.0,15.55
11003.0,90.0,15.25
11003.0,86.0,14.05
11003.0,86.0,15.3
11003.0,83.0,10.25
11003.0,83.0,14.45
11003.0,81.0,9.05
11003.0,79.0,18.3
11003.0,73.0,10
11003.0,72.0,18.45
11003.0,69.0,15.35
11003.0,66.0,8.1
11003.0,66.0,13.5
11003.0,65.0,16.5
11003.0,58.0,13.25
11003.0,49.0,18.55
11003.0,44.0,15.2
11003.0,44.0,17.05
11003.0,38.0,15.45
11003.0,37.0,15.5
11003.0,33.0,17.1
11003.0,31.0,16.55
11003.0,29.0,10.35
11003.0,24.0,18.1
11003.0,22.0,17
11003.0,21.0,15.15
11003.0,16.0,14.2
11003.0,8.0,14.25
11003.0,8.0,15.05
11003.0,5.0,18.5
11003.0,3.0,19
11003.0,1.0,14.3
11003.0,0.0,15.1
11003.0,-1,0
11003.0,-1,0.05
11003.0,-1,0.1
11003.0,-1,0.15000000000000002
11003.0,-1,0.2
11003.0,-1,0.25
11003.0,-1,0.30000000000000004
11003.0,-1,0.35000000000000003
11003.0,-1,0.4
11003.0,-1,0.45
11003.0,-1,0.5
11003.0,-1,0.55
11003.0,-1,1
11003.0,-1,1.05
11003.0,-1,1.1
11003.0,-1,1.15
11003.0,-1,1.2
11003.0,-1,1.25
11003.0,-1,1.3
11003.0,-1,1.35
11003.0,-1,1.4
11003.0,-1,1.45
11003.0,-1,1.5
11003.0,-1,1.55
11003.0,-1,2
11003.0,-1,2.05
11003.0,-1,2.1
11003.0,-1,2.15
11003.0,-1,2.2
11003.0,-1,2.25
11003.0,-1,2.3
11003.0,-1,2.35
11003.0,-1,2.4
11003.0,-1,2.45
11003.0,-1,2.5
11003.0,-1,2.55
11003.0,-1,3
11003.0,-1,3.05
11003.0,-1,3.1
11003.0,-1,3.15
11003.0,-1,3.2
11003.0,-1,3.25
11003.0,-1,3.3
11003.0,-1,3.35
11003.0,-1,3.4
11003.0,-1,3.45
11003.0,-1,3.5
11003.0,-1,3.55
11003.0,-1,4
11003.0,-1,4.05
11003.0,-1,4.1
11003.0,-1,4.15
11003.0,-1,4.2
11003.0,-1,4.25
11003.0,-1,4.3
11003.0,-1,4.35
11003.0,-1,4.4
11003.0,-1,4.45
11003.0,-1,4.5
11003.0,-1,4.55
11003.0,-1,5
11003.0,-1,5.05
11003.0,-1,5.1
11003.0,-1,5.15
11003.0,-1,5.2
11003.0,-1,5.25
11003.0,-1,5.3
11003.0,-1,5.35
11003.0,-1,5.4
11003.0,-1,5.45
11003.0,-1,5.5
11003.0,-1,5.55
11003.0,-1,6
11003.0,-1,6.05
11003.0,-1,6.1
11003.0,-1,6.15
11003.0,-1,6.2
11003.0,-1,6.25
11003.0,-1,6.3
11003.0,-1,6.35
11003.0,-1,6.4
11003.0,-1,6.45
11003.0,-1,6.5
11003.0,-1,6.55
11003.0,-1,7
11003.0,-1,7.05
11003.0,-1,7.1
11003.0,-1,7.15
11003.0,-1,7.2
11003.0,-1,7.25
11003.0,-1,7.3
11003.0,-1,7.35
11003.0,-1,7.4
11003.0,-1,7.45
11003.0,-1,7.5
11003.0,-1,7.55
11003.0,-1,8
11003.0,-1,12.3
11003.0,-1,12.35
11003.0,-1,12.4
11003.0,-1,12.45
11003.0,-1,12.5
11003.0,-1,12.55
11003.0,-1,13
11003.0,-1,13.05
11003.0,-1,13.1
11003.0,-1,13.15
11003.0,-1,13.2
11003.0,-1,19.4
11003.0,-1,19.45
11003.0,-1,19.5
11003.0,-1,19.55
11003.0,-1,20
11003.0,-1,20.05
11003.0,-1,20.1
11003.0,-1,20.15
11003.0,-1,20.2
11003.0,-1,20.25
11003.0,-1,20.3
11003.0,-1,20.35
11003.0,-1,20.4
11003.0,-1,20.45
11003.0,-1,20.5
11003.0,-1,20.55
11003.0,-1,21
11003.0,-1,21.05
11003.0,-1,21.1
11003.0,-1,21.15
11003.0,-1,21.2
11003.0,-1,21.25
11003.0,-1,21.3
11003.0,-1,21.35
11003.0,-1,21.4
11003.0,-1,21.45
11003.0,-1,21.5
11003.0,-1,21.55
11003.0,-1,22
11003.0,-1,22.05
11003.0,-1,22.1
