subject,prop,time
11003.0,0.992,10.15
11003.0,0.966,19.3
11003.0,0.875,19.25
11003.0,0.975,16.2
11003.0,0.851,12.2
11003.0,0.948,9.2
11003.0,0.959,8.55
11003.0,0.983,19.2
11003.0,0.884,16.15
11003.0,0.997,9.5
11003.0,0.994,16.3
11003.0,1.0,12.05
11003.0,0.969,19.35
11003.0,0.943,11
11003.0,0.97,9.25
11003.0,0.984,9.15
11003.0,0.924,10.5
11003.0,0.986,16.05
11003.0,0.996,8.45
11003.0,0.986,18.25
11003.0,1.0,10.05
11003.0,0.993,16
11003.0,0.996,12.15
11003.0,0.978,17.25
11003.0,0.996,10.1
11003.0,0.938,11.45
11003.0,0.996,17.35
11003.0,0.98,8.5
11003.0,1.0,11.2
11003.0,0.976,16.4
11003.0,0.975,10.45
11003.0,0.995,16.25
11003.0,0.983,10.2
11003.0,1.0,10.4
11003.0,0.995,10.55
11003.0,0.97,11.25
11003.0,0.986,11.1
11003.0,1.0,11.55
11003.0,0.991,17.5
11003.0,0.968,17.2
11003.0,0.986,8.2
11003.0,0.976,19.1
11003.0,0.98,16.1
11003.0,0.99,9.45
11003.0,1.0,9.3
11003.0,0.99,14
11003.0,1.0,13.45
11003.0,1.0,16.35
11003.0,0.985,19.05
11003.0,0.994,9
11003.0,0.979,8.4
11003.0,1.0,11.4
11003.0,0.984,13.35
11003.0,1.0,17.45
11003.0,0.994,17.55
11003.0,0.989,12
11003.0,0.994,18.15
11003.0,0.994,14.15
11003.0,1.0,9.55
11003.0,0.994,19.15
11003.0,0.972,11.05
11003.0,0.971,17.15
11003.0,0.994,9.4
11003.0,0.959,14.5
11003.0,0.975,11.15
11003.0,1.0,13.3
11003.0,1.0,13.4
11003.0,0.962,15
11003.0,1.0,9.1
11003.0,1.0,11.35
11003.0,1.0,15.4
11003.0,0.948,17.3
11003.0,0.986,8.35
11003.0,0.986,12.1
11003.0,0.965,8.3
11003.0,0.992,11.3
11003.0,0.992,9.35
11003.0,1.0,12.25
11003.0,0.985,18.05
11003.0,0.985,8.25
11003.0,0.984,14.4
11003.0,0.969,17.4
11003.0,0.976,18
11003.0,0.991,13.55
11003.0,0.967,14.55
11003.0,0.991,8.15
11003.0,0.974,18.35
11003.0,0.991,16.45
11003.0,1.0,14.35
11003.0,0.92,18.2
11003.0,0.942,11.5
11003.0,0.989,8.05
11003.0,1.0,10.3
11003.0,0.979,18.4
11003.0,0.989,14.1
11003.0,0.957,15.55
11003.0,0.955,15.25
11003.0,1.0,14.05
11003.0,0.965,15.3
11003.0,1.0,10.25
11003.0,0.975,14.45
11003.0,0.975,9.05
11003.0,0.924,18.3
11003.0,0.986,10
11003.0,0.958,18.45
11003.0,0.956,15.35
11003.0,1.0,8.1
11003.0,0.984,13.5
11003.0,0.892,16.5
11003.0,0.844,13.25
11003.0,0.897,18.55
11003.0,1.0,15.2
11003.0,0.863,17.05
11003.0,0.973,15.45
11003.0,0.891,15.5
11003.0,0.939,17.1
11003.0,0.935,16.55
11003.0,0.827,10.35
11003.0,0.916,18.1
11003.0,0.954,17
11003.0,0.761,15.15
11003.0,0.5,14.2
11003.0,1.0,14.25
11003.0,0.625,15.05
11003.0,0.6,18.5
11003.0,0.333,19
11009.0,0.948,10.35
11009.0,0.909,19.1
11009.0,0.933,7.55
11009.0,0.957,18
11009.0,0.982,19.05
11009.0,0.992,18.55
11009.0,0.992,19
11009.0,0.935,12.4
11009.0,0.998,8
11009.0,0.944,11.2
11009.0,0.968,7.5
11009.0,0.991,11.15
11009.0,0.972,8.5
11009.0,0.901,12.45
11009.0,0.93,15.35
11009.0,0.995,10.4
11009.0,0.973,13
11009.0,0.954,8.4
11009.0,0.947,9.55
11009.0,0.992,10.3
11009.0,0.956,16.35
11009.0,0.994,12.3
11009.0,0.989,18.35
11009.0,0.983,12.25
11009.0,0.989,17.55
11009.0,0.994,10
11009.0,0.988,18.5
11009.0,0.997,13.55
11009.0,0.994,18.05
11009.0,0.997,10.55
11009.0,1.0,11
11009.0,0.985,18.25
11009.0,0.953,11.1
11009.0,0.984,8.3
11009.0,0.981,8.45
11009.0,0.968,10.45
11009.0,0.961,12.2
11009.0,0.973,10.25
11009.0,0.996,11.4
11009.0,0.979,8.05
11009.0,0.989,11.5
11009.0,0.967,17.4
11009.0,0.981,11.05
11009.0,0.992,9.45
11009.0,0.965,8.55
11009.0,0.98,11.45
11009.0,0.987,9.5
11009.0,0.983,12.55
11009.0,0.991,14.15
11009.0,0.995,18.2
11009.0,0.953,14
11009.0,0.991,17.3
11009.0,0.977,13.05
11009.0,1.0,9
11009.0,0.99,10.5
11009.0,0.986,17.25
11009.0,0.953,17.45
11009.0,0.98,17.5
11009.0,0.975,16.15
11009.0,1.0,15.4
11009.0,0.928,16.3
11009.0,0.967,9.25
11009.0,0.994,12.05
11009.0,1.0,9.2
11009.0,1.0,11.25
11009.0,1.0,18.15
11009.0,0.988,18.3
11009.0,0.971,7.45
11009.0,0.958,9.3
11009.0,0.993,16.2
11009.0,0.968,11.55
11009.0,0.98,12.5
11009.0,0.993,9.15
11009.0,0.96,17.35
11009.0,0.91,8.25
11009.0,0.984,12
11009.0,0.938,8.35
11009.0,0.991,14.05
11009.0,0.991,16.25
11009.0,0.917,12.35
11009.0,0.909,9.05
11009.0,0.96,17.15
11009.0,0.979,8.1
11009.0,0.957,17
11009.0,0.989,9.1
11009.0,0.966,15.25
11009.0,0.931,9.4
11009.0,1.0,8.2
11009.0,0.913,18.1
11009.0,0.864,9.35
11009.0,0.843,18.45
11009.0,0.944,11.3
11009.0,0.96,16.1
11009.0,0.959,8.15
11009.0,0.893,11.35
11009.0,0.976,17.1
11009.0,0.951,16.05
11009.0,0.948,12.1
11009.0,0.783,14.1
11009.0,0.965,16.55
11009.0,0.821,17.2
11009.0,0.956,16
11009.0,0.954,12.15
11009.0,0.761,15.55
11009.0,0.75,15.5
11009.0,0.583,16.45
11009.0,0.857,17.05
11009.0,0.5,16.5
11009.0,0.333,15.3
11011.0,0.938,9.2
11011.0,0.929,9.25
11011.0,0.952,19.25
11011.0,0.781,19.2
11011.0,0.956,14.55
11011.0,0.856,19.05
