SUBJECT,nclusters,avgclustersize
11141,16,1.9375
13142,31,1.741935484
12971,0,0
12390,6,4.166666667
11611,17,1.705882353
12398,29,1.482758621
12717,4,3.75
12316,35,1.942857143
13151,17,1.529411765
12608,10,4.5
11035,15,2.866666667
13128,26,1.846153846
11136,25,2.08
13304,0,0
13293,21,2.380952381
12612,3,8.333333333
12520,17,1.588235294
911429,19,2.052631579
12297,20,1.35
12683,33,1.545454545
13604,0,0
11037,5,3.8
11036,28,1.892857143
13044,7,2.428571429
12547,31,1.451612903
12878,20,2
13131,0,0
11200,0,0
12828,28,1.857142857
911401,0,0
911343,5,3
12409,8,3.25
13326,0,0
13191,17,1.647058824
13503,11,3.454545455
13648,23,1.565217391
12095,0,0
13079,26,1.961538462
11417,19,2.105263158
11003,10,2.6
13081,17,2.529411765
11011,2,8.5
13061,23,2.173913043
13628,0,0
12959,28,1.571428571
12417,0,0
13069,7,2.428571429
11009,33,1.909090909
11655,11,2
12840,0,0
11743,9,3.444444444
12737,3,4
11014,19,1.578947368
11070,16,1.8125
11327,13,2.153846154
12830,19,1.894736842
