SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
11003,8.3,1466,300,143,12,35
11003,8.35,1766,300,147,9,33
11003,8.4,2066,300,196,9,25
11003,8.45,2366,300,291,17,30
11003,8.5,2666,300,258,16,40
11003,8.55,2966,300,441,19,33
11003,9,3266,300,197,15,42
11003,9.1,3866,300,155,7,33
11003,10.2,8066,300,240,13,22
11003,11.2,11666,300,253,12,26
11003,12,14066,300,188,10,24
11003,13.3,19466,300,161,8,22
11003,14,21266,300,202,17,23
11003,15.4,27266,300,155,7,19
11003,17.25,33566,300,283,8,19
11003,19.05,39566,300,200,9,19
