SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
11036,8.05,2168,300,93,13,44
11036,8.1,2468,300,108,11,33
11036,8.15,2768,300,290,20,44
11036,8.2,3068,300,173,16,41
11036,8.3,3668,300,95,10,41
11036,8.45,4568,300,114,12,53
11036,8.5,4868,300,117,7,22
11036,9.15,6368,300,376,14,37
11036,9.2,6668,300,90,7,30
11036,9.3,7268,300,218,9,22
11036,9.35,7568,300,369,11,17
11036,9.5,8468,300,225,8,14
11036,9.55,8768,300,389,11,25
11036,10,9068,300,395,9,17
11036,10.05,9368,300,353,9,19
11036,10.1,9668,300,483,8,12
11036,10.15,9968,300,309,6,16
11036,10.25,10568,300,316,10,16
11036,10.3,10868,300,174,8,28
11036,10.35,11168,300,275,8,25
11036,10.4,11468,300,361,15,29
11036,10.45,11768,300,232,9,44
11036,10.5,12068,300,240,5,30
11036,10.55,12368,300,226,15,50
11036,11,12668,300,235,18,50
11036,11.05,12968,300,119,6,24
11036,11.25,14168,300,150,18,60
11036,11.3,14468,300,130,14,36
11036,11.35,14768,300,390,20,23
11036,11.4,15068,300,352,15,29
11036,11.45,15368,300,275,24,49
11036,11.5,15668,300,149,9,38
11036,11.55,15968,300,161,11,20
11036,14.05,23768,300,197,23,67
11036,14.1,24068,300,113,13,42
11036,14.15,24368,300,180,16,36
11036,14.3,25268,300,99,7,26
11036,14.35,25568,300,91,9,31
11036,14.4,25868,300,130,14,28
11036,14.45,26168,300,121,9,33
11036,15.05,27368,300,131,15,54
11036,15.1,27668,300,147,14,43
11036,15.15,27968,300,193,15,44
11036,15.2,28268,300,135,6,34
11036,15.35,29168,300,189,4,27
11036,16.05,30968,300,177,14,47
11036,16.15,31568,300,126,10,55
11036,16.2,31868,300,185,13,45
11036,16.55,33968,300,258,18,40
11036,17,34268,300,256,17,53
11036,17.05,34568,300,243,20,31
11036,17.1,34868,300,329,17,30
11036,17.15,35168,300,99,4,21
11036,17.2,35468,300,115,10,23
11036,17.25,35768,300,153,12,32
11036,17.3,36068,300,96,5,54
11036,17.35,36368,300,155,12,31
11036,17.4,36668,300,198,20,44
11036,17.55,37568,300,222,6,36
11036,18,37868,300,172,22,64
11036,18.2,39068,300,141,17,56
11036,18.25,39368,300,145,15,39
11036,18.35,39968,300,92,14,65
11036,18.5,40868,300,381,7,13
11036,19,41468,300,168,13,27
