SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
12683,6.4,0,111,0,0,0
12683,6.45,111,300,52,0,0
12683,6.5,411,300,21,0,1
12683,6.55,711,300,38,1,1
12683,7,1011,300,118,13,31
12683,7.05,1311,300,218,25,48
12683,7.1,1611,300,245,6,12
12683,7.15,1911,300,295,5,12
12683,7.2,2211,300,213,9,31
12683,7.25,2511,300,167,10,16
12683,7.3,2811,300,191,5,9
12683,7.35,3111,300,162,4,8
12683,7.4,3411,300,42,2,35
12683,7.45,3711,300,83,5,19
12683,7.5,4011,300,189,20,49
12683,7.55,4311,300,98,7,18
12683,8,4611,300,47,2,23
12683,8.05,4911,300,90,10,49
12683,8.1,5211,300,109,12,33
12683,8.15,5511,300,34,4,51
12683,8.2,5811,300,40,7,37
12683,8.25,6111,300,43,2,15
12683,8.3,6411,300,0,0,4
12683,8.35,6711,300,101,2,11
12683,8.4,7011,300,34,2,15
12683,8.45,7311,300,0,0,5
12683,8.5,7611,300,133,12,33
12683,8.55,7911,300,12,0,7
12683,9,8211,300,30,2,9
12683,9.05,8511,300,190,5,9
12683,9.1,8811,300,431,9,16
12683,9.15,9111,300,199,8,27
12683,9.2,9411,300,697,12,14
12683,9.25,9711,300,299,7,12
12683,9.3,10011,300,442,11,24
12683,9.35,10311,300,64,0,8
12683,9.4,10611,300,96,4,65
12683,9.45,10911,300,100,4,17
12683,9.5,11211,300,140,6,20
12683,9.55,11511,300,109,3,9
12683,10,11811,300,304,9,15
12683,10.05,12111,300,163,7,14
12683,10.1,12411,300,131,8,26
12683,10.15,12711,300,72,3,13
12683,10.2,13011,300,22,1,21
12683,10.25,13311,300,177,11,44
12683,10.3,13611,300,20,1,11
12683,10.35,13911,300,7,0,29
12683,10.4,14211,300,100,7,34
12683,10.45,14511,300,254,13,28
12683,10.5,14811,300,191,10,34
12683,10.55,15111,300,73,4,28
12683,11,15411,300,49,3,14
12683,11.05,15711,300,232,13,44
12683,11.1,16011,300,34,1,26
12683,11.15,16311,300,50,0,31
12683,11.2,16611,300,241,9,32
12683,11.25,16911,300,390,20,41
12683,11.3,17211,300,117,4,14
12683,11.35,17511,300,229,5,9
12683,11.4,17811,300,142,14,48
12683,11.45,18111,300,260,24,54
12683,11.5,18411,300,118,8,37
12683,11.55,18711,300,12,1,16
12683,12,19011,300,11,0,11
12683,12.05,19311,300,38,3,33
12683,12.1,19611,300,82,2,23
12683,12.15,19911,300,200,9,27
12683,12.2,20211,300,50,2,32
12683,12.25,20511,300,85,4,26
12683,12.3,20811,300,336,29,54
12683,12.35,21111,300,263,9,35
12683,12.4,21411,300,62,0,2
12683,12.45,21711,300,38,1,8
12683,12.5,22011,300,46,0,0
12683,12.55,22311,300,36,1,3
12683,13,22611,300,38,0,10
12683,13.05,22911,300,119,7,30
12683,13.1,23211,300,0,0,3
12683,13.15,23511,300,0,0,18
12683,13.2,23811,300,28,3,15
12683,13.25,24111,300,222,12,37
12683,13.3,24411,300,364,19,33
12683,13.35,24711,300,276,9,24
12683,13.4,25011,300,77,0,1
12683,13.45,25311,300,0,0,4
12683,13.5,25611,300,1,0,6
12683,13.55,25911,300,41,0,2
12683,14,26211,300,94,1,5
12683,14.05,26511,300,51,2,2
12683,14.1,26811,300,3,0,0
12683,14.15,27111,300,25,0,0
12683,14.2,27411,300,236,0,0
12683,14.25,27711,300,86,0,0
12683,14.3,28011,300,2,0,0
12683,14.35,28311,300,79,0,0
12683,14.4,28611,300,27,0,0
12683,14.45,28911,300,19,0,1
12683,14.5,29211,300,43,1,3
12683,14.55,29511,300,97,1,1
12683,15,29811,300,77,0,0
12683,15.05,30111,300,78,0,0
12683,15.1,30411,300,53,0,1
12683,15.15,30711,300,105,0,1
12683,15.2,31011,300,69,3,5
12683,15.25,31311,300,99,2,2
12683,15.3,31611,300,228,5,13
12683,15.35,31911,300,174,8,18
12683,15.4,32211,300,41,2,5
12683,15.45,32511,300,0,0,1
12683,15.5,32811,300,0,0,6
12683,15.55,33111,300,30,3,30
12683,16,33411,300,43,4,9
12683,16.05,33711,300,0,0,4
12683,16.1,34011,300,222,13,31
12683,16.15,34311,300,321,19,49
12683,16.2,34611,300,333,28,67
12683,16.25,34911,300,292,4,7
12683,16.3,35211,300,211,1,5
12683,16.35,35511,300,321,12,39
12683,16.4,35811,300,464,7,18
12683,16.45,36111,300,207,10,20
12683,16.5,36411,300,13,0,5
12683,16.55,36711,300,0,0,0
12683,17,37011,300,28,3,8
12683,17.05,37311,300,146,12,92
12683,17.1,37611,300,34,2,41
12683,17.15,37911,300,175,8,34
12683,17.2,38211,300,49,2,11
12683,17.25,38511,300,74,2,11
12683,17.3,38811,300,134,13,59
12683,17.35,39111,300,78,3,54
12683,17.4,39411,300,0,0,0
12683,17.45,39711,300,0,0,0
12683,17.5,40011,300,28,0,0
12683,17.55,40311,300,377,1,2
12683,18,40611,300,309,2,4
12683,18.05,40911,300,156,1,4
12683,18.1,41211,300,131,0,0
12683,18.15,41511,300,336,9,16
12683,18.2,41811,300,331,13,28
12683,18.25,42111,300,5,1,10
12683,18.3,42411,300,289,22,50
12683,18.35,42711,300,550,33,42
12683,18.4,43011,300,111,3,13
12683,18.45,43311,300,166,4,18
12683,18.5,43611,300,404,26,43
12683,18.55,43911,300,349,9,22
12683,19,44211,300,280,4,4
12683,19.05,44511,300,134,7,32
12683,19.1,44811,300,109,1,3
12683,19.15,45111,300,123,5,12
12683,19.2,45411,300,63,4,14
12683,19.25,45711,300,155,5,12
12683,19.3,46011,300,404,2,3
12683,19.35,46311,300,206,1,1
12683,19.4,46611,300,466,13,14
12683,19.45,46911,300,215,12,23
12683,19.5,47211,300,326,11,22
12683,19.55,47511,300,531,8,12
12683,20,47811,300,225,19,39
12683,20.05,48111,300,82,7,44
12683,20.1,48411,300,456,13,19
