SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
13061,9.4,1378,300,502,18,28
13061,12.3,11578,300,607,15,24
13061,12.35,11878,300,430,10,21
13061,13.05,13678,300,620,29,43
13061,13.1,13978,300,611,18,30
13061,13.15,14278,300,448,10,21
13061,13.35,15478,300,424,14,26
13061,13.55,16678,300,505,19,35
13061,14,16978,300,458,13,29
13061,14.2,18178,300,492,11,20
13061,14.35,19078,300,440,20,38
13061,17.05,28078,300,376,14,30
13061,17.25,29278,300,384,16,32
13061,19.15,35878,300,452,16,27
13061,19.2,36178,300,430,17,33
13061,20.35,40678,300,546,16,20
13061,20.4,40978,300,452,24,36
13061,20.45,41278,300,367,27,41
13061,20.55,41878,300,367,11,21
13061,21.4,44578,300,379,17,36
