SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
13191,6.45,174,174,54,0,0
13191,6.5,474,300,84,3,10
13191,6.55,774,300,36,1,10
13191,7,1074,300,80,4,18
13191,7.05,1374,300,55,2,5
13191,7.1,1674,300,94,2,5
13191,7.15,1974,300,179,8,10
13191,7.2,2274,300,300,11,16
13191,7.25,2574,300,262,4,7
13191,7.3,2874,300,225,0,0
13191,7.35,3174,300,36,2,7
13191,7.4,3474,300,102,7,20
13191,7.45,3774,300,161,6,10
13191,7.5,4074,300,48,1,2
13191,7.55,4374,300,242,3,6
13191,8,4674,300,104,1,7
13191,8.05,4974,300,158,9,20
13191,8.1,5274,300,234,4,6
13191,8.15,5574,300,193,7,15
13191,8.2,5874,300,194,9,18
13191,8.25,6174,300,227,7,17
13191,8.3,6474,300,129,7,27
13191,8.35,6774,300,50,0,27
13191,8.4,7074,300,15,1,18
13191,8.45,7374,300,65,1,13
13191,8.5,7674,300,56,4,19
13191,8.55,7974,300,261,21,64
13191,9,8274,300,336,17,52
13191,9.05,8574,300,194,4,9
13191,9.1,8874,300,221,19,50
13191,9.15,9174,300,150,9,34
13191,9.2,9474,300,166,14,62
13191,9.25,9774,300,101,18,86
13191,9.3,10074,300,28,8,28
13191,9.35,10374,300,140,22,65
13191,9.4,10674,300,52,9,44
13191,9.45,10974,300,81,6,12
13191,9.5,11274,300,185,2,5
13191,9.55,11574,300,167,11,28
13191,10,11874,300,46,1,31
13191,10.05,12174,300,43,1,9
13191,10.1,12474,300,89,1,9
13191,10.15,12774,300,93,2,10
13191,10.2,13074,300,28,0,3
13191,10.25,13374,300,82,1,2
13191,10.3,13674,300,164,2,4
13191,10.35,13974,300,224,4,10
13191,10.4,14274,300,73,0,12
13191,10.45,14574,300,4,0,7
13191,10.5,14874,300,66,1,24
13191,10.55,15174,300,6,0,19
13191,11,15474,300,7,0,8
13191,11.05,15774,300,108,1,3
13191,11.1,16074,300,252,0,0
13191,11.15,16374,300,107,3,7
13191,11.2,16674,300,55,1,3
13191,11.25,16974,300,142,2,4
13191,11.3,17274,300,122,3,7
13191,11.35,17574,300,185,4,14
13191,11.4,17874,300,105,2,7
13191,11.45,18174,300,39,1,8
13191,11.5,18474,300,156,1,2
13191,14.2,27474,300,83,6,11
13191,14.25,27774,300,289,14,41
13191,14.3,28074,300,227,4,10
13191,14.35,28374,300,357,10,20
13191,14.4,28674,300,541,7,13
13191,14.45,28974,300,126,0,0
13191,14.5,29274,300,144,0,0
13191,14.55,29574,300,221,6,11
13191,15,29874,300,147,2,2
13191,15.05,30174,300,45,2,4
13191,15.1,30474,300,77,1,3
13191,15.15,30774,300,106,0,1
13191,15.2,31074,300,41,0,6
13191,15.25,31374,300,43,0,4
13191,15.3,31674,300,98,1,4
13191,15.35,31974,300,359,13,23
13191,15.4,32274,300,236,3,6
13191,15.45,32574,300,255,0,4
13191,15.5,32874,300,137,0,3
13191,15.55,33174,300,0,0,17
13191,16,33474,300,36,2,7
13191,16.05,33774,300,93,6,10
13191,16.1,34074,300,71,0,6
13191,16.15,34374,300,76,4,6
13191,16.2,34674,300,209,5,13
13191,16.25,34974,300,149,3,8
13191,16.3,35274,300,194,4,6
13191,16.35,35574,300,31,3,10
13191,16.4,35874,300,113,7,33
13191,16.45,36174,300,170,5,12
13191,16.5,36474,300,107,1,1
13191,16.55,36774,300,11,0,1
13191,17,37074,300,72,3,7
13191,17.05,37374,300,187,0,5
13191,17.1,37674,300,24,1,5
13191,17.15,37974,300,51,0,1
13191,17.2,38274,300,6,0,14
13191,17.25,38574,300,7,0,17
13191,17.3,38874,300,0,0,0
13191,17.35,39174,300,28,0,2
13191,17.4,39474,300,92,1,15
13191,17.45,39774,300,213,6,10
13191,17.5,40074,300,81,2,6
13191,17.55,40374,300,148,1,2
13191,18,40674,300,30,1,6
13191,18.05,40974,300,116,0,1
13191,18.1,41274,300,136,6,16
13191,18.15,41574,300,337,3,6
13191,18.2,41874,300,478,9,17
13191,18.25,42174,300,161,5,9
13191,18.3,42474,300,157,4,7
13191,18.35,42774,300,197,2,2
13191,18.4,43074,300,114,1,7
13191,18.45,43374,300,101,6,15
13191,18.5,43674,300,138,6,11
13191,18.55,43974,300,8,0,13
13191,19,44274,300,126,4,14
13191,19.05,44574,300,334,4,6
13191,19.1,44874,300,165,4,10
13191,19.15,45174,300,118,4,24
13191,19.2,45474,300,199,3,11
13191,19.25,45774,300,310,9,17
13191,19.3,46074,300,94,3,7
13191,19.35,46374,300,0,0,0
13191,19.4,46674,300,222,3,5
13191,19.45,46974,300,284,3,5
13191,19.5,47274,300,138,2,12
13191,19.55,47574,300,128,3,4
13191,20,47874,300,313,16,46
13191,20.05,48174,300,138,5,20
13191,20.1,48474,300,384,17,35
13191,20.15,48774,300,192,2,24
13191,20.2,49074,300,81,2,8
13191,20.25,49374,300,180,7,19
13191,20.3,49674,300,287,12,20
13191,20.35,49974,300,247,8,15
13191,20.4,50274,300,167,5,19
13191,20.45,50574,300,77,4,10
13191,20.5,50874,300,0,0,1
