SUBJECT,nclusters,avgClustersize,minClusterAWC,maxClusterAWC,avgClusterDensity
11141,8,1.5,22.8,117.2,56.025000000000006
13142,9,1.4444444444444444,40.6,107.6,75.71111111111111
12971,6,1.5,17.8,223.0,65.60000000000001
12390,4,2.0,35.4,255.79999999999998,129.75
11611,8,1.625,28.8,219.8,80.25
12398,6,1.5,42.0,132.8,73.76666666666667
12717,1,4.0,121.2,121.2,121.2
12316,8,1.5,43.4,189.0,97.675
13151,5,1.6,37.2,219.8,118.64000000000001
12608,9,1.6666666666666667,36.8,364.4,101.2
11035,5,1.6,43.8,176.2,100.28
13128,3,2.3333333333333335,86.4,207.8,137.66666666666666
11136,7,1.4285714285714286,60.8,160.4,98.54285714285716
13304,6,1.6666666666666667,26.2,193.39999999999998,82.93333333333332
13293,7,1.4285714285714286,73.6,242.0,132.0285714285714
12612,6,1.5,22.4,125.8,59.1
12520,4,2.0,51.0,229.79999999999998,135.04999999999998
911429,7,1.5714285714285714,40.6,162.4,74.82857142857142
12297,4,1.75,25.8,183.6,92.94999999999999
12683,8,1.5,43.6,248.60000000000002,98.475
13604,5,1.6,19.4,57.0,33.8
11037,0,0,0,0,0
11036,6,1.6666666666666667,34.4,147.2,73.96666666666667
13044,5,1.8,25.0,129.2,71.72415584415583
12547,9,1.3333333333333333,51.6,160.2,85.02222222222221
12878,6,1.5,30.2,180.6,77.36666666666666
13131,4,1.75,12.6,49.199999999999996,31.0
11200,3,2.0,14.4,62.2,32.46666666666667
12828,5,1.8,47.8,178.6,109.23999999999998
911401,2,2.5,27.0422535211268,201.6,114.3211267605634
911343,7,1.7142857142857142,16.0,128.4,52.31428571428571
12409,2,2.5,85.0,112.6,98.8
13326,5,1.8,25.4,66.2,37.24
13191,7,1.5714285714285714,52.2,139.4,85.48571428571428
13503,4,1.75,65.4,132.0,101.69999999999999
13648,8,1.75,36.0,485.0,129.7
12095,4,1.75,34.8,75.80000000000001,55.25
13079,5,1.8,36.8,278.8,93.00000000000001
11417,5,1.6,32.4,173.4,78.00000000000001
11003,3,2.0,40.0,198.0,109.66666666666667
13081,7,1.5714285714285714,39.6,111.8,88.65714285714284
11011,6,1.6666666666666667,23.8,133.4,57.6
13061,8,1.5,75.8,246.2,139.375
13628,1,4.0,130.0,130.0,130.0
12959,7,1.5714285714285714,46.0,253.60000000000002,124.3714285714286
12417,3,2.0,60.6,93.19999999999999,82.2
13069,7,1.4285714285714286,26.4,142.6,65.48571428571428
11009,4,1.75,90.2,279.8,182.0
11655,8,1.375,23.4,96.80000000000001,50.25
12840,10,1.4,16.8,66.2,32.1
11743,10,1.6,36.8,191.59999999999997,83.46
12737,2,3.0,77.2,274.2,175.7
11014,5,1.6,39.8,162.8,98.96000000000001
11070,3,2.0,46.8,224.40000000000003,126.13333333333334
11327,10,1.4,40.2,131.2,77.47999999999999
12830,8,1.5,42.4,134.6,82.25
