SUBJECT,nclusters,avgClustersize,minClusterAWC,maxClusterAWC,avgClusterDensity
196,11,1.5454545454545454,26.6,123.0,65.1492957746479
334,7,1.4285714285714286,19.2,114.0,48.222777222777225
241,0,0,0,0,0
230,3,2.0,62.2,80.6,73.73333333333333
248,2,2.5,59.6,92.80000000000001,76.2
190,4,2.25,31.8,183.1139240506329,92.5311125916056
231,8,1.625,49.6,244.0,108.71596638655463
332,3,2.0,34.6,169.0,82.06666666666666
197,8,1.375,13.4,221.538461538462,58.54945054945061
320,3,2.0,11.8,240.0,77.85000000000001
335,4,2.0,37.0,166.60000000000002,101.25
188,7,1.7142857142857142,45.2,216.2,100.57142857142858
338,9,1.5555555555555556,35.2,144.6,75.66666666666667
330,4,1.75,25.3333333333333,119.0,55.733333333333334
192,7,1.7142857142857142,39.8,294.6,98.94285714285715
187,11,1.3636363636363635,41.4,115.2444444444444,69.60370370370372
232,7,1.5714285714285714,21.8,110.8,53.42857142857143
193,8,1.5,7.2,83.39999999999999,28.15
336,2,2.5,57.8,120.60000000000001,89.2
189,6,1.5,19.0,118.6,51.13333333333333
259,4,2.0,21.8,181.0,77.54516129032257
302,3,2.0,82.0,113.6,95.93333333333332
439,7,1.5714285714285714,30.0,124.6,73.94285714285715
431,5,1.6,68.0,219.2,149.44
440,0,0,0,0,0
310,11,1.4545454545454546,38.0,127.0,64.74285714285715
277,4,2.0,14.0,117.4,60.932051282051276
436,1,4.0,78.6,78.6,78.6
304,4,2.0,42.3396226415094,146.2,106.88490566037733
311,3,2.0,118.4,139.8,131.6
425,2,2.5,110.4,250.20000000000002,180.3
279,2,2.5,25.4,226.153846153846,116.38461538461532
215,2,2.5,11.4,104.0,44.800000000000004
309,6,1.6666666666666667,21.4,92.19999999999999,42.86666666666667
427,4,1.75,97.2,340.0,183.85000000000002
266,8,1.5,26.2,164.0,60.199999999999996
202,9,1.4444444444444444,13.0,48.2,27.839999999999996
283,6,1.5,29.6,136.8,63.73333333333334
435,0,0,0,0,0
261,7,1.7142857142857142,20.4,179.0,67.65714285714286
313,1,4.0,199.40000000000003,199.40000000000003,199.40000000000003
210,5,1.6,37.8,135.4,73.44000000000001
260,4,1.75,10.4,68.4,37.7841121495327
312,5,1.6,33.8,76.0135593220339,54.92597717052922
282,4,1.75,19.8,64.8,39.22542372881355
421,0,0,0,0,0
272,8,1.375,27.6,313.8,86.025
300,8,1.5,26.8,167.4,74.725
203,5,1.8,35.8163265306122,187.0,83.82281241263628
308,4,1.75,61.0,258.79999999999995,123.64999999999999
433,6,1.6666666666666667,33.4,133.4,76.5
426,2,2.5,16.2,78.3594594594595,42.5864864864865
