Subject,AWC,hour
11003.0,128.0,19.25
11003.0,112.0,16.2
11003.0,88.2,8.55
11003.0,84.6,19.2
11003.0,73.4,16.3
11003.0,73.0,12.05
11003.0,64.8,9.15
11003.0,59.0,16.05
11003.0,58.2,8.45
11003.0,57.2,16
11003.0,56.8,12.15
11003.0,55.2,11.45
11003.0,51.6,8.5
11003.0,50.6,11.2
11003.0,44.6,17.2
11003.0,43.2,8.2
11003.0,41.6,16.1
11003.0,40.4,14
11003.0,40.0,13.45
11003.0,40.0,16.35
11003.0,40.0,19.05
11003.0,39.4,9
11003.0,39.2,8.4
11003.0,38.4,11.4
11003.0,38.4,13.35
11003.0,37.6,12
11003.0,37.2,18.15
11003.0,36.8,19.15
11003.0,32.2,13.3
11003.0,32.2,13.4
11003.0,32.2,15
11003.0,31.0,9.1
11003.0,31.0,15.4
11003.0,29.4,8.35
11003.0,29.0,12.1
11003.0,28.6,8.3
11003.0,27.6,11.3
11003.0,26.8,8.25
11003.0,26.4,14.4
11003.0,24.6,13.55
11003.0,24.4,14.55
11003.0,23.6,8.15
11003.0,22.8,16.45
11003.0,22.6,14.35
11003.0,22.1052631578947,8.05
11003.0,18.8,15.55
11003.0,18.0,15.25
11003.0,17.2,14.05
11003.0,17.2,15.3
11003.0,16.6,14.45
11003.0,14.6,10
11003.0,13.8,15.35
11003.0,13.2,8.1
11003.0,13.2,13.5
11003.0,11.6,13.25
11003.0,9.8,18.55
11003.0,8.8,17.05
11003.0,7.6,15.45
11003.0,7.4,15.5
11003.0,6.6,17.1
11003.0,6.2,16.55
11003.0,4.8,18.1
11003.0,4.4,17
11003.0,3.2,14.2
11003.0,1.6,14.25
11003.0,1.6,15.05
11003.0,1.0,18.5
11003.0,-1,0
11003.0,-1,0.05
11003.0,-1,0.1
11003.0,-1,0.15000000000000002
11003.0,-1,0.2
11003.0,-1,0.25
11003.0,-1,0.30000000000000004
11003.0,-1,0.35000000000000003
11003.0,-1,0.4
11003.0,-1,0.45
11003.0,-1,0.5
11003.0,-1,0.55
11003.0,-1,1
11003.0,-1,1.05
11003.0,-1,1.1
11003.0,-1,1.15
11003.0,-1,1.2
11003.0,-1,1.25
11003.0,-1,1.3
11003.0,-1,1.35
11003.0,-1,1.4
11003.0,-1,1.45
11003.0,-1,1.5
11003.0,-1,1.55
