Subject,AWC,hour
187.0,103.6,15.5
187.0,97.6,16.35
187.0,92.6,16.4
187.0,80.4,17.5
187.0,78.0,16.45
187.0,69.4,12.5
187.0,65.6,13.15
187.0,65.0,16.5
187.0,63.2727272727273,12
187.0,59.8,18.4
187.0,58.8,19.55
187.0,56.4444444444444,19.45
187.0,56.4,12.4
187.0,56.0,18.5
187.0,54.0,13
187.0,53.2,15.2
187.0,51.2,19
187.0,50.8,12.2
187.0,48.2,15.25
187.0,44.0,12.3
187.0,42.4,12.35
187.0,41.8,15.45
187.0,41.4,20.1
187.0,41.1552346570397,16.3
187.0,40.2,13.1
187.0,40.0,13.05
187.0,39.6,18.55
187.0,39.4,12.45
187.0,38.6,12.25
187.0,38.2,12.15
187.0,38.2,17.25
187.0,38.2,17.3
187.0,36.6,18.45
187.0,35.8,17.45
187.0,35.1351351351351,19.5
187.0,34.4,16.25
187.0,33.4,16.05
187.0,32.4,14.3
187.0,32.4,14.55
187.0,32.2,17.4
187.0,31.8,18.3
187.0,30.3010033444816,16.55
187.0,29.8,13.4
187.0,28.6,13.2
187.0,28.4,13.25
187.0,27.8,12.1
187.0,27.8,13.3
187.0,26.6,17.35
187.0,26.4,16.1
187.0,25.6,15
187.0,25.4,13.5
187.0,25.2,19.2
187.0,23.801652892562,14.2
187.0,23.4,15.05
187.0,20.4,14.4
187.0,20.4,20
187.0,20.0,12.05
187.0,19.8,14.35
187.0,19.2,14.05
187.0,19.0,13.45
187.0,18.8,19.3
187.0,17.2,19.35
187.0,16.6,14.15
187.0,16.3636363636364,16.15
187.0,16.2,19.15
187.0,15.8,16.2
187.0,15.6,18.1
187.0,15.1401869158878,20.15
187.0,15.0,16
187.0,14.8,14
187.0,14.4,14.1
187.0,14.4,20.05
187.0,11.4,17.05
187.0,11.2,15.3
187.0,11.0,13.35
187.0,10.4,19.25
187.0,9.8,15.15
187.0,9.8,17.15
187.0,7.4,17.1
187.0,6.8,14.5
187.0,4.4,14.45
187.0,4.2,15.4
187.0,4.0,14.25
187.0,2.8,17.55
187.0,1.8,18.15
187.0,1.2,15.35
187.0,0.8,15.55
187.0,-1,0
187.0,-1,0.05
187.0,-1,0.1
187.0,-1,0.15000000000000002
187.0,-1,0.2
187.0,-1,0.25
187.0,-1,0.30000000000000004
187.0,-1,0.35000000000000003
187.0,-1,0.4
187.0,-1,0.45
187.0,-1,0.5
187.0,-1,0.55
187.0,-1,1
187.0,-1,1.05
187.0,-1,1.1
187.0,-1,1.15
187.0,-1,1.2
187.0,-1,1.25
187.0,-1,1.3
187.0,-1,1.35
187.0,-1,1.4
187.0,-1,1.45
187.0,-1,1.5
187.0,-1,1.55
187.0,-1,2
187.0,-1,2.05
187.0,-1,2.1
187.0,-1,2.15
187.0,-1,2.2
187.0,-1,2.25
187.0,-1,2.3
187.0,-1,2.35
187.0,-1,2.4
187.0,-1,2.45
187.0,-1,2.5
187.0,-1,2.55
187.0,-1,3
187.0,-1,3.05
187.0,-1,3.1
187.0,-1,3.15
187.0,-1,3.2
187.0,-1,3.25
187.0,-1,3.3
187.0,-1,3.35
187.0,-1,3.4
187.0,-1,3.45
187.0,-1,3.5
187.0,-1,3.55
187.0,-1,4
187.0,-1,4.05
187.0,-1,4.1
187.0,-1,4.15
187.0,-1,4.2
187.0,-1,4.25
187.0,-1,4.3
187.0,-1,4.35
187.0,-1,4.4
187.0,-1,4.45
187.0,-1,4.5
187.0,-1,4.55
187.0,-1,5
187.0,-1,5.05
187.0,-1,5.1
187.0,-1,5.15
187.0,-1,5.2
187.0,-1,5.25
187.0,-1,5.3
187.0,-1,5.35
187.0,-1,5.4
187.0,-1,5.45
187.0,-1,5.5
187.0,-1,5.55
187.0,-1,6
187.0,-1,6.05
187.0,-1,6.1
187.0,-1,6.15
187.0,-1,6.2
187.0,-1,6.25
187.0,-1,6.3
187.0,-1,6.35
187.0,-1,6.4
187.0,-1,6.45
187.0,-1,6.5
187.0,-1,6.55
187.0,-1,7
187.0,-1,7.05
187.0,-1,7.1
187.0,-1,7.15
187.0,-1,7.2
187.0,-1,7.25
187.0,-1,7.3
187.0,-1,7.35
187.0,-1,7.4
187.0,-1,7.45
187.0,-1,7.5
187.0,-1,7.55
187.0,-1,8
187.0,-1,8.05
187.0,-1,8.1
187.0,-1,8.15
187.0,-1,8.2
187.0,-1,8.25
187.0,-1,8.3
187.0,-1,8.35
187.0,-1,8.4
187.0,-1,8.45
187.0,-1,8.5
187.0,-1,8.55
187.0,-1,9
187.0,-1,9.05
187.0,-1,9.1
187.0,-1,9.15
187.0,-1,9.2
187.0,-1,9.25
187.0,-1,9.3
187.0,-1,9.35
187.0,-1,9.4
187.0,-1,9.45
187.0,-1,9.5
187.0,-1,9.55
187.0,-1,10
187.0,-1,10.05
187.0,-1,10.1
187.0,-1,10.15
187.0,-1,10.2
187.0,-1,10.25
187.0,-1,10.3
187.0,-1,10.35
187.0,-1,10.4
187.0,-1,10.45
187.0,-1,10.5
187.0,-1,10.55
187.0,-1,11
187.0,-1,11.05
187.0,-1,11.1
187.0,-1,11.15
187.0,-1,11.2
187.0,-1,11.25
187.0,-1,11.3
187.0,-1,11.35
187.0,-1,11.4
187.0,-1,11.45
187.0,-1,11.5
187.0,-1,11.55
187.0,-1,12.55
187.0,-1,13.55
187.0,-1,15.1
187.0,-1,17
187.0,-1,17.2
187.0,-1,18
187.0,-1,18.05
187.0,-1,18.2
187.0,-1,18.25
187.0,-1,18.35
187.0,-1,19.05
187.0,-1,19.1
187.0,-1,19.4
187.0,-1,20.2
187.0,-1,20.25
187.0,-1,20.3
187.0,-1,20.35
187.0,-1,20.4
187.0,-1,20.45
187.0,-1,20.5
187.0,-1,20.55
187.0,-1,21
187.0,-1,21.05
187.0,-1,21.1
187.0,-1,21.15
187.0,-1,21.2
187.0,-1,21.25
187.0,-1,21.3
187.0,-1,21.35
187.0,-1,21.4
187.0,-1,21.45
187.0,-1,21.5
187.0,-1,21.55
187.0,-1,22
187.0,-1,22.05
187.0,-1,22.1
187.0,-1,22.15
187.0,-1,22.2
187.0,-1,22.25
187.0,-1,22.3
187.0,-1,22.35
187.0,-1,22.4
187.0,-1,22.45
187.0,-1,22.5
187.0,-1,22.55
187.0,-1,23
187.0,-1,23.05
187.0,-1,23.1
187.0,-1,23.15
187.0,-1,23.2
187.0,-1,23.25
187.0,-1,23.3
187.0,-1,23.35
187.0,-1,23.4
187.0,-1,23.45
187.0,-1,23.5
187.0,-1,23.55
188.0,88.6,21.25
188.0,87.4736842105263,13.15
188.0,80.8,11.4
188.0,80.2,13.05
188.0,75.6,11.5
188.0,75.2,21.2
188.0,69.0,21.3
188.0,59.8,11.45
188.0,59.4,13
188.0,50.4,10.15
188.0,45.2,13.1
188.0,38.2,10.1
188.0,36.4,22.35
188.0,35.2,10
188.0,35.0,9.45
188.0,35.0,10.05
188.0,32.4,20.55
188.0,25.0,21.4
188.0,21.4,18.55
188.0,20.6,11.25
188.0,20.6,19.1
188.0,20.2,19.05
188.0,17.8512396694215,9.4
188.0,17.2,12.55
188.0,16.8,10.55
188.0,12.4,12.15
188.0,11.4,10.4
188.0,11.0,10.25
188.0,10.8,11.55
188.0,10.6,18.25
188.0,10.2,21.1
188.0,10.2,22.05
188.0,9.8,12.1
188.0,9.2,11.2
188.0,8.8,12.2
188.0,7.6,12
188.0,7.2,21.35
188.0,7.0,10.35
188.0,6.6,19
188.0,5.8,21.5
188.0,5.6,11.05
188.0,5.4,21.55
188.0,5.2,10.5
188.0,5.2,11
188.0,4.6,10.2
188.0,4.6,22.1
188.0,4.2,18.5
188.0,3.8,20.2
188.0,2.8,20.05
188.0,2.6,18.4
188.0,2.45614035087719,9.55
188.0,2.2,10.45
188.0,1.0,18.35
188.0,-1,0
188.0,-1,0.05
188.0,-1,0.1
188.0,-1,0.15000000000000002
188.0,-1,0.2
188.0,-1,0.25
188.0,-1,0.30000000000000004
188.0,-1,0.35000000000000003
188.0,-1,0.4
188.0,-1,0.45
188.0,-1,0.5
