subject,prop,time
11003.0,0.875,19.25
11003.0,0.787,16.2
11003.0,0.959,8.55
11003.0,0.867,19.2
11003.0,0.994,16.3
11003.0,0.887,12.05
11003.0,0.91,9.15
11003.0,0.986,16.05
11003.0,0.982,8.45
11003.0,0.993,16
11003.0,0.971,12.15
11003.0,0.934,11.45
11003.0,0.98,8.5
11003.0,0.881,11.2
11003.0,0.968,17.2
11003.0,0.962,8.2
11003.0,0.971,16.1
11003.0,0.99,14
11003.0,1.0,13.45
11003.0,1.0,16.35
11003.0,0.985,19.05
11003.0,0.994,9
11003.0,0.979,8.4
11003.0,1.0,11.4
11003.0,0.979,13.35
11003.0,0.989,12
11003.0,0.989,18.15
11003.0,0.875,19.15
11003.0,1.0,13.3
11003.0,1.0,13.4
11003.0,0.962,15
11003.0,1.0,9.1
11003.0,0.948,15.4
11003.0,0.986,8.35
11003.0,0.986,12.1
11003.0,0.965,8.3
11003.0,0.971,11.3
11003.0,0.985,8.25
11003.0,0.931,14.4
11003.0,0.991,13.55
11003.0,0.967,14.55
11003.0,0.966,8.15
11003.0,0.991,16.45
11003.0,0.978,14.35
11003.0,0.85,8.05
11003.0,0.957,15.55
11003.0,0.955,15.25
11003.0,1.0,14.05
11003.0,0.965,15.3
11003.0,0.879,14.45
11003.0,0.945,10
11003.0,0.956,15.35
11003.0,1.0,8.1
11003.0,0.878,13.5
11003.0,0.844,13.25
11003.0,0.897,18.55
11003.0,0.863,17.05
11003.0,0.973,15.45
11003.0,0.891,15.5
11003.0,0.939,17.1
11003.0,0.774,16.55
11003.0,0.916,18.1
11003.0,0.727,17
11003.0,0.5,14.2
11003.0,1.0,14.25
11003.0,0.625,15.05
11009.0,0.863,10.35
11009.0,0.894,7.55
11009.0,0.982,19.05
11009.0,0.992,18.55
11009.0,0.992,19
11009.0,0.935,12.4
11009.0,0.998,8
11009.0,0.944,11.2
11009.0,0.968,7.5
11009.0,0.991,11.15
11009.0,0.972,8.5
11009.0,0.901,12.45
11009.0,0.93,15.35
11009.0,0.995,10.4
11009.0,0.973,13
11009.0,0.897,8.4
11009.0,0.951,16.35
11009.0,0.973,18.35
11009.0,0.989,17.55
11009.0,0.994,10
11009.0,0.988,18.5
11009.0,0.991,13.55
11009.0,0.997,10.55
11009.0,0.985,11
11009.0,0.939,11.1
11009.0,0.913,8.45
11009.0,0.973,10.25
11009.0,0.975,11.4
11009.0,0.989,11.5
11009.0,0.967,17.4
11009.0,0.981,11.05
11009.0,0.992,9.45
11009.0,0.965,8.55
11009.0,0.98,11.45
11009.0,0.971,9.5
11009.0,0.987,14.15
11009.0,0.953,14
11009.0,0.969,17.3
11009.0,1.0,9
11009.0,0.977,10.5
11009.0,0.953,17.45
11009.0,0.956,17.5
11009.0,0.928,15.4
11009.0,0.967,9.25
11009.0,0.994,12.05
11009.0,1.0,9.2
11009.0,1.0,11.25
11009.0,0.96,18.15
11009.0,0.923,9.3
11009.0,0.98,12.5
11009.0,0.993,9.15
11009.0,0.96,17.35
11009.0,0.91,8.25
11009.0,0.984,12
11009.0,0.938,8.35
11009.0,0.983,14.05
11009.0,0.917,12.35
11009.0,0.909,9.05
11009.0,0.96,17.15
11009.0,0.938,8.1
11009.0,0.989,9.1
11009.0,0.966,15.25
11009.0,0.931,9.4
11009.0,1.0,8.2
11009.0,0.913,18.1
11009.0,0.729,9.35
11009.0,0.944,11.3
11009.0,0.96,16.1
11009.0,0.959,8.15
11009.0,0.872,11.35
11009.0,0.951,16.05
11009.0,0.948,12.1
11009.0,0.621,14.1
11009.0,0.956,16
11009.0,0.954,12.15
11009.0,0.761,15.55
11009.0,0.749,15.5
11009.0,0.583,16.45
11009.0,0.857,17.05
11011.0,0.938,9.2
11011.0,0.929,9.25
11011.0,0.952,19.25
11011.0,0.781,19.2
11011.0,0.956,14.55
11011.0,0.662,19.05
11011.0,0.957,15
11011.0,0.96,14.35
11011.0,0.94,17.05
11011.0,0.995,17
11011.0,0.866,9.15
11011.0,0.977,15.05
11011.0,0.982,9.3
11011.0,0.976,16.5
11011.0,0.969,18.55
11011.0,0.956,14.3
11011.0,0.993,10.35
11011.0,0.96,8.15
11011.0,0.993,17.55
11011.0,0.972,18.4
11011.0,0.971,16.55
11011.0,0.985,19.3
11011.0,0.962,14.45
11011.0,0.953,18.3
11011.0,0.959,10.2
11011.0,1.0,15.3
11011.0,0.949,18.35
11011.0,0.849,18.25
11011.0,0.989,16.45
11011.0,0.957,14.4
11011.0,0.978,18.05
11011.0,0.988,8.25
11011.0,1.0,18.2
11011.0,0.977,19.4
11011.0,0.988,14.5
11011.0,0.988,14.05
11011.0,0.916,8.35
11011.0,0.948,14.2
11011.0,1.0,9.45
11011.0,0.986,19.35
11011.0,1.0,15.35
11011.0,0.986,18.1
11011.0,0.957,10.25
11011.0,0.985,13.2
11011.0,0.97,13.55
11011.0,0.984,10.4
11011.0,0.984,8.4
11011.0,0.984,13.45
11011.0,0.87,15.25
11011.0,0.981,19.1
11011.0,0.962,18.15
11011.0,0.96,8.2
11011.0,1.0,8.3
11011.0,0.959,10.5
11011.0,1.0,9.1
11011.0,0.851,11
11011.0,1.0,8.45
11011.0,0.975,15.15
11011.0,0.974,9.35
11011.0,1.0,10.55
11011.0,0.947,15.1
11011.0,0.972,8.5
11011.0,0.942,13.25
11011.0,1.0,10.3
11011.0,0.969,19.45
11011.0,0.906,14.25
11011.0,0.965,18.5
11011.0,0.821,15.2
11011.0,1.0,10.15
11011.0,0.869,13.4
11011.0,0.75,9.4
11011.0,0.799,9.05
11011.0,1.0,10.1
11011.0,0.916,13.35
11011.0,1.0,10.45
11011.0,1.0,11.05
11011.0,0.909,13.5
11011.0,0.9,9.55
11011.0,1.0,10
11011.0,0.666,16.2
11011.0,0.833,13.05
11011.0,0.8,18.45
11011.0,0.749,13.3
11011.0,0.666,13.1
11011.0,1.0,9.5
11014.0,0.813,19.05
11014.0,0.984,9.25
11014.0,0.868,12.5
11014.0,0.976,9.2
11014.0,0.96,17.25
11014.0,0.989,9.45
11014.0,0.977,9.3
11014.0,0.863,18.15
11014.0,0.97,10.4
11014.0,0.942,10.45
11014.0,1.0,17.3
11014.0,0.985,17.45
11014.0,0.956,15.1
11014.0,0.885,17.15
11014.0,0.974,17.4
11014.0,0.986,10.25
11014.0,0.896,9.15
11014.0,0.994,15.35
11014.0,0.954,14.25
11014.0,0.989,17.5
11014.0,0.941,14.1
11014.0,0.971,9.05
11014.0,0.947,15.4
11014.0,0.987,10.35
11014.0,0.981,14.45
11014.0,0.974,10.1
11014.0,0.987,18.4
11014.0,0.953,15.15
11014.0,0.986,14.15
11014.0,1.0,10.05
11014.0,0.986,14.3
11014.0,0.992,17.1
11014.0,0.992,16.4
11014.0,0.992,15.3
11014.0,0.992,13.15
11014.0,0.912,15
11014.0,0.952,13.25
11014.0,1.0,10.5
11014.0,0.974,18.45
11014.0,0.948,18.2
11014.0,0.981,18.25
11014.0,0.972,15.45
11014.0,0.971,14.35
11014.0,0.96,18.05
11014.0,0.989,15.55
11014.0,0.927,16.5
11014.0,1.0,10.15
11014.0,0.977,14.4
11014.0,0.988,10
11014.0,0.977,9.1
11014.0,0.988,13.2
11014.0,0.964,13.3
11014.0,1.0,9
11014.0,0.966,15.2
11014.0,0.945,8.55
11014.0,1.0,10.3
11014.0,0.972,17.05
11014.0,0.986,14.55
11014.0,0.774,15.5
11014.0,0.927,18
11014.0,0.882,14.2
11014.0,0.933,17.55
11014.0,0.904,15.25
11014.0,0.815,13.1
11014.0,0.935,17
11014.0,0.931,14.5
11014.0,0.814,12.45
11014.0,0.909,18.35
11014.0,0.7,16.55
11014.0,1.0,13.35
11014.0,0.928,16.1
11014.0,0.615,10.2
11014.0,0.5,9.4
11035.0,0.986,9.5
11035.0,0.978,12.3
11035.0,0.989,12.5
11035.0,0.908,16.15
11035.0,0.863,16.05
11035.0,0.948,12.35
11035.0,0.958,7.15
11035.0,0.891,13.1
11035.0,0.987,7.05
11035.0,0.974,7.1
11035.0,0.99,18.45
11035.0,0.989,9.55
11035.0,0.979,13
11035.0,0.909,11.3
11035.0,0.919,6.15
11035.0,0.975,11.25
11035.0,1.0,7.2
11035.0,1.0,9.1
11035.0,0.97,13.3
11035.0,0.96,7.25
11035.0,1.0,6.25
11035.0,0.958,10
11035.0,0.971,16.3
11035.0,0.99,12.2
11035.0,0.965,7.3
11035.0,1.0,13.4
11035.0,0.974,18
11035.0,0.994,7.4
11035.0,0.971,12.15
11035.0,0.942,5.3
11035.0,1.0,13.05
11035.0,0.947,16.5
11035.0,0.969,8.55
11035.0,0.911,16.2
11035.0,0.937,17.4
11035.0,0.963,16.35
11035.0,1.0,13.15
11035.0,0.984,17.45
11035.0,0.953,6.1
11035.0,0.991,17.25
11035.0,0.819,17.05
11035.0,0.99,6.35
11035.0,0.898,17
11035.0,0.988,11.5
11035.0,0.988,7.45
11035.0,0.942,6.2
11035.0,0.939,6.05
11035.0,0.974,13.45
11035.0,1.0,6.3
11035.0,0.973,17.55
11035.0,0.986,17.3
11035.0,1.0,10.5
11035.0,0.93,12.55
11035.0,0.985,7.35
11035.0,0.984,9.4
