subject,prop,time
187.0,0.942,15.5
187.0,0.948,16.35
187.0,0.868,16.4
187.0,0.97,17.5
187.0,0.889,16.45
187.0,0.945,12.5
187.0,0.99,13.15
187.0,0.973,16.5
187.0,0.945,12
187.0,0.983,18.4
187.0,0.959,19.55
187.0,0.999,19.45
187.0,0.992,12.4
187.0,0.964,18.5
187.0,0.985,13
187.0,0.962,15.2
187.0,0.992,19
187.0,0.948,12.2
187.0,0.912,15.25
187.0,0.963,12.3
187.0,0.985,12.35
187.0,0.99,15.45
187.0,0.994,20.1
187.0,0.976,16.3
187.0,0.995,13.1
187.0,0.99,13.05
187.0,0.994,18.55
187.0,0.979,12.45
187.0,0.989,12.25
187.0,1.0,12.15
187.0,1.0,17.25
187.0,0.958,17.3
187.0,0.978,18.45
187.0,0.981,17.45
187.0,0.979,19.5
187.0,0.97,16.25
187.0,0.97,16.05
187.0,1.0,14.3
187.0,0.993,14.55
187.0,0.987,17.4
187.0,0.952,18.3
187.0,0.983,16.55
187.0,0.959,13.4
187.0,0.993,13.2
187.0,0.978,13.25
187.0,1.0,12.1
187.0,0.956,13.3
187.0,0.992,17.35
187.0,0.969,16.1
187.0,0.992,15
187.0,0.992,13.5
187.0,0.944,19.2
187.0,0.983,14.2
187.0,0.871,15.05
187.0,1.0,14.4
187.0,0.98,20
187.0,0.99,12.05
187.0,0.969,14.35
187.0,0.989,14.05
187.0,0.989,13.45
187.0,0.914,19.3
187.0,0.965,19.35
187.0,0.985,14.15
187.0,0.989,16.15
187.0,0.975,19.15
187.0,0.987,16.2
187.0,0.97,18.1
187.0,0.99,20.15
187.0,0.986,16
187.0,0.972,14
187.0,1.0,14.1
187.0,0.791,20.05
187.0,0.982,17.05
187.0,0.982,15.3
187.0,0.945,13.35
187.0,0.942,19.25
187.0,1.0,15.15
187.0,0.755,17.15
187.0,0.918,17.1
187.0,0.647,14.5
187.0,0.954,14.45
187.0,0.952,15.4
187.0,0.7,14.25
187.0,0.642,17.55
187.0,0.666,18.15
187.0,0.666,15.35
188.0,0.987,21.25
188.0,0.923,13.15
188.0,0.992,11.4
188.0,0.942,13.05
188.0,0.994,11.5
188.0,0.917,21.2
188.0,0.866,21.3
188.0,0.993,11.45
188.0,0.848,13
188.0,0.896,10.15
188.0,0.845,13.1
188.0,0.952,10.1
188.0,0.967,22.35
188.0,0.994,10
188.0,1.0,9.45
188.0,0.925,10.05
188.0,0.771,20.55
188.0,0.856,21.4
188.0,0.962,18.55
188.0,1.0,11.25
188.0,0.98,19.1
188.0,0.883,19.05
188.0,0.963,9.4
188.0,0.976,12.55
188.0,0.738,10.55
188.0,0.919,12.15
188.0,0.964,10.4
188.0,0.981,10.25
188.0,0.981,11.55
188.0,0.962,18.25
188.0,1.0,21.1
188.0,0.96,22.05
188.0,0.938,12.1
188.0,0.956,11.2
188.0,0.863,12.2
188.0,0.947,12
188.0,0.972,21.35
188.0,0.942,10.35
188.0,0.878,19
188.0,0.965,21.5
188.0,0.964,11.05
188.0,0.962,21.55
188.0,1.0,10.5
188.0,0.884,11
188.0,1.0,10.2
188.0,0.913,22.1
188.0,0.904,18.5
188.0,0.736,20.2
188.0,0.928,20.05
188.0,0.944,18.4
188.0,0.895,9.55
188.0,0.454,10.45
189.0,0.939,13.2
189.0,0.996,21.4
189.0,0.722,10.35
189.0,0.892,15.1
189.0,0.914,9.25
189.0,0.845,10.3
189.0,0.901,10.2
189.0,0.789,11.05
189.0,0.963,12
189.0,0.971,10.25
189.0,0.98,9.55
189.0,0.97,17.05
189.0,0.979,12.1
189.0,0.863,20.1
189.0,0.987,9.1
189.0,0.864,21.35
189.0,0.957,9
189.0,0.91,8.55
189.0,0.885,11.55
189.0,0.962,12.15
189.0,0.903,12.2
189.0,1.0,11.1
189.0,0.936,14.45
189.0,1.0,10.45
189.0,0.977,17.15
189.0,0.93,22.45
189.0,1.0,10.4
189.0,0.975,22.55
189.0,0.974,10
189.0,1.0,14.15
189.0,0.894,15.25
189.0,0.911,13.05
189.0,0.967,9.15
189.0,1.0,11.45
189.0,0.9,12.45
189.0,0.888,21.2
189.0,1.0,9.05
189.0,1.0,14.3
189.0,0.875,19.4
189.0,0.952,15.05
189.0,0.85,11.25
189.0,0.882,13.1
189.0,1.0,12.05
189.0,0.933,14.35
189.0,1.0,21.25
189.0,1.0,21.45
189.0,0.928,22.5
189.0,1.0,12.35
189.0,0.615,12.4
189.0,1.0,11.35
189.0,0.5,15.4
189.0,1.0,11.5
189.0,1.0,14.4
189.0,0.5,15.15
190.0,0.676,20.35
190.0,0.974,19.25
190.0,0.983,11.4
190.0,0.865,14.4
190.0,0.957,11.45
190.0,0.946,18
190.0,1.0,11.35
190.0,1.0,14.35
190.0,0.939,18.55
190.0,0.94,20.15
190.0,0.951,11.25
190.0,0.997,11.05
190.0,0.986,10.55
190.0,0.979,12.3
190.0,0.996,15.4
190.0,0.955,12.15
190.0,0.933,13.1
190.0,0.946,11.5
190.0,0.968,13.4
190.0,1.0,18.15
190.0,0.974,19.45
190.0,0.986,11
190.0,0.959,15.35
190.0,0.992,13.15
190.0,0.992,18.3
190.0,1.0,13.35
190.0,0.957,18.45
190.0,0.985,20.2
190.0,0.916,15.5
190.0,0.909,13
190.0,1.0,15.2
190.0,0.963,18.5
190.0,0.943,19.15
190.0,0.99,20.3
190.0,0.969,13.2
190.0,0.989,18.1
190.0,0.989,12.35
190.0,0.936,13.5
190.0,0.954,20.05
190.0,0.952,12.25
190.0,0.962,15.15
190.0,0.987,15.1
190.0,0.96,11.3
190.0,0.958,15.05
190.0,0.957,14.1
190.0,0.97,14.05
190.0,0.861,12.55
190.0,0.982,20
190.0,0.981,13.45
190.0,1.0,12.1
190.0,0.981,15.3
190.0,0.981,13.25
190.0,0.961,18.2
190.0,0.96,14
190.0,0.979,15.25
190.0,0.872,18.35
190.0,0.902,12.2
190.0,0.945,12.45
190.0,0.914,18.25
190.0,0.906,12.5
190.0,0.896,18.4
190.0,0.961,19.55
190.0,0.919,13.55
190.0,0.913,14.2
190.0,0.952,12.4
190.0,0.95,15.55
190.0,0.947,15.45
190.0,0.388,19.5
192.0,0.758,22.25
192.0,0.957,15.15
192.0,0.959,12.2
192.0,0.889,19.5
192.0,0.947,18
192.0,0.988,12.3
192.0,0.982,22.2
192.0,0.984,12.25
192.0,0.941,12.35
192.0,0.98,22.15
192.0,0.97,14.15
192.0,0.959,12.4
192.0,0.964,21.35
192.0,0.977,22.05
192.0,0.962,14.1
192.0,0.968,11.45
192.0,0.987,22.35
192.0,0.922,22.1
192.0,0.964,12.45
192.0,0.995,18.5
192.0,0.939,21.15
192.0,0.99,17.1
192.0,1.0,11.35
192.0,0.99,21.25
192.0,0.984,16.1
192.0,0.974,21.55
192.0,0.984,15.5
192.0,0.994,11.4
192.0,0.925,12.15
192.0,0.994,19.55
192.0,0.982,13.25
192.0,0.983,21.3
192.0,0.987,19.45
192.0,0.981,16
192.0,0.987,13
192.0,0.987,15.1
192.0,0.936,12.1
192.0,0.884,12.5
192.0,0.984,15.05
192.0,1.0,13.05
192.0,1.0,13.45
192.0,0.992,21.4
192.0,1.0,16.05
192.0,0.968,20.4
192.0,0.991,12
192.0,1.0,12.05
192.0,1.0,14.55
192.0,0.967,21.2
192.0,0.949,17.2
192.0,0.982,17.45
192.0,1.0,13.5
192.0,1.0,17.3
192.0,0.945,18.3
192.0,0.99,21.1
192.0,0.99,18.15
192.0,0.921,20
192.0,0.989,16.15
192.0,0.989,20.55
192.0,0.945,18.55
192.0,0.965,20.5
192.0,0.988,20.3
192.0,0.975,14.5
192.0,0.987,17.55
192.0,1.0,13.4
192.0,0.987,18.05
192.0,0.974,11.55
192.0,0.974,21
192.0,1.0,17.15
192.0,0.986,21.05
192.0,0.959,15
192.0,0.943,14.4
192.0,0.985,13.2
192.0,1.0,13.15
192.0,1.0,14.05
192.0,1.0,21.5
192.0,0.939,22
192.0,0.935,20.45
192.0,1.0,13.3
192.0,0.982,20.15
192.0,0.964,16.25
192.0,0.927,20.35
192.0,0.98,17.25
192.0,0.919,12.55
192.0,0.956,17.5
192.0,0.977,13.55
192.0,1.0,17.05
192.0,0.93,20.2
192.0,0.975,11.5
192.0,0.948,14.45
192.0,1.0,13.35
192.0,0.972,16.3
192.0,0.972,20.25
192.0,0.942,21.45
192.0,0.969,14.35
192.0,0.91,19.25
192.0,0.926,22.4
192.0,0.962,14.3
192.0,0.73,16.2
192.0,1.0,13.1
192.0,0.631,17
192.0,1.0,14.2
192.0,0.75,19
192.0,0.784,16.55
192.0,0.708,18.2
