X1,AWC,CTC,CVC,noise,silence,distant,tv,meaningful,xgb_pred,CDSpred,language,SUBJECT,Time,Duration
1,63.2727272727273,1.90909090909091,4.09090909090909,0,0.3,0.0454545454545455,0.259090909090909,0.395454545454545,0.880049407482147,1,Spanish,187,12,220
2,20,1.6,5,0.0266666666666667,0.486666666666667,0.146666666666667,0,0.34,0.86038064956665,1,Spanish,187,12.05,300
3,27.8,0.8,4.2,0.0166666666666667,0.523333333333333,0.16,0,0.3,0.607244431972504,1,Spanish,187,12.1,300
4,38.2,1.6,2.8,0.0133333333333333,0.673333333333333,0.0566666666666667,0,0.256666666666667,0.841680109500885,1,Spanish,187,12.15,300
5,50.8,1.4,2.6,0,0.663333333333333,0.0566666666666667,0,0.28,0.763598263263702,1,Spanish,187,12.2,300
6,38.6,2.2,4.8,0.01,0.63,0.06,0.00333333333333333,0.296666666666667,0.820233166217804,1,Spanish,187,12.25,300
7,44,1.8,3.6,0,0.653333333333333,0.0833333333333333,0,0.263333333333333,0.763598263263702,1,Spanish,187,12.3,300
8,42.4,2.4,6,0.0166666666666667,0.576666666666667,0.0666666666666667,0.0333333333333333,0.306666666666667,0.893495261669159,1,Spanish,187,12.35,300
9,56.4,2.2,5.6,0.0366666666666667,0.42,0.12,0.0266666666666667,0.396666666666667,0.856490612030029,1,Spanish,187,12.4,300
10,39.4,1.8,5,0.0366666666666667,0.583333333333333,0.0833333333333333,0,0.296666666666667,0.836105644702911,1,Spanish,187,12.45,300
11,69.4,2.4,3.4,0.0366666666666667,0.436666666666667,0.12,0.03,0.376666666666667,0.771650433540344,1,Spanish,187,12.5,300
13,44.8,1.4,2.8,0.00333333333333333,0.543333333333333,0.08,0.0533333333333333,0.32,0.724049806594849,1,Spanish,187,13,300
14,18.6,0.2,0.4,0.0233333333333333,0.726666666666667,0.0566666666666667,0.0266666666666667,0.166666666666667,0.644082307815552,1,Spanish,187,13.05,300
15,34.8,1.2,2.4,0.08,0.583333333333333,0.106666666666667,0.0133333333333333,0.216666666666667,0.774941742420197,1,Spanish,187,13.1,300
16,28.6,0.8,4,0.156666666666667,0.253333333333333,0.253333333333333,0.00333333333333333,0.333333333333333,0.573551416397095,1,Spanish,187,13.15,300
17,14.6,0.6,1,0.00333333333333333,0.343333333333333,0.05,0.526666666666667,0.0766666666666667,0.637804925441742,1,Spanish,187,13.2,300
19,5.8,0.2,1,0.0133333333333333,0.28,0.203333333333333,0.446666666666667,0.0566666666666667,0.569124698638916,1,Spanish,187,13.3,300
20,9,0.2,0.4,0.0166666666666667,0.596666666666667,0.31,0,0.0766666666666667,0.734533250331879,1,Spanish,187,13.35,300
21,8.2,0.8,1.8,0.01,0.62,0.263333333333333,0,0.106666666666667,0.803767204284668,1,Spanish,187,13.4,300
22,15.6,1,5.8,0.0233333333333333,0.343333333333333,0.1,0.323333333333333,0.21,0.743255853652954,1,Spanish,187,13.45,300
25,14.8,0.8,3.2,0.01,0.53,0.33,0,0.13,0.798520743846893,1,Spanish,187,14,300
26,2.8,0,1.4,0.00333333333333333,0.45,0.493333333333333,0,0.0533333333333333,0.602496087551117,1,Spanish,187,14.05,300
30,9.2,0.8,1,0,0.5,0.126666666666667,0.306666666666667,0.0666666666666667,0.7374387383461,1,Spanish,187,14.25,300
31,32.4,1.6,4.4,0.07,0.43,0.246666666666667,0.01,0.243333333333333,0.669537842273712,1,Spanish,187,14.3,300
32,19.8,1.4,5.2,0.0733333333333333,0.486666666666667,0.136666666666667,0,0.303333333333333,0.87279599905014,1,Spanish,187,14.35,300
33,20.4,0.6,1,0.05,0.583333333333333,0.236666666666667,0,0.13,0.808031618595123,1,Spanish,187,14.4,300
34,4.4,0.2,0.4,0.0233333333333333,0.473333333333333,0.0566666666666667,0.373333333333333,0.0733333333333333,0.615852296352386,1,Spanish,187,14.45,300
35,20.4,1,1.8,0.00666666666666667,0.513333333333333,0.186666666666667,0.183333333333333,0.11,0.802934944629669,1,Spanish,187,14.5,300
36,32.4,1.6,5,0.0233333333333333,0.533333333333333,0.22,0,0.223333333333333,0.775648951530457,1,Spanish,187,14.55,300
37,25.6,1.4,2.8,0.01,0.473333333333333,0.313333333333333,0.00333333333333333,0.2,0.850049495697021,1,Spanish,187,15,300
38,23.4,1.6,3.2,0.0266666666666667,0.56,0.16,0.00333333333333333,0.25,0.823502898216248,1,Spanish,187,15.05,300
40,28.4,1.2,1.2,0.0266666666666667,0.72,0.07,0,0.183333333333333,0.681837141513824,1,Spanish,187,15.15,300
41,53.2,1.8,2,0.0166666666666667,0.616666666666667,0.09,0,0.276666666666667,0.76410329341888406,1,Spanish,187,15.2,300
42,48.2,2.8,4.8,0.0166666666666667,0.603333333333333,0.0533333333333333,0,0.326666666666667,0.833826839923859,1,Spanish,187,15.25,300
43,17,0.8,3.6,0.123333333333333,0.61,0.106666666666667,0.00333333333333333,0.156666666666667,0.833241403102875,1,Spanish,187,15.3,300
44,36.4,1,2.2,0.08,0.526666666666667,0.15,0.00333333333333333,0.24,0.887866616249084,1,Spanish,187,15.35,300
45,72.8,2.2,4,0.123333333333333,0.323333333333333,0.116666666666667,0.01,0.426666666666667,0.714439272880554,1,Spanish,187,15.4,300
46,41.8,1.4,1.8,0.0133333333333333,0.323333333333333,0.133333333333333,0,0.53,0.810464382171631,1,Spanish,187,15.45,300
47,103.6,3.2,4.4,0,0.41,0.0266666666666667,0,0.563333333333333,0.937359392642975,1,Spanish,187,15.5,300
48,48,2.4,4,0.02,0.613333333333333,0.0366666666666667,0.00333333333333333,0.326666666666667,0.820233166217804,1,Spanish,187,15.55,300
49,44.2,1.8,3.6,0.0133333333333333,0.61,0.0733333333333333,0,0.303333333333333,0.788793325424194,1,Spanish,187,16,300
50,33.4,3,8.4,0.02,0.62,0.03,0,0.33,0.87889575958252,1,Spanish,187,16.05,300
51,26.4,1.6,3.2,0.00333333333333333,0.74,0.0366666666666667,0,0.22,0.746085524559021,1,Spanish,187,16.1,300
52,44,4,7,0,0.65,0.0166666666666667,0.00333333333333333,0.33,0.919504284858704,1,Spanish,187,16.15,300
53,32,3.2,8,0.02,0.496666666666667,0.186666666666667,0.00333333333333333,0.293333333333333,0.871266961097717,1,Spanish,187,16.2,300
54,32.2,3,7.4,0.0266666666666667,0.573333333333333,0.14,0.00333333333333333,0.256666666666667,0.903553009033203,1,Spanish,187,16.25,300
55,37.2,2.6,5.6,0.0133333333333333,0.443333333333333,0.116666666666667,0.0133333333333333,0.413333333333333,0.816075325012207,1,Spanish,187,16.3,300
56,27.2,1.8,3.8,0,0.71,0.0666666666666667,0.0166666666666667,0.206666666666667,0.794023931026459,1,Spanish,187,16.35,300
57,41,4.8,10.4,0.0266666666666667,0.526666666666667,0.0933333333333333,0.00666666666666667,0.346666666666667,0.94643646478653,1,Spanish,187,16.4,300
58,41.4,2.2,4.8,0.07,0.476666666666667,0.136666666666667,0.00666666666666667,0.31,0.903724551200867,1,Spanish,187,16.45,300
59,17.8,0.8,3.4,0.06,0.62,0.09,0,0.23,0.81617796421051,1,Spanish,187,16.5,300
60,23.2,1,2.6,0.00666666666666667,0.543333333333333,0.05,0.0233333333333333,0.376666666666667,0.74190312623977706,1,Spanish,187,16.55,300
