SUBJECT,nclusters,avgClustersize,avgClusterDensity,clean_total_hrs,clean_mean_awc,clean_sd_awc,clusterPerHr,avgClusterDensityPerHr,MOM_YRS_EDU,CDI_18C18C_WG,ACC_1818,RT18A18C_NO1RT,gini
11003,3,2,109.66666666666667,5.573888888888889,404.22500485240806,130.01893463473857,0.538223861257849,19.67507226153693,16,62,0.47,830.93,0.14964538979801245
11009,4,1.75,182,6.666666666666667,623.6999999999999,167.1715516836154,0.6,27.299999999999997,18,139,0.68,586.91,0.1368131866816357
11011,6,1.6666666666666667,57.6,7.166666666666666,249.6279069767442,109.75962165320425,0.8372093023255814,8.037209302325582,16,32,0.51,883.3,0.18587962909178346
11014,5,1.6,98.96000000000001,6.108888888888889,369.3392063517168,140.8245208420398,0.8184794470716624,16.199345216442342,16,94,0.71,832.07,0.13419563438286877
11035,5,1.6,100.28,5.916388888888889,407.9046278649853,137.1712120553089,0.8451100990656838,16.949528146861354,16,84,0.75,822.13,0.1533207017896758
11036,6,1.6666666666666667,73.96666666666667,6.25,332.57599999999996,123.34980561579555,0.96,11.834666666666667,16,291,0.73,797.57,0.09936908494959647
11037,0,0,0,6.416666666666667,463.5740259740259,192.15630869085973,0,0,18,76,0.77,688.04,0.04208754201668764
11070,3,2,126.13333333333334,6.3925,459.3381234647424,194.0094697985824,0.4692999608916699,19.73145613348977,18,60,0.74,447.17,0.13830162064046608
11136,7,1.4285714285714286,98.54285714285716,6.666666666666666,507.18000000000006,238.5810462638716,1.05,14.781428571428576,18,28,0.7,692.83,0.09008408221211353
11141,8,1.5,56.025000000000006,7.691388888888889,231.7133847416794,62.53591043898321,1.040124237061649,7.284120047672362,18,70,0.72,632.28,0.20381526049848658
11200,3,2,32.46666666666667,3.3869444444444445,95.73150992521403,25.49310067005795,0.8857541212170917,9.585827934060527,16,10,0.55,905.15,0.11259411292720946
11327,10,1.4,77.47999999999999,7.933611111111111,316.56309962972546,143.36428818908607,1.2604600679247926,9.766044606281291,17,28,0.49,983.35,0.12036285840040638
11417,5,1.6,78.00000000000001,7.232222222222222,301.88531654996603,82.44356122121057,0.6913504378552773,10.785066830542329,17,15,0.73,636.13,0.13205128178040762
11611,8,1.625,80.25,6.8213888888888885,266.10062921981404,166.20880172005158,1.1727816915747038,11.764466343608747,14,31,0.63,742.56,0.2947999035487517
11655,8,1.375,50.25,3.25,184.8,35.653218648531585,2.4615384615384617,15.461538461538462,18,148,0.7,666.74,0.2285843503469311
11743,10,1.6,83.46,6.25,275.552,81.33723761120869,1.6,13.353599999999998,18,8,0.7,775.79,0.20490354621633633
12095,4,1.75,55.25,3.8333333333333335,171.1826086956522,47.393787684791675,1.0434782608695652,14.41304347826087,18,22,0.51,723.86,0.17970264972169167
12297,4,1.75,92.94999999999999,5.1775,281.57040448686996,76.48193631434788,0.772573635924674,17.95267986479961,17,40,0.7,625.13,0.31491585278448947
12316,8,1.5,97.675,8.381666666666666,418.25933722341455,159.83518003374778,0.954464108172599,11.653410220719826,18,148,0.75,637.19,0.15585274270067828
12390,4,2,129.75,3.75,309.28,144.44480979572464,1.0666666666666667,34.6,18,5,0.65,818.32,0.41131984522339904
12398,6,1.5,73.76666666666667,8.54861111111111,267.1478240687014,108.06975614189817,0.701868399675061,8.629082047116166,16,102,0.5,869.5,0.2057538781777862
12409,2,2.5,98.8,7.6,287.2894736842106,93.52215585819029,0.2631578947368421,13,16,127,0.76,753.3,0.07651821842986282
12417,3,2,82.2,3.5,186.68571428571428,64.0048748143452,0.8571428571428571,23.485714285714288,16,4,0.7,631.7,0.18342795305464946
12520,4,2,135.04999999999998,5.255277777777778,461.8555003185325,155.60913701818959,0.7611395951160209,25.697975580104654,18,100,0.68,497.81,0.1036190298354401
12547,9,1.3333333333333333,85.02222222222221,7.320555555555556,373.7059861522015,141.61320183172978,1.2294148895803294,11.61417621613417,16,88,0.68,736.39,0.16666666640529706
12608,9,1.6666666666666667,101.2,9.083333333333334,329.7467889908256,154.5016490541106,0.9908256880733944,11.141284403669724,16,195,0.66,519,0.21891377507498463
12612,6,1.5,59.1,8.166666666666666,215.97551020408164,128.8342263483888,0.7346938775510204,7.236734693877552,16,143,0.68,578.19,0.15353763199735077
12683,8,1.5,98.475,7.833333333333333,345.3702127659575,120.62940177016783,1.021276595744681,12.571276595744681,18,265,0.74,727.27,0.17739273900371755
12717,1,4,121.2,3.5,218.57142857142858,60.06933493888541,0.2857142857142857,34.628571428571426,16,7,0.72,775.26,0.11551155077388925
12737,2,3,175.7,5.080277777777778,196.08959646551398,67.41221512839216,0.39367926075783255,34.58472305757559,18,126,0.59,670.33,0.21238854071115598
12828,5,1.8,109.23999999999998,8.333333333333334,342.35999999999996,136.251443652667,0.6,13.108799999999997,17,89,0.77,770.88,0.14158427902949006
12830,8,1.5,82.25,7.833333333333333,352.39148936170216,147.4382064706185,1.021276595744681,10.5,17,11,0.59,935.92,0.11778115480039904
12840,10,1.4,32.1,7.806388888888889,132.62106722473573,57.42602732401552,1.2810020282532115,4.112016510692809,16,69,0.61,944.44,0.17191811228980972
12878,6,1.5,77.36666666666666,7.166666666666667,319.0325581395349,85.47962365737264,0.8372093023255813,10.795348837209302,16,186,0.78,512.32,0.2549667284060437
12959,7,1.5714285714285714,124.3714285714286,7.459444444444444,444.20169308528585,239.86150862400876,0.9384076860058093,16.67301492727873,16,371,0.76,470.44,0.17342271765570086
