SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
300,8.05,2045,300,261,28,61
300,8.1,2345,300,159,14,59
300,8.15,2645,300,119,11,26
300,8.3,3545,300,125,10,35
300,8.35,3845,300,176,13,28
300,8.4,4145,300,443,25,50
300,8.5,4745,300,151,12,34
300,14.15,20791,300,213,9,24
300,14.45,22591,300,194,12,41
300,15,23491,300,145,12,24
300,15.3,25291,300,316,12,37
300,16.35,26468,300,145,8,27
300,16.4,26768,300,358,18,40
300,16.55,27668,300,134,9,46
300,17,27968,300,228,11,51
300,17.05,28268,300,281,16,61
300,17.1,28568,300,328,24,78
300,18.4,33968,300,288,9,27
300,19.1,35768,300,276,16,37
