SUBJECT,Birthdate,Age,Sex,Date,Time,RecTime,Duration,Meaningful,Distant,TV,Noise,Silence,AWC,CTC,CVC,EXCLUDE,DNL,LogbookNaps,AWCNaps,Sleep,Comments
187,12/22/15,14m; 20d,FALSE,3/14/17,12.35,0,5,00:00:05,00:00:01,00:00:01,00:00:00,00:00:00,16,0,0,1,0,0,0,0,Experimenter explaining to parent how recorder works
187,12/22/15,15m; 15d,FALSE,4/6/17,18.25,5,15,00:00:13,00:00:00,00:00:00,00:00:00,00:00:02,48,0,0,1,0,0,0,0,Experimenter explaining LENA numbers
187,12/22/15,15m; 16d,FALSE,4/7/17,21.1,20,92,00:00:12,00:00:14,00:00:36,00:00:01,00:00:29,31,0,0,1,0,0,0,0,Mom playing with child and toy
187,12/22/15,15m; 16d,FALSE,4/7/17,21.15,112,199,00:00:35,00:00:51,00:01:17,00:00:01,00:00:35,86,4,6,1,0,0,0,0,Mom wants to sing twinkle twinkle little star along with toy
187,12/22/15,15m; 16d,FALSE,4/7/17,21.2,311,218,00:01:10,00:00:03,00:00:54,00:00:00,00:01:31,186,2,2,1,0,0,0,0,"Going over the different sounds things make and naming objects (animals and food). I think it might be from a book because mom says ""cambia la pagina"""
187,12/22/15,15m; 16d,FALSE,4/7/17,21.25,529,300,00:01:55,00:00:04,00:00:48,00:00:06,00:02:07,307,6,11,1,0,0,0,0,NA
187,12/22/15,15m; 16d,FALSE,4/7/17,21.3,829,300,00:01:46,00:00:19,00:00:55,00:00:07,00:01:53,218,5,6,1,0,0,0,0,NA
187,12/22/15,15m; 16d,FALSE,4/7/17,21.35,1129,300,00:01:09,00:00:10,00:02:05,00:00:00,00:01:36,161,3,3,1,0,0,0,0,NA
187,12/22/15,15m; 16d,FALSE,4/7/17,21.4,1429,300,00:01:19,00:00:19,00:01:09,00:00:01,00:02:12,237,3,4,1,0,0,0,0,NA
187,12/22/15,15m; 16d,FALSE,4/7/17,21.45,1729,256,00:01:18,00:00:11,00:01:21,00:00:06,00:01:20,92,4,19,1,0,0,0,0,Getting ready to go to sleep- a toy is telling her night night and singing abc's (toy is in English)
187,12/22/15,15m; 16d,FALSE,4/7/17,21.5,1985,300,00:01:05,00:01:05,00:00:00,00:00:09,00:02:41,146,5,9,1,0,0,0,0,NA
