SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
300,17.05,0,8,22,0,0
300,7.3,8,237,78,4,19
300,7.35,245,300,93,4,15
300,7.4,545,300,46,6,43
300,7.45,845,300,7,2,14
300,7.5,1145,300,61,8,60
300,7.55,1445,300,71,11,42
300,8,1745,300,45,4,14
300,8.05,2045,300,261,28,61
300,8.1,2345,300,159,14,59
300,8.15,2645,300,119,11,26
300,8.2,2945,300,71,8,22
300,8.25,3245,300,233,15,20
300,8.3,3545,300,125,10,35
300,8.35,3845,300,176,13,28
300,8.4,4145,300,443,25,50
300,8.45,4445,300,100,0,0
300,8.5,4745,300,151,12,34
300,8.55,5045,300,97,3,7
300,9,5345,300,119,3,4
300,9.05,5645,300,150,9,22
300,9.1,5945,300,92,5,23
300,9.15,6245,300,86,3,11
300,9.2,6545,300,3,0,5
300,9.25,6845,300,64,3,10
300,9.3,7145,300,93,6,21
300,10.3,7562,29,0,0,0
300,10.35,7591,300,95,4,36
300,10.4,7891,300,111,11,37
300,10.45,8191,300,99,7,11
300,10.5,8491,300,37,3,22
300,10.55,8791,300,34,2,7
300,11,9091,300,35,2,7
300,11.05,9391,300,32,3,10
300,11.1,9691,300,16,0,2
300,11.15,9991,300,0,0,4
300,11.2,10291,300,11,0,1
300,11.25,10591,300,46,1,3
300,11.3,10891,300,61,4,13
300,11.35,11191,300,65,5,10
300,11.4,11491,300,74,3,11
300,11.45,11791,300,0,0,0
300,11.5,12091,300,41,3,5
300,11.55,12391,300,8,1,8
300,12,12691,300,172,7,16
300,12.05,12991,300,22,2,24
300,12.1,13291,300,62,4,26
300,12.15,13591,300,110,2,9
300,12.2,13891,300,4,0,0
300,12.25,14191,300,0,0,0
300,12.3,14491,300,92,2,8
300,12.35,14791,300,13,2,18
300,12.4,15091,300,32,5,28
300,12.45,15391,300,38,2,13
300,12.5,15691,300,112,12,27
300,12.55,15991,300,46,5,32
300,13,16291,300,12,0,0
300,13.05,16591,300,111,3,4
300,13.1,16891,300,32,1,2
300,13.15,17191,300,93,2,5
300,13.2,17491,300,351,6,8
300,13.25,17791,300,114,4,7
300,13.3,18091,300,67,3,7
300,13.35,18391,300,60,1,7
300,13.4,18691,300,102,0,1
300,13.45,18991,300,50,0,1
300,13.5,19291,300,47,1,15
300,13.55,19591,300,103,1,7
300,14,19891,300,451,7,8
300,14.05,20191,300,239,6,9
300,14.1,20491,300,88,3,9
300,14.15,20791,300,213,9,24
300,14.2,21091,300,115,9,17
300,14.25,21391,300,37,2,24
300,14.3,21691,300,108,1,4
300,14.35,21991,300,16,0,23
300,14.4,22291,300,82,7,19
300,14.45,22591,300,194,12,41
300,14.5,22891,300,126,3,15
300,14.55,23191,300,94,4,14
300,15,23491,300,145,12,24
300,15.05,23791,300,107,5,16
300,15.1,24091,300,45,3,29
300,15.15,24391,300,72,7,26
300,15.2,24691,300,71,4,26
300,15.25,24991,300,105,3,13
300,15.3,25291,300,316,12,37
300,16.2,25841,27,4,0,0
300,16.25,25868,300,216,6,15
300,16.3,26168,300,133,4,21
300,16.35,26468,300,145,8,27
300,16.4,26768,300,358,18,40
300,16.45,27068,300,325,9,17
300,16.5,27368,300,196,8,17
300,16.55,27668,300,134,9,46
300,17,27968,300,228,11,51
300,17.05,28268,300,281,16,61
300,17.1,28568,300,328,24,78
300,17.15,28868,300,136,4,15
300,17.2,29168,300,131,6,12
300,17.25,29468,300,150,4,16
300,17.3,29768,300,195,7,20
300,17.35,30068,300,45,2,15
300,17.4,30368,300,85,4,17
300,17.45,30668,300,113,12,31
300,17.5,30968,300,48,5,13
300,17.55,31268,300,31,0,14
300,18,31568,300,162,8,18
300,18.05,31868,300,68,3,19
300,18.1,32168,300,40,1,10
300,18.15,32468,300,104,5,29
300,18.2,32768,300,100,7,15
300,18.25,33068,300,29,0,3
300,18.3,33368,300,79,4,20
300,18.35,33668,300,259,8,17
300,18.4,33968,300,288,9,27
300,18.45,34268,300,115,5,21
300,18.5,34568,300,61,3,10
300,18.55,34868,300,99,1,6
300,19,35168,300,69,1,7
300,19.05,35468,300,49,2,14
300,19.1,35768,300,276,16,37
300,19.15,36068,26,0,0,0
