SUBJECT,Birthdate,Age,Sex,Date,Time,RecTime,Duration,Meaningful,Distant,TV,Noise,Silence,AWC,CTC,CVC,EXCLUDE,DNL,LogbookNaps,AWCNaps,Sleep,Comments
187,12/22/15,14m; 20d,FALSE,3/14/17,12:35:00,0,5,00:00:05,00:00:01,00:00:01,00:00:00,00:00:00,16,0,0,1,0,0,0,0,Experimenter explaining to parent how recorder works
187,12/22/15,15m; 15d,FALSE,4/6/17,18:25:00,5,15,00:00:13,00:00:00,00:00:00,00:00:00,00:00:02,48,0,0,1,0,0,0,0,Experimenter explaining LENA numbers
187,12/22/15,15m; 16d,FALSE,4/7/17,21:10:00,20,92,00:00:12,00:00:14,00:00:36,00:00:01,00:00:29,31,0,0,1,0,0,0,0,Mom playing with child and toy
187,12/22/15,15m; 16d,FALSE,4/7/17,21:15:00,112,199,00:00:35,00:00:51,00:01:17,00:00:01,00:00:35,86,4,6,1,0,0,0,0,Mom wants to sing twinkle twinkle little star along with toy
187,12/22/15,15m; 16d,FALSE,4/7/17,21:20:00,311,218,00:01:10,00:00:03,00:00:54,00:00:00,00:01:31,186,2,2,1,0,0,0,0,"Going over the different sounds things make and naming objects (animals and food). I think it might be from a book because mom says ""cambia la pagina"""
187,12/22/15,15m; 16d,FALSE,4/7/17,21:25:00,529,300,00:01:55,00:00:04,00:00:48,00:00:06,00:02:07,307,6,11,1,0,0,0,0,NA
187,12/22/15,15m; 16d,FALSE,4/7/17,21:30:00,829,300,00:01:46,00:00:19,00:00:55,00:00:07,00:01:53,218,5,6,1,0,0,0,0,NA
187,12/22/15,15m; 16d,FALSE,4/7/17,21:35:00,1129,300,00:01:09,00:00:10,00:02:05,00:00:00,00:01:36,161,3,3,1,0,0,0,0,NA
187,12/22/15,15m; 16d,FALSE,4/7/17,21:40:00,1429,300,00:01:19,00:00:19,00:01:09,00:00:01,00:02:12,237,3,4,1,0,0,0,0,NA
187,12/22/15,15m; 16d,FALSE,4/7/17,21:45:00,1729,256,00:01:18,00:00:11,00:01:21,00:00:06,00:01:20,92,4,19,1,0,0,0,0,Getting ready to go to sleep- a toy is telling her night night and singing abc's (toy is in English)
187,12/22/15,15m; 16d,FALSE,4/7/17,21:50:00,1985,300,00:01:05,00:01:05,00:00:00,00:00:09,00:02:41,146,5,9,1,0,0,0,0,NA
187,12/22/15,15m; 16d,FALSE,4/7/17,21:55:00,2285,300,00:00:56,00:00:57,00:00:00,00:01:18,00:01:49,88,7,15,1,0,0,0,0,NA
187,12/22/15,15m; 16d,FALSE,4/7/17,22:00:00,2585,88,00:00:25,00:00:25,00:00:00,00:00:00,00:00:38,27,1,1,1,0,0,0,0,Playing with English singing toy and giving kisses
187,12/22/15,15m; 17d,FALSE,4/8/17,12:00:00,2673,220,00:01:27,00:00:10,00:00:57,00:00:00,00:01:06,232,7,15,0,0,0,0,0,Put LENA + shirt on within first minute. Brushing teeth while singing abc's
187,12/22/15,15m; 17d,FALSE,4/8/17,12:05:00,2893,300,00:01:42,00:00:44,00:00:00,00:00:08,00:02:26,100,8,25,0,0,0,0,0,NA
187,12/22/15,15m; 17d,FALSE,4/8/17,12:10:00,3193,300,00:01:30,00:00:48,00:00:00,00:00:05,00:02:37,139,4,21,0,0,0,0,0,NA
187,12/22/15,15m; 17d,FALSE,4/8/17,12:15:00,3493,300,00:01:17,00:00:17,00:00:00,00:00:04,00:03:22,191,8,14,0,0,0,0,0,NA
187,12/22/15,15m; 17d,FALSE,4/8/17,12:20:00,3793,300,00:01:24,00:00:17,00:00:00,00:00:00,00:03:19,254,7,13,0,0,0,0,0,NA
187,12/22/15,15m; 17d,FALSE,4/8/17,12:25:00,4093,300,00:01:29,00:00:18,00:00:01,00:00:03,00:03:09,193,11,24,0,0,0,0,0,NA
187,12/22/15,15m; 17d,FALSE,4/8/17,12:30:00,4393,300,00:01:19,00:00:25,00:00:00,00:00:00,00:03:16,220,9,18,0,0,0,0,0,NA
187,12/22/15,15m; 17d,FALSE,4/8/17,12:35:00,4693,300,00:01:32,00:00:20,00:00:10,00:00:05,00:02:53,212,12,30,0,0,0,0,0,NA
