id,study_name,age_L1PRE,age_L1POST,age_L2PRE,age_L2POST,dob,sex,L1PRE_cdi_version,L1PRE_cdi_age,L1PRE_cdi_und_words,L1PRE_cdi_und_per,L1PRE_cdi_vocab,L1PRE_cdi_vocabper,id_L1PRE_peek,L1PRE_peek_datatype,L1PRE_peek_order,L1PRE_acc_3001800,L1PRE_acc_3001800n,L1PRE_acc_3001800sd,L1PRE_goodacc_3001800,L1PRE_nogoodacc_reason,L1PRE_drt,L1PRE_drtn,L1PRE_drtsd,L1PRE_gooddrt,L1PRE_nogooddrt_reason,L1POST_cdi_version,L1POST_cdi_age,L1POST_cdi_und_words,L1POST_cdi_und_per,L1POST_cdi_vocab,L1POST_cdi_vocabper,L1POST_peek_datatype,L1POST_peek_order,L1POST_acc_3001800,L1POST_acc_3001800n,L1POST_acc_3001800sd,L1POST_goodacc_3001800,L1POST_nogoodacc_reason,L1POST_drt,L1POST_drtn,L1POST_drtsd,L1POST_gooddrt,L1POST_nogooddrt_reason,id_L2PRE_peek,L2PRE_SPAN_peek_datatype,L2PRE_SPAN_peek_order,L2PRE_SPAN_acc_3001800,L2PRE_SPAN_acc_3001800n,L2PRE_SPAN_acc_3001800sd,L2PRE_SPAN_goodacc_3001800,L2PRE_SPAN_nogoodacc_reason,L2PRE_SPAN_drt,L2PRE_SPAN_drtn,L2PRE_SPAN_drtsd,L2PRE_SPAN_gooddrt,L2PRE_SPAN_nogooddrt_reason,
7334,habla1,19.7, , , ,7/31/11,1,wg,19,225,50,88,78,7334,hand,HABLA18-1; HABLA18-2,0.486861053,35,0.391311202,0.486861053, ,872.25,12,390.2659059,872.25, ,ws,25,-9,-9,175,31, , , , , ,0.63, , , , ,837.56, ,7334, , , , , , , , , , , , ,
7352,habla1,20.3, , , ,5/14/11,0,wg,20,100,12,19,22,7352,hand,HABLA18-1; HABLA18-2,0.804654386,20,0.272114249,0.804654386, ,896.125,8,419.9494655,896.125, ,ws,26,-9,-9,103,17, , , , , ,0.59, , , , ,841.67, ,7352, , , , , , , , , , , , ,
7355,habla1,18.8, , , ,6/24/11,1,wg,18,247,61,81,77,7355,hand,HABLA18-1; HABLA18-2,0.577197247,37,0.405870156,0.577197247, ,1250,8,311.1627962,1250, ,ws,26,-9,-9,403,67, , , , , ,0.66, , , , ,702, ,7355, , , , , , , , , , , , ,
7363,habla1,19.2, , , ,6/14/11,1,wg,19,182,39,37,23,7363,hand,HABLA18-1; HABLA18-2,0.548806403,40,0.378111729,0.548806403, ,1073.4,10,157.7904377,1073.4, ,ws,27,-9,-9,205,23, , , , , ,0.7, , , , ,715.6, ,7363, , , , , , , , , , , , ,
7423,habla1,18.1, , , ,9/9/11,1,wg,18,113,16,105,80,7423,hand,HABLA18-1; HABLA18-2,0.736216723,35,0.284352658,0.736216723, ,966.6923077,13,293.7372365,966.6923077, ,ws,25,-9,-9,456,78, , , , , ,0.67, , , , ,772.9, ,7423, , , , , , , , , , , , ,
7433,habla1,18.2, , , ,9/6/11,0,wg,18,278,74,96,83,7433,hand,HABLA18-1; HABLA18-2,0.707992795,41,0.315603433,0.707992795, ,724.0555556,18,356.2006163,724.0555556, ,ws,27,-9,-9,535,87, , , , , ,0.7, , , , ,713.3, ,7433, , , , , , , , , , , , ,
7457,habla1,20.2, , , ,9/17/11,1,wg,20,231,52,40,24,7457,hand,HABLA18-1; HABLA18-2,0.688384643,23,0.306490011,0.688384643, ,900,8,228.3343413,900, ,ws,25,-9,-9,414,74, , , , , ,0.72, , , , ,577.71, ,7457, , , , , , , , , , , , ,
7473,habla1,19, , , ,8/12/11,0,wg,19,273,73,85,81,7473,hand,HABLA18-1; HABLA18-2,0.55742928,32,0.377488523,0.55742928, ,1037.235294,17,445.872113,1037.235294, ,ws,25,-9,-9,180,40, , , , , ,0.63, , , , ,573.6, ,7473, , , , , , , , , , , , ,
7587,habla1,20, , , ,1/4/12,1,wg,20,324,87,286,99,7587,hand,HABLA18-1; HABLA18-2,0.63245336,55,0.293207742,0.63245336, ,790.0740741,27,349.599763,790.0740741, ,ws,25,-9,-9,675,99, , , , , ,0.63, , , , ,697.17, ,7587, , , , , , , , , , , , ,
7660,habla1,17.7, , , ,2/13/12,1,wg,17,227,63,90,81,7660,hand,HABLA18-1; HABLA18-2,0.517031312,27,0.357892286,0.517031312, ,641.75,8,265.4348185,641.75, ,ws,26,-9,-9,394,66, , , , , ,0.76, , , , ,613.28, ,7660, , , , , , , , , , , , ,
