SUBJECT,nclusters,avgClustersize,minClusterAWC,maxClusterAWC,avgClusterDensity
196,16,1.5625,137.0,903.0,376.875
481,10,1.5,144.0,724.0,377.5
345,0,0,0,0,0
334,7,1.8571428571428572,143.0,1183.0,527.4285714285714
476,16,1.5,41.0,386.0,165.75
511,0,0,0,0,0
241,4,2.0,169.0,564.0,330.0
230,3,2.0,311.0,403.0,368.6666666666667
471,15,1.5333333333333334,139.0,1279.0,399.1333333333333
464,4,1.75,73.0,400.0,189.0
503,11,1.4545454545454546,152.0,882.0,399.09090909090907
465,9,1.5555555555555556,81.0,988.0,336.77777777777777
470,17,1.3529411764705883,149.0,650.0,302.4117647058824
248,3,2.0,259.0,321.0,292.6666666666667
190,6,2.0,187.0,1105.0,437.5
492,9,1.4444444444444444,108.0,584.0,282.1111111111111
231,12,1.5833333333333333,217.0,1123.0,499.5833333333333
332,3,2.0,173.0,845.0,410.3333333333333
477,24,1.375,85.0,647.0,265.75
488,8,1.5,38.0,455.0,158.0
344,1,4.0,543.0,543.0,543.0
197,13,1.3846153846153846,54.0,359.0,157.33333333333334
320,6,1.5,59.0,326.0,143.33333333333334
335,8,1.5,192.0,750.0,414.0
512,14,1.3571428571428572,129.0,664.0,264.5
188,7,1.8571428571428572,309.0,1081.0,547.0
475,15,1.6666666666666667,145.0,707.0,417.53333333333336
460,17,1.588235294117647,138.0,949.0,424.8235294117647
500,13,1.4615384615384615,37.0,284.0,113.38461538461539
338,11,1.5454545454545454,165.0,960.0,365.27272727272725
330,4,2.25,112.0,706.0,347.25
485,17,1.5294117647058822,170.0,855.0,434.6470588235294
192,13,1.3846153846153846,161.0,921.0,361.61538461538464
187,17,1.6470588235294117,207.0,1122.0,429.94444444444446
232,12,1.4166666666666667,109.0,556.0,249.0
193,10,1.5,36.0,417.0,125.0
501,12,1.5,438.0,1679.0,760.4166666666666
336,6,1.6666666666666667,118.0,727.0,302.8333333333333
189,6,1.8333333333333333,102.0,726.0,323.1666666666667
259,9,1.7777777777777777,81.0,522.0,259.3333333333333
513,16,1.375,106.0,746.0,295.4375
461,5,2.2,375.0,2219.0,899.4
474,7,1.7142857142857142,165.0,774.0,455.2857142857143
302,4,2.0,223.0,1213.0,534.75
439,6,2.0,175.0,998.0,507.0
431,10,1.7,284.0,1096.0,722.7
424,7,1.7142857142857142,148.0,592.0,333.125
440,0,0,0,0,0
310,16,1.625,191.0,801.0,361.57894736842104
528,20,1.5,58.0,1139.0,241.15
277,7,1.4285714285714286,111.0,446.0,257.2857142857143
436,3,2.0,179.0,248.0,203.33333333333334
304,6,1.6666666666666667,186.0,731.0,414.8333333333333
311,8,1.625,216.0,1251.0,505.625
276,2,2.5,135.0,218.0,176.5
425,5,1.8,238.0,904.0,474.0
279,7,1.5714285714285714,113.0,1087.0,325.25
215,8,1.5,41.0,396.0,119.66666666666667
271,1,4.0,1979.0,1979.0,1979.0
309,7,1.5714285714285714,98.0,461.0,197.71428571428572
427,6,1.8333333333333333,430.0,1700.0,880.3333333333334
266,12,1.4166666666666667,131.0,820.0,309.3333333333333
202,16,1.375,66.0,241.0,128.57894736842104
451,35,1.6571428571428573,21.0,1018.0,202.37142857142857
444,1,4.0,639.0,639.0,639.0
283,8,1.375,202.0,684.0,385.375
435,5,1.6,133.0,478.0,287.0
261,7,1.7142857142857142,102.0,895.0,338.2857142857143
313,1,4.0,1864.0,1864.0,1864.0
260,8,1.375,52.0,361.0,157.375
312,6,1.5,101.0,377.0,244.66666666666666
307,5,1.8,132.0,913.0,411.2
282,6,1.5,96.0,335.0,183.0
445,10,1.6,156.0,695.0,474.3
421,1,4.0,810.0,810.0,810.0
272,10,1.4,158.0,1569.0,473.2
300,11,1.7272727272727273,134.0,895.0,394.54545454545456
203,8,1.5,215.0,846.0,381.0
308,4,2.0,339.0,1294.0,653.5
433,7,1.5714285714285714,119.0,618.0,306.14285714285717
426,4,2.0,166.0,697.0,370.75
