SUBJECT,hour_bin,unclean_total_awc,unclean_total_ctc,unclean_total_cvc,unclean_total_hrs,clean_total_awc,clean_total_ctc,clean_total_cvc,clean_total_hrs
187,12,2577,102,239,1.0497222222222222,2561,102,239,1.0483333333333333
187,13,4331,120,318,2.7705555555555557,4331,120,318,2.7705555555555557
187,14,1694,76,236,2.3669444444444445,1694,76,236,2.3669444444444445
187,15,3684,136,282,2,3684,136,282,2
187,16,6794,253,571,2.477777777777778,6794,253,571,2.477777777777778
187,17,3514,75,186,2.2536111111111112,3514,75,186,2.2536111111111112
187,18,2449,67,149,1.1333333333333333,2401,67,149,1.1291666666666667
187,19,1367,51,168,0.9016666666666666,1367,51,168,0.9016666666666666
187,20,435,21,103,0.30944444444444447,435,21,103,0.30944444444444447
188,9,410,13,41,0.5633333333333334,388,10,29,0.3647222222222222
188,10,1085,80,257,1,1085,80,257,1
188,11,1921,66,234,1,1921,66,234,1
188,12,1221,40,177,1,1221,40,177,1
188,13,1226,41,82,0.30527777777777776,1201,41,82,0.30277777777777776
188,18,279,12,74,0.6163888888888889,279,12,74,0.6163888888888889
188,19,776,28,140,1,776,28,140,1
188,20,1196,26,95,1,1196,26,95,1
188,21,2353,63,165,1,2353,63,165,1
188,22,1601,15,23,0.7066666666666667,1601,15,23,0.7066666666666667
189,13,1356,22,93,1.6163888888888889,1297,22,90,0.8663888888888889
189,14,735,28,143,2,716,28,138,1
189,15,257,21,271,1.198611111111111,245,20,251,0.9486111111111111
189,16,2294,33,135,1,2294,33,135,1
189,17,276,21,71,1,219,16,60,0.3333333333333333
189,19,914,6,24,1,890,5,11,0.3333333333333333
189,20,1964,55,176,1,1964,55,176,1
189,21,789,27,112,1,781,27,111,0.8333333333333334
189,22,115,8,76,1,97,4,33,0.25
189,23,0,0,0,0.06166666666666667,0,0,0,0.06166666666666667
189,8,114,9,34,0.12055555555555555,114,9,34,0.12055555555555555
189,9,1144,70,277,1,1144,70,277,1
189,10,1652,77,293,1,1652,77,293,1
189,11,614,26,248,1,614,26,248,1
189,12,840,26,141,1.0027777777777778,812,26,141,1
190,10,103,8,27,0.04388888888888889,103,8,27,0.04388888888888889
190,11,2298,93,330,1,2298,93,330,1
190,12,1796,58,159,1.728611111111111,1796,58,159,1.728611111111111
190,13,2357,74,408,2,2357,74,398,1.8333333333333333
190,14,1622,51,183,1.4441666666666666,1577,51,183,1.4405555555555556
190,15,988,45,316,1,988,45,316,1
190,16,0,0,2,0.014722222222222222,0,0,2,0.014722222222222222
190,18,1357,84,369,0.98,1357,84,369,0.98
190,19,2371,42,153,1,2371,42,153,1
190,20,1238,44,170,0.5986111111111111,1238,44,170,0.5986111111111111
192,11,890,25,61,0.4477777777777778,890,25,61,0.4477777777777778
192,12,3472,148,417,1.1852777777777779,3464,148,417,1.1844444444444444
192,13,1867,109,420,1.378611111111111,1843,109,420,1.3766666666666667
192,17,1422,88,407,1.1258333333333332,1422,88,407,1.1258333333333332
192,18,1880,52,199,1.3569444444444445,1880,52,199,1.3569444444444445
192,19,869,26,178,0.7811111111111111,869,26,178,0.7811111111111111
192,20,1103,31,207,1,1103,31,207,1
192,21,1670,81,320,1,1670,81,320,1
192,22,2533,122,277,0.7352777777777778,2533,122,277,0.7352777777777778
192,14,1021,78,358,1,1021,78,358,1
192,15,1966,51,187,1,1786,48,182,0.75
192,16,879,48,234,1,879,48,234,1
193,7,146,13,194,0.5519444444444445,104,11,192,0.5
193,8,559,33,204,1.26,559,33,172,1.0933333333333333
193,9,928,20,138,2,928,20,138,2
193,10,1047,42,175,2,1047,42,175,2
193,11,362,23,167,1.3397222222222223,362,23,167,1.3333333333333333
193,13,419,28,287,1.5827777777777778,419,28,276,1.3327777777777778
193,14,349,6,146,2,349,6,137,1.75
193,15,736,17,185,2,736,17,165,1.6666666666666667
193,16,77,7,218,1.0366666666666666,77,7,196,0.9533333333333334
193,17,157,8,111,1,157,8,97,0.8333333333333334
193,18,56,1,9,0.22027777777777777,56,1,9,0.22027777777777777
193,12,103,6,53,1,92,5,45,0.4166666666666667
196,9,2860,85,297,2.214722222222222,2860,85,297,2.214722222222222
196,10,2467,100,337,2.19,2467,100,337,2.19
196,11,2300,92,332,2,2300,92,332,2
