SUBJECT,Birthdate,Age,Sex,Date,Time,RecTime,Duration,Meaningful,Distant,TV,Noise,Silence,AWC,CTC,CVC,EXCLUDE,DNL,LogbookNaps,AWCNaps,Sleep
187,2015-12-22,14m; 20d,F,2017-03-14,12.35,0,5,1462.0000578703705,1462.0000115740741,1462.0000115740741,1904-01-01T00:00:00Z,1462,16,0,0,1,0,0,0,0
187,2015-12-22,15m; 15d,F,2017-04-06,18.25,5,15,1462.0001504629629,1462,1462,1904-01-01T00:00:00Z,1462.0000231481481,48,0,0,1,0,0,0,0
187,2015-12-22,15m; 16d,F,2017-04-07,21.10,20,92,1462.0001388888888,1462.0001620370369,1462.0004166666668,1904-01-01T00:00:01Z,1462.0003356481482,31,0,0,1,0,0,0,0
187,2015-12-22,15m; 16d,F,2017-04-07,21.15,112,199,1462.0004050925927,1462.0005902777777,1462.0008912037038,1904-01-01T00:00:01Z,1462.0004050925927,86,4,6,1,0,0,0,0
187,2015-12-22,15m; 16d,F,2017-04-07,21.20,311,218,1462.0008101851852,1462.0000347222222,0:00:54,1904-01-01T00:00:00Z,1462.0010532407407,186,2,2,1,0,0,0,0
187,2015-12-22,15m; 16d,F,2017-04-07,21.25,529,300,1462.0013310185186,1462.0000462962962,1462.0005555555556,1904-01-01T00:00:06Z,1462.0014699074075,307,6,11,1,0,0,0,0
187,2015-12-22,15m; 16d,F,2017-04-07,21.30,829,300,1462.0012268518519,1462.0002199074074,1462.0006365740742,1904-01-01T00:00:07Z,1462.0013078703703,218,5,6,1,0,0,0,0
187,2015-12-22,15m; 16d,F,2017-04-07,21.35,1129,300,1462.0007986111111,1462.0001157407407,1462.0014467592594,1904-01-01T00:00:00Z,1462.0011111111112,161,3,3,1,0,0,0,0
187,2015-12-22,15m; 16d,F,2017-04-07,21.40,1429,300,1462.0009143518519,1462.0002199074074,1462.0007986111111,1904-01-01T00:00:01Z,1462.0015277777777,237,3,4,1,0,0,0,0
187,2015-12-22,15m; 16d,F,2017-04-07,21.45,1729,256,1462.0009027777778,1462.0001273148148,1462.0009375,1904-01-01T00:00:06Z,1462.0009259259259,92,4,19,1,0,0,0,0
187,2015-12-22,15m; 16d,F,2017-04-07,21.50,1985,300,1462.0007523148149,1462.0007523148149,1462,1904-01-01T00:00:09Z,1462.0018634259259,146,5,9,1,0,0,0,0
187,2015-12-22,15m; 16d,F,2017-04-07,21.55,2285,300,1462.0006481481482,1462.0006597222223,1462,1904-01-01T00:01:18Z,1462.0012615740741,88,7,15,1,0,0,0,0
187,2015-12-22,15m; 16d,F,2017-04-07,22.00,2585,88,1462.000289351852,1462.000289351852,1462,1904-01-01T00:00:00Z,1462.0004398148149,27,1,1,1,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,12.00,2673,220,1462.0010069444445,1462.0001157407407,1462.0006597222223,1904-01-01T00:00:00Z,1462.000763888889,232,7,15,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,12.05,2893,300,1462.0011805555555,1462.0005092592592,1462,1904-01-01T00:00:08Z,1462.0016898148149,100,8,25,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,12.10,3193,300,1462.0010416666667,1462.0005555555556,1462,1904-01-01T00:00:05Z,1462.0018171296297,139,4,21,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,12.15,3493,300,1462.0008912037038,1462.0001967592593,1462,1904-01-01T00:00:04Z,1462.0023379629629,191,8,14,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,12.20,3793,300,1462.0009722222221,1462.0001967592593,1462,1904-01-01T00:00:00Z,1462.0023032407407,254,7,13,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,12.25,4093,300,1462.0010300925926,1462.0002083333334,1462.0000115740741,1904-01-01T00:00:03Z,1462.0021875,193,11,24,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,12.30,4393,300,1462.0009143518519,1462.000289351852,1462,1904-01-01T00:00:00Z,1462.0022685185186,220,9,18,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,12.35,4693,300,1462.0010648148148,1462.0002314814815,1462.0001157407407,1904-01-01T00:00:05Z,1462.0020023148147,212,12,30,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,12.40,4993,300,1462.0013773148148,1462.0004166666668,1462.0000925925926,1904-01-01T00:00:11Z,1462.0014583333334,282,11,28,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,12.45,5293,300,1462.0010300925926,1462.000289351852,1462,1904-01-01T00:00:11Z,1462.002025462963,197,9,25,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,12.50,5593,300,1462.0013078703703,1462.0004166666668,1462.0001041666667,1904-01-01T00:00:11Z,1462.0015162037037,347,12,17,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,12.55,5893,300,1462.0009837962964,1462.0022685185186,1462.0000347222222,1904-01-01T00:00:01Z,1462.0001736111112,122,1,4,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,13.00,6193,300,1462.0011111111112,1462.0002777777777,1462.0001851851853,1904-01-01T00:00:01Z,1462.001886574074,224,7,14,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,13.05,6493,300,1462.0005787037037,1462.0001967592593,1462.0000925925926,1904-01-01T00:00:07Z,1462.0025231481482,93,1,2,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,13.10,6793,300,1462.0007523148149,1462.0003703703703,1462.0000462962962,1904-01-01T00:00:24Z,1462.002025462963,174,6,12,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,13.15,7093,300,1462.0011574074074,1462.0008796296297,1462.0000115740741,1904-01-01T00:00:47Z,1462.0008796296297,143,4,20,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,13.20,7393,300,1462.0002662037036,1462.0001736111112,1462.0018287037037,1904-01-01T00:00:01Z,1462.0011921296295,73,3,5,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,13.25,7693,300,1462.0000231481481,1462.0000115740741,1462.0032638888888,1904-01-01T00:00:00Z,1462.0001736111112,0,0,3,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,13.30,7993,300,1462.0001967592593,1462.0007060185185,1462.0015509259258,1904-01-01T00:00:04Z,1462.0009722222221,29,1,5,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,13.35,8293,300,1462.0002662037036,1462.0010763888888,1462,1904-01-01T00:00:05Z,1462.0020717592593,45,1,2,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,13.40,8593,300,1462.0003703703703,1462.0009143518519,1462,1904-01-01T00:00:03Z,1462.0021527777778,41,4,9,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,13.45,8893,300,1462.0007291666666,1462.0003472222222,1462.0011226851852,1904-01-01T00:00:07Z,1462.0011921296295,78,5,29,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,13.50,9193,300,1462.0001273148148,1462.0001851851853,1462.0021875,1904-01-01T00:00:01Z,1462.0009606481481,0,0,2,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,13.55,9493,300,1462,1462.0000694444445,1462.0017476851851,1904-01-01T00:00:00Z,1462.0016550925925,0,0,0,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,14.00,9793,300,1462.0004513888889,1462.0011458333333,1462,1904-01-01T00:00:03Z,1462.0018402777778,74,4,16,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,14.05,10093,300,1462.0001851851853,1462.001712962963,1462,1904-01-01T00:00:01Z,1462.0015625000001,14,0,7,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,14.10,10393,300,1462.0005092592592,1462.0009606481481,1462.0007523148149,1904-01-01T00:00:04Z,1462.0012037037036,78,1,3,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,14.15,10693,300,1462,1462,1462.0033796296295,1904-01-01T00:00:00Z,1462.0000925925926,0,0,0,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,14.20,10993,300,1462.0003587962963,1462.0003472222222,1462.0025925925927,1904-01-01T00:00:00Z,1462.0001736111112,106,3,4,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,14.25,11293,300,1462.0002314814815,1462.0004398148149,1462.0010648148148,1904-01-01T00:00:00Z,1462.0017361111111,46,4,5,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,14.30,11593,300,1462.0008449074073,1462.0008564814814,1462.0000347222222,1904-01-01T00:00:21Z,1462.0014930555556,162,8,22,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,14.35,11893,300,1462.0010532407407,1462.000474537037,1462,1904-01-01T00:00:22Z,1462.0016898148149,99,7,26,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,14.40,12193,300,1462.0004513888889,1462.0008217592592,1462,1904-01-01T00:00:15Z,1462.002025462963,102,3,5,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,14.45,12493,300,1462.0002546296296,1462.0001967592593,1462.0012962962962,1904-01-01T00:00:07Z,1462.0016435185184,22,1,2,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,14.50,12793,300,1462.0003819444444,1462.0006481481482,1462.0006365740742,1904-01-01T00:00:02Z,1462.0017824074075,102,5,9,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,14.55,13093,300,1462.000775462963,1462.000763888889,1462,1904-01-01T00:00:07Z,1462.0018518518518,162,8,25,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,15.00,13393,300,1462.0006944444444,1462.0010879629629,1462.0000115740741,1904-01-01T00:00:03Z,1462.0016435185184,128,7,14,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,15.05,13693,300,1462.0008680555557,1462.0005555555556,1462.0000115740741,1904-01-01T00:00:08Z,1462.0019444444445,117,8,16,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,15.10,13993,300,1462.0012731481481,1462.0005555555556,1462.0000115740741,1904-01-01T00:00:12Z,1462.0014930555556,85,0,3,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,15.15,14293,300,1462.0006365740742,1462.0002430555555,1462,1904-01-01T00:00:08Z,0:03:36,142,6,6,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,15.20,14593,300,1462.0009606481481,0:00:27,1462,1904-01-01T00:00:05Z,1462.0021412037038,266,9,10,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,15.25,14893,300,1462.0011342592593,1462.0001851851853,1462,1904-01-01T00:00:05Z,1462.0020949074074,241,14,24,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,15.30,15193,300,1462.0005439814815,1462.0003703703703,1462.0000115740741,1904-01-01T00:00:37Z,1462.0021180555555,85,4,18,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,15.35,15493,300,1462.0008333333333,1462.0005208333334,1462.0000115740741,1904-01-01T00:00:24Z,1462.0018287037037,182,5,11,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,15.40,15793,300,1462.0014814814815,1462.0004050925927,1462.0000347222222,1904-01-01T00:00:37Z,1462.0011226851852,364,11,20,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,15.45,16093,300,1462.0018402777778,1462.000462962963,1462,1904-01-01T00:00:04Z,1462.0011226851852,209,7,9,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,15.50,16393,300,1462.0019560185185,1462.0000925925926,1462,1904-01-01T00:00:00Z,1462.001423611111,518,16,22,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,15.55,16693,300,1462.0011342592593,1462.0001273148148,1462.0000115740741,1904-01-01T00:00:06Z,1462.0021296296297,240,12,20,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,16.00,16993,300,1462.0010532407407,1462.0002546296296,1462,1904-01-01T00:00:04Z,1462.0021180555555,221,9,18,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,16.05,17293,300,1462.0011458333333,1462.0001041666667,1462,1904-01-01T00:00:06Z,1462.0021527777778,167,15,42,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,16.10,17593,300,1462.000763888889,1462.0001273148148,1462,1904-01-01T00:00:01Z,1462.0025694444444,132,8,16,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,16.15,17893,300,1462.0011458333333,1462.0000578703705,1462.0000115740741,1904-01-01T00:00:00Z,1462.0022569444445,220,20,35,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,16.20,18193,300,1462.0010185185185,1462.0006481481482,1462.0000115740741,1904-01-01T00:00:06Z,1462.001724537037,160,16,40,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,16.25,18493,300,1462.0008912037038,1462.0004861111111,1462.0000115740741,1904-01-01T00:00:08Z,1462.0019907407407,161,15,37,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,16.30,18793,300,1462.0014351851851,1462.0004050925927,1462.0000462962962,1904-01-01T00:00:04Z,1462.0015393518518,186,13,28,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,16.35,19093,300,1462.0007175925925,1462.0002314814815,1462.0000578703705,1904-01-01T00:00:00Z,1462.0024652777777,136,9,19,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,16.40,19393,300,1462.0012037037036,1462.0003240740741,1462.0000231481481,1904-01-01T00:00:08Z,1462.0018287037037,205,24,52,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,16.45,19693,300,1462.0010763888888,1462.000474537037,1462.0000231481481,1904-01-01T00:00:21Z,1462.0016550925925,207,11,24,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,16.50,19993,300,1462.0007986111111,0:00:27,1462,1904-01-01T00:00:18Z,1462.0021527777778,89,4,17,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,16.55,20293,300,1462.0013078703703,1462.0001736111112,1462.0000810185186,1904-01-01T00:00:02Z,1462.001886574074,116,5,13,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,17.00,20593,300,1462.000763888889,1462.0005555555556,1462.0000347222222,1904-01-01T00:00:12Z,1462.0019791666666,12,0,6,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,17.05,20893,300,1462.0004398148149,1462.0002314814815,1462.0001851851853,1904-01-01T00:00:04Z,1462.0025694444444,57,3,4,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,17.10,21193,300,1462.0003240740741,1462.0001388888888,0:00:27,1904-01-01T00:00:01Z,1462.0026851851851,37,0,1,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,17.15,21493,300,1462.0003356481482,1462.0002083333334,1462.0003472222222,1904-01-01T00:00:02Z,1462.0025578703703,49,2,7,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,17.20,21793,300,1462.0010185185185,0:00:54,1462.000775462963,1904-01-01T00:00:00Z,1462.0010532407407,75,2,3,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,17.25,22093,300,1462.0010879629629,1462.0008217592592,1462.0009259259259,1904-01-01T00:00:01Z,0:00:54,78,0,2,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,17.30,22393,300,1462.0011805555555,1462.0014467592594,1462.0001851851853,1904-01-01T00:00:02Z,1462.0006365740742,51,2,3,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,17.35,22693,300,1462.0001157407407,1462.0000231481481,1462.003136574074,1904-01-01T00:00:00Z,1462.0001967592593,25,2,3,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,17.40,22993,300,1462.0000231481481,1462.0005902777777,1462.0011689814814,1904-01-01T00:00:06Z,1462.0016203703703,0,0,1,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,17.45,23293,300,1462.0007523148149,0:00:27,1462.0007523148149,1904-01-01T00:00:07Z,1462.0015740740741,179,4,12,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,17.50,23593,300,1462.0004976851851,1462.0001273148148,1462.0019791666666,1904-01-01T00:00:00Z,1462.0008680555557,70,4,11,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,17.55,23893,300,1462.0002083333334,1462.0000347222222,1462.002488425926,1904-01-01T00:00:00Z,1462.0007407407406,14,1,3,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,18.00,24193,300,1462.0000810185186,1462.0000231481481,1462.0031134259259,1904-01-01T00:00:00Z,1462.0002546296296,0,0,4,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,18.05,24493,300,1462.0002662037036,1462.0000578703705,1462.0028935185185,1904-01-01T00:00:00Z,1462.0002546296296,54,1,2,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,18.10,24793,300,1462.000300925926,1462.0001041666667,0:03:36,1904-01-01T00:00:00Z,1462.0005671296296,78,3,3,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,18.15,25093,300,1462.0001157407407,0:00:27,1462.0015740740741,1904-01-01T00:00:01Z,1462.0014583333334,9,0,6,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,18.20,25393,300,1462.0003356481482,1462.000300925926,1462.0022685185186,1904-01-01T00:00:00Z,1462.0005671296296,91,0,1,0,0,0,0,0
187,2015-12-22,15m; 17d,F,2017-04-08,18.25,25693,105,1462.0001041666667,1462.0002314814815,0:00:27,1904-01-01T00:00:01Z,1462.0005555555556,13,0,0,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,13.10,25798,74,1462.0001388888888,1462.0001967592593,1462,1904-01-01T00:00:00Z,1462.0005208333334,27,1,2,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,13.15,25872,300,1462.0008564814814,1462.0001736111112,1462.0004861111111,1904-01-01T00:00:04Z,1462.0019097222223,205,7,16,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,13.20,26172,300,1462.0011226851852,1462.0003240740741,1462.0002430555555,1904-01-01T00:00:01Z,1462.0017708333332,222,8,15,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,13.25,26472,300,1462.0015046296296,1462.0004282407408,1462.0000231481481,1904-01-01T00:00:06Z,1462.0014467592594,218,29,66,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,13.30,26772,300,1462.0008564814814,1462.0006481481482,1462.0000115740741,1904-01-01T00:00:07Z,1462.0018749999999,139,8,29,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,13.35,27072,300,1462.0009375,1462.0018402777778,1462,1904-01-01T00:00:03Z,1462.0006597222223,315,0,0,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,13.40,27372,300,1462.0010995370371,1462.0020370370371,1462.0000115740741,1904-01-01T00:00:02Z,1462.000300925926,358,0,0,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,13.45,27672,300,1462.0003703703703,1462.002488425926,1462,1904-01-01T00:00:01Z,1462.0006018518518,97,3,4,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,13.50,27972,300,1462.0000810185186,1462.0033101851852,1462,1904-01-01T00:00:04Z,1462.0000347222222,27,0,0,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,13.55,28272,300,1462.0000347222222,1462.0033912037038,1462.0000115740741,1904-01-01T00:00:02Z,1462.0000115740741,0,0,1,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,14.00,28572,300,1462.000462962963,1462.0030092592592,1462,1904-01-01T00:00:00Z,1462,40,0,2,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,14.05,28872,300,1462.0000347222222,1462.003425925926,1462,1904-01-01T00:00:01Z,1462,6,0,2,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,14.10,29172,300,1462.0000462962962,1462.0033449074074,1462,1904-01-01T00:00:02Z,1462.0000578703705,0,0,1,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,14.15,29472,300,1462.0000115740741,0:04:57,1462,1904-01-01T00:00:00Z,1462.0000231481481,0,0,1,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,14.20,29772,300,1462.0001388888888,1462.0033217592593,1462,1904-01-01T00:00:01Z,1462,15,1,1,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,14.25,30072,300,1462.0001736111112,1462.0022569444445,1462.0000115740741,1904-01-01T00:00:05Z,1462.0009722222221,20,3,7,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,14.30,30372,300,1462.0006018518518,1462.0022222222221,1462.0001504629629,1904-01-01T00:00:02Z,1462.000474537037,104,0,6,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,14.35,30672,300,1462.0000115740741,1462.0000115740741,1462.0034027777779,1904-01-01T00:00:00Z,1462.0000462962962,0,0,1,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,14.40,30972,300,1462.0001736111112,1462.0000231481481,1462.0032291666666,1904-01-01T00:00:02Z,1462.0000231481481,54,0,0,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,14.45,31272,300,1462.0004282407408,1462.0016435185184,1462.0010300925926,1904-01-01T00:00:21Z,1462.0001273148148,125,3,7,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,14.50,31572,300,1462.0001157407407,1462.0033449074074,1462,1904-01-01T00:00:00Z,1462.0000115740741,34,1,2,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,14.55,31872,300,1462.0000925925926,1462.0033449074074,1462.0000578703705,1904-01-01T00:00:00Z,1462,19,1,2,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,15.00,32172,300,1462.0000694444445,1462.0032523148147,1462,1904-01-01T00:00:15Z,1462,0,0,0,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,15.05,32472,300,1462.001238425926,1462.0016087962963,1462,1904-01-01T00:00:02Z,1462.0006018518518,359,9,13,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,15.10,32772,300,1462.0008449074073,1462.0015856481482,1462,1904-01-01T00:00:17Z,1462.0008449074073,282,6,12,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,15.15,33072,300,1462.0002546296296,1462.0025578703703,1462.0000231481481,1904-01-01T00:00:22Z,1462.0003819444444,49,4,10,0,0,0,0,0
187,2015-12-22,15m; 18d,F,2017-04-09,15.20,33372,300,1462.000289351852,1462.0030208333333,1462.0000347222222,1904-01-01T00:00:08Z,1462.0000347222222,15,1,13,0,0,0,0,0
