SUBJECT,prop,hour
187.0,0.637,16
187.0,0.85,13
187.0,0.953,15
187.0,0.728,17
187.0,0.937,12
187.0,0.705,18
187.0,0.806,14
187.0,0.318,19
188.0,0.816,21
188.0,0.833,11
188.0,0.762,22
188.0,0.983,12
188.0,0.995,13
188.0,0.907,20
188.0,0.715,10
188.0,0.5,19
188.0,0.719,9
189.0,0.856,16
189.0,0.841,20
189.0,0.785,10
189.0,0.882,13
189.0,0.777,9
189.0,0.912,19
189.0,0.961,12
189.0,0.916,21
189.0,0.857,14
189.0,0.399,11
189.0,0.893,15
189.0,0.52,17
189.0,0.85,8
190.0,0.994,19
190.0,0.974,13
190.0,0.781,11
190.0,0.878,12
190.0,0.86,14
190.0,0.912,18
190.0,0.798,20
190.0,0.104,15
192.0,0.731,12
192.0,0.742,22
192.0,0.98,18
192.0,0.969,13
192.0,0.935,15
192.0,0.851,21
192.0,0.775,17
192.0,0.925,20
192.0,0.871,14
192.0,0.987,11
192.0,0.988,16
193.0,0.886,10
193.0,0.793,9
193.0,0.759,15
193.0,0.749,8
193.0,0.863,13
193.0,0.964,11
193.0,0.449,14
193.0,0.662,17
193.0,0.884,7
193.0,0.836,12
193.0,0.727,16
196.0,0.968,17
196.0,0.823,16
196.0,0.862,9
196.0,0.932,10
196.0,0.886,11
196.0,0.684,15
196.0,0.805,12
196.0,0.834,13
196.0,0.129,14
197.0,0.917,20
197.0,0.833,19
197.0,0.967,9
197.0,0.989,13
197.0,0.93,15
197.0,0.857,18
197.0,0.972,14
197.0,0.975,11
197.0,0.89,12
197.0,0.724,10
197.0,0.73,8
197.0,0.131,16
202.0,0.877,14
202.0,0.906,16
202.0,0.726,15
202.0,0.991,18
202.0,0.493,10
202.0,0.909,17
202.0,0.93,9
202.0,0.841,7
202.0,0.546,12
202.0,0.528,8
202.0,0.154,13
203.0,0.943,13
203.0,0.884,14
203.0,0.996,17
203.0,0.826,10
203.0,0.804,11
203.0,0.98,15
203.0,0.149,16
215.0,0.31,19
215.0,0.874,11
215.0,0.969,18
215.0,0.315,10
215.0,0.729,13
215.0,0.888,15
215.0,0.597,14
230.0,0.985,18
230.0,0.887,9
230.0,0.816,13
230.0,0.856,17
230.0,0.952,15
230.0,0.573,14
230.0,0.931,10
230.0,0.77,12
230.0,0.624,11
230.0,0.75,8
230.0,0.931,19
231.0,0.973,19
231.0,0.666,9
231.0,0.868,15
231.0,0.731,10
231.0,0.976,14
231.0,0.773,17
231.0,0.749,12
231.0,0.948,20
231.0,0.825,18
231.0,0.749,11
231.0,0.941,13
231.0,0.754,16
232.0,0.733,11
232.0,0.956,10
232.0,0.825,18
232.0,0.909,20
232.0,0.62,8
232.0,0.929,19
232.0,0.899,17
232.0,0.992,16
232.0,0.673,12
232.0,0.897,15
232.0,0.742,13
232.0,0.337,21
241.0,0.37,18
241.0,0.728,13
241.0,0.967,12
241.0,0.674,14
241.0,0.297,17
248.0,0.754,13
248.0,0.948,11
248.0,0.964,14
248.0,0.73,12
248.0,0.22,10
259.0,0.685,23
259.0,0.482,22
259.0,0.973,16
259.0,0.943,14
259.0,0.787,15
259.0,0.913,20
259.0,0.902,0
259.0,0.646,13
259.0,0.648,21
259.0,0.785,12
260.0,0.962,9
260.0,0.779,8
260.0,0.826,15
260.0,0.871,16
260.0,0.958,20
260.0,0.979,7
260.0,0.814,17
260.0,1.0,13
260.0,0.3,19
260.0,0.891,18
260.0,0.121,10
261.0,0.923,8
261.0,0.804,9
261.0,0.83,13
261.0,0.67,14
