SUBJECT,AWC,hour
187.0,488.0,16.35
187.0,463.0,16.4
187.0,412.0,17.45
187.0,402.0,17.5
187.0,402.0,18.05
187.0,359.0,15.05
187.0,347.0,12.5
187.0,328.0,13.15
187.0,325.0,16.5
187.0,319.0,18
187.0,307.0,21.25
187.0,299.0,18.4
187.0,294.0,19.55
187.0,282.0,12.4
187.0,282.0,15.1
187.0,280.0,18.35
187.0,280.0,18.5
187.0,270.0,13
187.0,256.0,19
187.0,255.0,17.55
187.0,254.0,12.2
187.0,237.0,21.4
187.0,232.0,12
187.0,220.0,12.3
187.0,218.0,21.3
187.0,212.0,12.35
187.0,207.0,20.1
187.0,203.0,16.05
187.0,201.0,13.1
187.0,200.0,13.05
187.0,198.0,18.55
187.0,197.0,12.45
187.0,193.0,12.25
187.0,191.0,12.15
187.0,191.0,17.25
187.0,191.0,17.3
187.0,190.0,16.3
187.0,186.0,21.2
187.0,183.0,18.45
187.0,172.0,16.25
187.0,165.0,15.45
187.0,161.0,17.4
187.0,161.0,19.4
187.0,161.0,21.35
187.0,159.0,18.3
187.0,151.0,16.55
187.0,149.0,13.4
187.0,148.0,17.2
187.0,146.0,21.5
187.0,143.0,13.2
187.0,142.0,13.25
187.0,139.0,12.1
187.0,133.0,17.35
187.0,127.0,13.5
187.0,127.0,19.45
187.0,126.0,19.2
187.0,125.0,14.45
187.0,117.0,16.45
187.0,104.0,14.3
187.0,102.0,20
187.0,101.0,15.25
187.0,100.0,12.05
187.0,96.0,14.05
187.0,95.0,13.45
187.0,94.0,19.3
187.0,92.0,21.45
187.0,91.0,18.2
187.0,88.0,21.55
187.0,86.0,19.35
187.0,86.0,21.15
187.0,83.0,14.15
187.0,81.0,19.15
187.0,79.0,16.2
187.0,75.0,16
187.0,72.0,12.55
187.0,72.0,14.1
187.0,72.0,20.05
187.0,65.0,19.5
187.0,58.0,13.55
187.0,56.0,15.3
187.0,55.0,13.3
187.0,55.0,13.35
187.0,54.0,14.4
187.0,54.0,20.15
187.0,52.0,19.25
187.0,51.0,16.1
187.0,49.0,15.15
187.0,49.0,15.5
187.0,48.0,14.2
187.0,42.0,16.15
187.0,34.0,14.5
187.0,31.0,18.25
187.0,31.0,21.1
187.0,27.0,22
187.0,25.0,19.05
187.0,21.0,15.4
187.0,20.0,14.25
187.0,19.0,14.55
187.0,15.0,15.2
187.0,11.0,14
187.0,10.0,17
187.0,9.0,18.15
187.0,6.0,15.35
187.0,5.0,18.1
187.0,4.0,15.55
187.0,0.0,14.35
187.0,0.0,15
187.0,0.0,17.05
187.0,0.0,17.1
187.0,0.0,17.15
187.0,0.0,19.1
187.0,-1,0
187.0,-1,0.05
187.0,-1,0.1
187.0,-1,0.15000000000000002
187.0,-1,0.2
187.0,-1,0.25
187.0,-1,0.30000000000000004
187.0,-1,0.35000000000000003
187.0,-1,0.4
187.0,-1,0.45
187.0,-1,0.5
187.0,-1,0.55
187.0,-1,1
187.0,-1,1.05
187.0,-1,1.1
187.0,-1,1.15
187.0,-1,1.2
187.0,-1,1.25
187.0,-1,1.3
187.0,-1,1.35
187.0,-1,1.4
187.0,-1,1.45
187.0,-1,1.5
187.0,-1,1.55
187.0,-1,2
187.0,-1,2.05
187.0,-1,2.1
187.0,-1,2.15
187.0,-1,2.2
187.0,-1,2.25
187.0,-1,2.3
187.0,-1,2.35
187.0,-1,2.4
187.0,-1,2.45
187.0,-1,2.5
187.0,-1,2.55
187.0,-1,3
187.0,-1,3.05
187.0,-1,3.1
187.0,-1,3.15
187.0,-1,3.2
187.0,-1,3.25
187.0,-1,3.3
187.0,-1,3.35
187.0,-1,3.4
187.0,-1,3.45
187.0,-1,3.5
187.0,-1,3.55
187.0,-1,4
187.0,-1,4.05
187.0,-1,4.1
187.0,-1,4.15
187.0,-1,4.2
187.0,-1,4.25
187.0,-1,4.3
187.0,-1,4.35
187.0,-1,4.4
187.0,-1,4.45
187.0,-1,4.5
187.0,-1,4.55
187.0,-1,5
187.0,-1,5.05
187.0,-1,5.1
187.0,-1,5.15
187.0,-1,5.2
187.0,-1,5.25
187.0,-1,5.3
187.0,-1,5.35
187.0,-1,5.4
187.0,-1,5.45
187.0,-1,5.5
187.0,-1,5.55
187.0,-1,6
187.0,-1,6.05
187.0,-1,6.1
187.0,-1,6.15
187.0,-1,6.2
187.0,-1,6.25
187.0,-1,6.3
187.0,-1,6.35
187.0,-1,6.4
187.0,-1,6.45
187.0,-1,6.5
187.0,-1,6.55
187.0,-1,7
187.0,-1,7.05
187.0,-1,7.1
187.0,-1,7.15
187.0,-1,7.2
187.0,-1,7.25
187.0,-1,7.3
187.0,-1,7.35
187.0,-1,7.4
187.0,-1,7.45
187.0,-1,7.5
187.0,-1,7.55
187.0,-1,8
187.0,-1,8.05
187.0,-1,8.1
187.0,-1,8.15
