SUBJECT,prop,time
187.0,0.948,16.35
187.0,0.889,16.4
187.0,0.975,17.45
187.0,1.0,17.5
187.0,0.893,18.05
187.0,0.966,15.05
187.0,0.945,12.5
187.0,0.99,13.15
187.0,0.981,16.5
187.0,0.962,18
187.0,0.973,21.25
187.0,0.983,18.4
187.0,0.959,19.55
187.0,1.0,12.4
187.0,0.992,15.1
187.0,1.0,18.35
187.0,0.964,18.5
187.0,0.948,13
187.0,0.996,19
187.0,0.996,17.55
187.0,0.933,12.2
187.0,0.978,21.4
187.0,0.948,12
187.0,0.99,12.3
187.0,0.972,21.3
187.0,0.976,12.35
187.0,0.98,20.1
187.0,0.99,16.05
187.0,0.995,13.1
187.0,0.99,13.05
187.0,0.994,18.55
187.0,0.979,12.45
187.0,0.989,12.25
187.0,1.0,12.15
187.0,1.0,17.25
187.0,0.994,17.3
187.0,0.978,16.3
187.0,0.983,21.2
187.0,0.939,18.45
187.0,0.959,16.25
187.0,0.975,15.45
187.0,1.0,17.4
187.0,1.0,19.4
187.0,0.987,21.35
187.0,0.949,18.3
187.0,0.986,16.55
187.0,0.993,13.4
187.0,0.986,17.2
187.0,0.979,21.5
187.0,0.993,13.2
187.0,0.978,13.25
187.0,0.956,12.1
187.0,0.954,17.35
187.0,1.0,13.5
187.0,0.992,19.45
187.0,0.992,19.2
187.0,0.936,14.45
187.0,0.888,16.45
187.0,0.98,14.3
187.0,0.99,20
187.0,0.99,15.25
187.0,0.96,12.05
187.0,0.989,14.05
187.0,0.989,13.45
187.0,0.978,19.3
187.0,0.989,21.45
187.0,0.967,18.2
187.0,0.977,21.55
187.0,1.0,19.35
187.0,0.965,21.15
187.0,0.975,14.15
187.0,0.975,19.15
187.0,0.949,16.2
187.0,0.96,16
187.0,1.0,12.55
187.0,1.0,14.1
187.0,0.902,20.05
187.0,0.892,19.5
187.0,0.965,13.55
187.0,0.982,15.3
187.0,1.0,13.3
187.0,0.981,13.35
187.0,1.0,14.4
187.0,0.962,20.15
187.0,0.98,19.25
187.0,0.96,16.1
187.0,1.0,15.15
187.0,0.979,15.5
187.0,0.875,14.2
187.0,0.809,16.15
187.0,0.911,14.5
187.0,1.0,18.25
187.0,0.87,21.1
187.0,0.925,22
187.0,0.84,19.05
187.0,0.952,15.4
187.0,0.95,14.25
187.0,0.789,14.55
187.0,0.733,15.2
187.0,0.909,14
187.0,0.9,17
187.0,0.666,18.15
187.0,0.833,15.35
187.0,0.8,18.1
188.0,0.847,21.15
188.0,0.911,21.25
188.0,0.992,11.4
188.0,0.967,13.05
188.0,0.974,22.15
188.0,0.994,11.5
188.0,0.997,21.2
188.0,0.992,12.4
188.0,0.927,22.2
188.0,0.927,21.3
188.0,0.965,22.3
188.0,0.967,21
188.0,0.993,11.45
188.0,0.932,13
188.0,0.996,13.15
188.0,0.913,11.35
188.0,0.936,10.15
188.0,0.961,20.5
188.0,0.995,11.3
188.0,0.982,13.1
188.0,0.963,20.45
188.0,0.948,22.25
188.0,0.94,20.4
188.0,0.994,10.1
188.0,0.957,19.15
188.0,0.989,22.35
188.0,0.977,12.5
188.0,0.994,10
188.0,1.0,9.45
188.0,0.925,10.05
188.0,0.888,20.55
188.0,0.868,19.55
188.0,0.912,21.4
188.0,0.991,12.45
188.0,0.973,9.5
188.0,0.972,20.3
188.0,0.99,18.55
188.0,0.971,12.35
188.0,1.0,11.25
188.0,0.98,19.1
188.0,0.851,19.05
188.0,0.976,12.55
188.0,0.988,10.55
188.0,0.987,12.25
188.0,0.89,20.35
188.0,0.986,19.35
188.0,0.986,9.4
188.0,0.957,12.3
188.0,0.941,20.25
188.0,0.968,20
188.0,0.935,12.15
188.0,0.982,21.05
188.0,0.964,10.4
188.0,0.981,10.25
188.0,0.981,11.55
188.0,1.0,11.1
188.0,0.981,18.25
188.0,0.98,18.45
188.0,1.0,21.1
188.0,0.98,22.05
188.0,0.98,22
188.0,0.938,12.1
188.0,0.956,11.2
188.0,0.909,12.2
188.0,0.95,19.5
188.0,0.947,12
188.0,0.972,21.35
188.0,0.942,10.35
188.0,0.939,19
188.0,1.0,19.4
188.0,0.935,21.45
188.0,1.0,19.2
188.0,0.965,21.5
188.0,1.0,11.05
188.0,0.964,18.2
188.0,1.0,11.15
188.0,0.962,21.55
188.0,1.0,10.5
188.0,0.884,11
188.0,1.0,10.2
188.0,0.913,22.1
188.0,1.0,18.5
188.0,0.904,19.45
188.0,0.736,20.2
188.0,0.928,20.05
188.0,1.0,12.05
188.0,0.846,18.4
188.0,1.0,10.45
188.0,0.909,19.3
188.0,0.7,20.1
188.0,0.857,9.55
188.0,0.833,20.15
188.0,0.2,18.35
189.0,0.951,16.2
189.0,0.945,16.25
189.0,0.851,20.2
189.0,0.921,19.5
189.0,0.933,10.15
189.0,0.969,20.55
189.0,0.804,16.3
189.0,0.996,21.4
189.0,0.993,10.35
189.0,0.954,16.15
189.0,0.749,21
189.0,0.954,19.55
189.0,0.951,20.25
189.0,0.984,9.25
189.0,0.974,20.3
189.0,0.994,9.3
189.0,0.978,19.45
189.0,0.978,9.35
189.0,0.944,10.3
189.0,0.959,9.2
189.0,0.932,12.5
189.0,0.901,10.2
189.0,0.971,11.05
189.0,0.992,20.45
189.0,0.992,10.1
189.0,0.878,12.3
189.0,0.939,11
189.0,0.972,12
189.0,0.99,16.1
189.0,0.99,10.25
189.0,0.98,13
189.0,0.98,9.55
189.0,1.0,10.5
189.0,0.97,17.05
189.0,0.979,12.1
189.0,0.978,20.1
189.0,0.978,12.55
189.0,0.989,16.4
189.0,1.0,11.3
189.0,0.944,20.5
189.0,0.976,15.1
189.0,0.987,16.35
189.0,0.987,9.1
189.0,1.0,9.5
189.0,0.975,21.35
189.0,0.924,20.35
189.0,0.972,10.55
189.0,0.985,20.05
189.0,1.0,9
189.0,0.971,20
189.0,0.985,20.15
189.0,0.91,8.55
189.0,0.967,11.55
189.0,0.966,13.55
189.0,0.982,15.3
189.0,0.964,17
189.0,1.0,10.05
189.0,0.981,12.15
189.0,0.981,17.2
189.0,0.923,12.2
189.0,0.979,16.5
189.0,1.0,8.5
189.0,0.978,11.1
189.0,0.956,11.2
189.0,1.0,10.45
189.0,0.977,17.15
189.0,0.953,22.45
189.0,0.975,16.45
189.0,1.0,10.4
189.0,1.0,12.25
189.0,0.975,22.55
189.0,1.0,10
189.0,0.974,21.1
189.0,0.947,15.25
189.0,0.944,16.05
189.0,0.911,13.05
189.0,0.967,9.15
189.0,1.0,11.45
189.0,0.933,12.45
189.0,0.964,11.4
189.0,0.962,21.2
189.0,0.923,11.15
189.0,1.0,9.05
189.0,0.958,19.4
189.0,0.913,16.55
189.0,0.952,15.05
189.0,1.0,11.25
189.0,0.95,20.4
189.0,0.894,17.1
189.0,0.941,13.1
189.0,0.937,19.15
189.0,0.933,12.05
189.0,1.0,21.25
189.0,1.0,21.45
189.0,0.928,22.5
189.0,1.0,12.35
189.0,0.923,12.4
189.0,0.833,15
189.0,1.0,9.4
189.0,0.9,15.5
189.0,1.0,14.05
189.0,1.0,16
189.0,1.0,22.1
189.0,0.888,22.4
189.0,1.0,11.35
189.0,1.0,15.4
189.0,0.875,21.5
189.0,0.857,18.35
189.0,1.0,14.1
189.0,0.833,15.2
189.0,1.0,19
189.0,0.8,21.05
189.0,1.0,11.5
189.0,1.0,14.45
189.0,1.0,15.15
189.0,0.75,17.3
189.0,1.0,15.45
189.0,0.666,19.05
189.0,1.0,15.35
190.0,0.724,19.1
190.0,0.969,20.25
190.0,0.968,11.15
190.0,0.996,19.3
190.0,0.974,19.25
190.0,0.983,11.4
190.0,0.865,14.4
190.0,0.984,11.45
190.0,0.932,19.2
190.0,0.987,11.2
190.0,1.0,11.35
190.0,1.0,14.35
190.0,0.969,18.55
190.0,0.969,20.1
190.0,0.94,20.15
190.0,1.0,11.25
190.0,0.975,19
190.0,0.975,19.4
190.0,0.984,11.05
190.0,0.979,12.3
190.0,0.989,15.4
190.0,0.962,18
190.0,0.983,13.1
190.0,0.949,19.35
190.0,0.946,11.5
190.0,0.968,13.4
190.0,1.0,18.15
190.0,0.987,19.45
190.0,0.986,19.05
190.0,0.986,11
190.0,0.966,15.35
190.0,0.993,11.1
190.0,0.992,13.15
190.0,0.992,18.3
190.0,1.0,12.15
190.0,1.0,13.35
190.0,0.957,18.45
190.0,0.992,20.2
190.0,0.992,18.05
190.0,0.901,15.5
190.0,0.983,12.05
190.0,0.94,14.45
190.0,1.0,15.2
190.0,0.963,18.5
190.0,0.971,19.15
190.0,0.97,10.55
190.0,0.99,20.3
190.0,0.969,13.2
190.0,0.989,18.1
190.0,0.989,12.35
190.0,0.936,13.5
190.0,0.954,20.05
190.0,1.0,12.25
190.0,0.976,20.35
190.0,0.975,14.3
190.0,0.962,15.15
190.0,0.987,15.1
190.0,0.96,11.3
190.0,1.0,14.15
190.0,0.958,15.05
190.0,0.957,14.1
190.0,0.835,14.05
190.0,0.982,20
190.0,0.981,13.45
190.0,1.0,12.1
190.0,0.981,15.3
190.0,0.981,13.25
190.0,0.961,18.2
190.0,0.96,14
190.0,0.979,15.25
190.0,0.872,18.35
190.0,0.926,12.2
190.0,1.0,14.25
190.0,0.973,15
190.0,0.972,12.45
190.0,0.972,12.55
190.0,0.971,18.25
190.0,0.941,12
190.0,0.906,12.5
190.0,0.931,18.4
190.0,0.962,14.55
190.0,0.961,19.55
190.0,0.92,13.55
190.0,0.913,14.2
190.0,0.952,12.4
190.0,0.95,15.55
190.0,0.947,15.45
190.0,0.944,19.5
190.0,0.882,14.5
190.0,0.866,13
190.0,0.769,13.05
190.0,0.7,11.55
192.0,0.905,22.25
192.0,0.856,15.45
192.0,0.977,22.3
192.0,0.957,15.15
192.0,0.959,12.2
192.0,0.889,19.5
192.0,0.947,18
192.0,0.988,12.3
192.0,0.982,22.2
192.0,0.984,12.25
192.0,0.941,12.35
192.0,0.98,22.15
192.0,0.97,14.15
