SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
13128,7.55,0,252,182,13,38
13128,8,252,300,173,10,34
13128,8.05,552,300,256,22,58
13128,8.1,852,300,324,19,24
13128,8.15,1152,300,325,19,35
13128,8.2,1452,300,238,18,52
13128,8.25,1752,300,270,26,60
13128,8.3,2052,300,182,9,38
13128,8.35,2352,300,275,30,68
13128,8.4,2652,300,168,7,24
13128,8.45,2952,300,121,8,19
13128,9,3852,300,130,15,45
13128,9.1,4452,300,159,13,33
13128,9.15,4752,300,135,14,60
13128,10.5,9674,300,144,4,17
13128,11.3,12074,300,158,9,23
13128,11.35,12374,300,132,6,42
13128,11.4,12674,300,150,9,33
13128,11.45,12974,300,191,12,40
13128,11.5,13274,300,356,13,33
13128,15.4,15863,300,227,8,15
13128,15.45,16163,300,153,7,19
13128,15.5,16463,300,142,14,40
13128,15.55,16763,300,322,21,44
13128,16,17063,300,272,16,52
13128,16.05,17363,300,179,14,43
13128,16.15,17963,300,137,6,19
13128,16.2,18263,300,164,6,15
13128,16.3,18863,300,159,6,33
13128,16.4,19463,300,183,8,22
13128,16.45,19763,300,130,8,33
13128,17,20663,300,134,5,18
13128,17.1,21263,300,159,10,19
13128,17.15,21563,300,292,15,34
13128,17.2,21863,300,434,10,20
13128,17.35,22763,300,436,13,24
13128,17.4,23063,300,149,7,34
13128,17.45,23363,300,297,11,30
13128,17.5,23663,300,348,8,26
13128,18,24263,300,432,25,41
13128,18.05,24563,300,171,12,55
13128,18.1,24863,300,321,13,33
13128,18.15,25163,300,555,17,30
13128,18.2,25463,300,404,12,35
13128,18.25,25763,300,292,16,34
13128,18.3,26063,300,381,18,32
13128,18.35,26363,300,133,5,16
13128,18.5,27263,300,229,7,28
