SUBJECT,nclusters,avgClustersize,maxClusterAWC,minClusterAWC,avgClusterDensity
11141,16,1.9375,114.0,1370.0,414.875
13142,31,1.7419354838709677,113.0,992.0,362.7741935483871
12971,0,0,0,0,0
12390,6,4.166666666666667,663.0,1955.0,1274.6666666666667
11611,17,1.7058823529411764,114.0,1099.0,449.2352941176471
12398,29,1.4827586206896552,119.0,928.0,369.41379310344826
12717,4,3.75,297.0,1163.0,628.75
12316,35,1.9428571428571428,125.0,916.0,448.4
13151,17,1.5294117647058822,146.0,1224.0,473.5882352941176
12608,10,4.5,218.0,3038.0,1115.7
11035,15,2.8666666666666667,195.0,1676.0,807.6666666666666
13128,26,1.8461538461538463,130.0,1047.0,434.7692307692308
11136,25,2.08,140.0,1225.0,527.04
13304,0,0,0,0,0
13293,21,2.380952380952381,163.0,1811.0,837.4761904761905
12612,3,8.333333333333334,267.0,4269.0,2092.0
12520,17,1.588235294117647,113.0,944.0,395.6470588235294
911429,19,2.0526315789473686,126.0,1001.0,427.0
12297,20,1.35,118.0,777.0,276.7
12683,33,1.5454545454545454,119.0,876.0,401.2121212121212
13604,0,0,0,0,0
11037,5,3.8,198.0,1366.0,910.4
11036,28,1.8928571428571428,168.0,748.0,409.5357142857143
13044,7,2.4285714285714284,123.0,745.0,426.85714285714283
12547,31,1.4516129032258065,116.0,1239.0,419.6774193548387
12878,20,2.0,130.0,1366.0,527.2
13131,0,0,0,0,0
11200,0,0,0,0,0
12828,28,1.8571428571428572,128.0,1476.0,451.5357142857143
911401,0,0,0,0,0
911343,5,3.0,127.0,1191.0,569.0
12409,8,3.25,123.0,886.0,546.5
13326,0,0,0,0,0
13191,17,1.6470588235294117,113.0,835.0,383.4117647058824
13503,11,3.4545454545454546,285.0,1926.0,773.0
13648,23,1.565217391304348,114.0,2425.0,405.39130434782606
12095,0,0,0,0,0
13079,26,1.9615384615384615,115.0,1338.0,460.1923076923077
11417,19,2.1052631578947367,161.0,1105.0,545.2631578947369
11003,10,2.6,155.0,1594.0,592.9
13081,17,2.5294117647058822,142.0,1416.0,597.1176470588235
11011,2,8.5,527.0,2564.0,1545.5
13061,23,2.1739130434782608,219.0,1707.0,806.0
13628,0,0,0,0,0
12959,28,1.5714285714285714,139.0,1224.0,475.10714285714283
12417,0,0,0,0,0
13069,7,2.4285714285714284,122.0,1079.0,524.7142857142857
11009,33,1.9090909090909092,153.0,1597.0,645.0909090909091
11655,11,2.0,149.0,1647.0,483.45454545454544
12840,0,0,0,0,0
11743,9,3.4444444444444446,336.0,1711.0,756.2222222222222
12737,3,4.0,117.0,2284.0,1132.6666666666667
11014,19,1.5789473684210527,119.0,842.0,364.8421052631579
11070,16,1.8125,113.0,951.0,428.75
11327,13,2.1538461538461537,120.0,896.0,488.0
12830,19,1.894736842105263,171.0,779.0,420.63157894736844
