SUBJECT,nclusters2Min,avgClustersize2Min,maxClusterAWC2Min,minClusterAWC2Min,avgClusterDensity2Min
11141,8,3.875,239,1514,829.75
13142,7,7.714285714,1161,3024,1606.571429
12971,0,0,0,0,0
12390,6,4.166666667,663,1955,1274.666667
11611,6,4.833333333,421,2404,1272.833333
12398,9,4.777777778,468,2668,1190.333333
12717,4,3.75,297,1163,628.75
12316,3,22.66666667,2375,7240,5231.333333
13151,4,6.5,1260,3430,2012.75
12608,6,7.5,393,4991,1859.5
11035,5,8.6,839,4708,2423
13128,6,8,424,2918,1884
11136,15,3.466666667,253,1698,878.4
13304,0,0,0,0,0
13293,7,7.142857143,1292,5246,2512.428571
12612,3,8.333333333,267,4269,2092
12520,6,4.5,426,1987,1121
911429,7,5.571428571,367,1541,1159
12297,10,2.7,202,1210,553.4
12683,7,7.285714286,905,2559,1891.428571
13604,0,0,0,0,0
11037,3,6.333333333,881,2535,1517.333333
11036,11,4.818181818,168,1961,1042.454545
13044,4,4.25,424,1231,747
12547,10,4.5,227,3454,1301
12878,7,5.714285714,486,2577,1506.285714
13131,0,0,0,0,0
11200,0,0,0,0,0
12828,7,7.428571429,570,3230,1806.142857
911401,0,0,0,0,0
911343,2,7.5,1348,1497,1422.5
12409,4,6.5,551,1557,1093
13326,0,0,0,0,0
13191,7,4,428,1716,931.1428571
13503,11,3.454545455,285,1926,773
13648,8,4.5,513,2610,1165.5
12095,0,0,0,0,0
13079,9,5.666666667,437,3151,1329.444444
11417,8,5,341,2996,1295
11003,5,5.2,200,2314,1185.8
13081,8,5.375,579,1821,1268.875
11011,2,8.5,527,2564,1545.5
13061,7,7.142857143,1574,3879,2648.285714
13628,0,0,0,0,0
12959,8,5.5,498,3333,1662.875
12417,0,0,0,0,0
13069,4,4.25,277,1529,918.25
11009,12,5.25,684,3301,1774
11655,3,7.333333333,603,2413,1772.666667
12840,0,0,0,0,0
11743,9,3.444444444,336,1711,756.2222222
12737,0,0,0,0,0
11014,5,6,710,2543,1386.4
11070,6,4.833333333,467,2246,1143.333333
11327,6,4.666666667,517,1512,1057.333333
12830,10,3.6,456,1081,799.2
