SUBJECT,nclusters,avgClustersize,minClusterAWC,maxClusterAWC,avgClusterDensity
11141,11,1.2727272727272727,125.0,505.0,257.72727272727275
13142,14,1.2142857142857142,170.0,538.0,318.2857142857143
12971,15,1.2,89.0,1115.0,294.0
12390,17,1.1764705882352942,189.0,1287.0,443.5882352941176
11611,19,1.1578947368421053,126.0,1099.0,317.89473684210526
12398,8,1.375,196.0,775.0,385.25
12717,2,2.5,186.0,742.0,464.0
12316,11,1.2727272727272727,209.0,916.0,410.90909090909093
13151,11,1.2727272727272727,225.0,1224.0,559.3636363636364
12608,13,1.2307692307692308,184.0,890.0,363.0
11035,11,1.2727272727272727,294.0,809.0,475.72727272727275
13128,10,1.3,256.0,833.0,405.5
11136,15,1.2,226.0,875.0,381.8
13304,9,1.3333333333333333,147.0,864.0,381.77777777777777
13293,17,1.1764705882352942,323.0,1210.0,483.2352941176471
12612,12,1.25,103.0,496.0,268.0
12520,11,1.2727272727272727,255.0,770.0,414.09090909090907
911429,9,1.3333333333333333,175.0,659.0,314.44444444444446
12297,13,1.2307692307692308,127.0,777.0,273.6923076923077
12683,16,1.1875,213.0,654.0,368.5
13604,4,1.75,166.0,327.0,222.0
11037,3,2.0,322.0,1015.0,726.6666666666666
11036,5,1.6,197.0,712.0,387.0
13044,7,1.4285714285714286,120.0,646.0,256.2857142857143
12547,9,1.3333333333333333,271.0,1060.0,479.55555555555554
12878,8,1.375,186.0,961.0,466.625
13131,11,1.2727272727272727,48.0,238.0,103.27272727272727
11200,4,1.75,72.0,311.0,142.25
12828,10,1.3,230.0,1126.0,424.9
911401,2,2.5,468.0,657.0,562.5
911343,9,1.3333333333333333,86.0,392.0,215.22222222222223
12409,5,1.6,176.0,425.0,311.0
13326,12,1.25,63.0,411.0,163.58333333333334
13191,14,1.2142857142857142,180.0,614.0,352.57142857142856
13503,5,1.6,285.0,680.0,473.0
13648,14,1.2142857142857142,180.0,1324.0,423.5
12095,5,1.6,136.0,503.0,328.2
13079,11,1.2727272727272727,183.0,854.0,323.1818181818182
11417,5,1.6,244.0,867.0,564.8
11003,7,1.4285714285714286,240.0,990.0,472.0
13081,10,1.3,194.0,559.0,353.0
11011,5,1.6,145.0,758.0,324.6
13061,17,1.1764705882352942,367.0,1231.0,546.4705882352941
13628,3,2.0,217.0,1237.0,568.6666666666666
12959,11,1.2727272727272727,230.0,1017.0,479.90909090909093
12417,12,1.25,161.0,487.0,279.0
13069,11,1.2727272727272727,132.0,560.0,279.09090909090907
11009,6,1.5,451.0,1399.0,781.1666666666666
11655,17,1.1764705882352942,171.0,1170.0,327.94117647058823
12840,14,1.2142857142857142,69.0,249.0,137.57142857142858
11743,13,1.2307692307692308,179.0,689.0,334.3076923076923
12737,5,1.6,101.0,830.0,451.0
11014,8,1.375,177.0,814.0,388.625
11070,8,1.375,260.0,803.0,499.375
11327,17,1.1764705882352942,181.0,628.0,307.7647058823529
12830,12,1.25,212.0,738.0,341.0833333333333
