SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
12608,9.35,6643,300,207,17,44
12608,9.5,7543,300,258,19,52
12608,9.55,7843,300,264,20,63
12608,10,8143,300,206,16,35
12608,11.4,14143,300,184,14,37
12608,12.1,15943,300,363,18,37
12608,12.15,16243,300,527,20,39
12608,12.25,16843,300,580,21,37
12608,12.35,17443,300,352,22,40
12608,12.4,17743,300,165,15,46
12608,13,18943,300,513,23,45
12608,13.1,19543,300,199,13,72
12608,16,29743,300,218,19,39
12608,17.15,34243,300,200,14,44
12608,19.3,42343,300,241,11,44
12608,21.05,48043,300,242,12,35
