SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
911401,7.55,7674,71,32,1,7
911401,8,7745,300,11,1,10
911401,8.05,8045,300,0,0,2
911401,8.1,8345,300,62,4,12
911401,8.15,8645,300,58,2,2
911401,8.2,8945,300,10,0,3
911401,8.25,9245,300,50,0,2
911401,8.3,9545,300,0,0,0
911401,8.35,9845,300,0,0,0
911401,8.4,10145,300,59,2,11
911401,8.45,10445,300,5,0,11
911401,8.5,10745,300,22,0,5
911401,8.55,11045,300,0,0,4
911401,9,11345,300,0,0,7
911401,9.05,11645,300,40,2,7
911401,9.1,11945,300,399,1,4
911401,9.15,12245,300,5,1,14
911401,9.2,12545,300,0,0,0
911401,9.25,12845,300,48,2,5
911401,9.3,13145,300,16,1,4
911401,9.35,13445,300,32,3,8
911401,9.4,13745,300,156,8,21
911401,9.45,14045,300,113,3,11
911401,9.5,14345,300,100,0,5
911401,9.55,14645,300,312,15,29
911401,10,14945,300,140,8,16
911401,10.05,15245,300,323,1,2
911401,10.1,15545,300,400,18,31
911401,10.15,15845,300,40,3,9
911401,10.2,16145,300,45,0,2
911401,10.25,16445,300,202,0,6
911401,10.3,16745,300,47,1,12
911401,10.35,17045,300,347,2,6
911401,10.4,17345,300,396,3,4
911401,10.45,17645,300,219,4,9
911401,10.5,17945,300,135,2,11
911401,10.55,18245,300,117,3,19
911401,11,18545,300,125,5,9
911401,11.05,18845,300,97,3,10
911401,11.1,19145,300,178,3,5
911401,11.15,19445,300,188,2,11
911401,11.2,19745,300,263,2,9
911401,11.25,20045,300,72,0,2
911401,11.3,20345,300,192,0,0
911401,11.35,20645,300,115,0,0
911401,11.4,20945,300,39,0,0
911401,11.45,21245,300,29,0,0
911401,11.5,21545,300,8,0,0
911401,11.55,21845,300,0,0,0
911401,12,22145,300,30,0,0
911401,12.05,22445,300,7,0,0
911401,12.1,22745,300,14,0,2
911401,13.05,26045,300,46,0,0
911401,13.1,26345,300,129,2,7
911401,13.15,26645,300,36,3,15
911401,13.2,26945,300,14,0,0
911401,13.25,27245,300,110,6,12
911401,13.3,27545,300,35,0,3
911401,13.35,27845,300,115,5,8
911401,13.4,28145,300,358,6,9
911401,13.45,28445,300,46,3,8
911401,13.5,28745,300,64,1,3
911401,13.55,29045,300,89,0,2
911401,14,29345,300,89,3,10
911401,14.05,29645,300,128,1,10
911401,14.1,29945,289,82,6,26
