Subject,AWC,hour
11003.0,3036.0,16
11003.0,2824.0,9
11003.0,2790.0,10
11003.0,2690.0,19
11003.0,2508.0,11
11003.0,2108.0,8
11003.0,1930.0,17
11003.0,1664.0,12
11003.0,1294.0,18
11003.0,1215.0,14
11003.0,961.0,13
11003.0,803.0,15
11003.0,-1,0
11003.0,-1,1
11003.0,-1,2
11003.0,-1,3
11003.0,-1,4
11003.0,-1,5
11003.0,-1,6
11003.0,-1,7
11003.0,-1,20
11003.0,-1,21
11003.0,-1,22
11003.0,-1,23
11009.0,3548.0,18
11009.0,3402.0,11
11009.0,3317.0,8
11009.0,3277.0,10
11009.0,3146.0,12
11009.0,2198.0,9
11009.0,2169.0,19
11009.0,1938.0,17
11009.0,1509.0,7
11009.0,1239.0,16
11009.0,1032.0,13
11009.0,815.0,15
11009.0,641.0,14
11009.0,-1,0
11009.0,-1,1
11009.0,-1,2
11009.0,-1,3
11009.0,-1,4
11009.0,-1,5
11009.0,-1,6
11009.0,-1,20
11009.0,-1,21
11009.0,-1,22
11009.0,-1,23
11011.0,2395.0,17
11011.0,2036.0,19
11011.0,1879.0,9
11011.0,1685.0,16
11011.0,1287.0,14
11011.0,1174.0,18
11011.0,824.0,15
11011.0,588.0,10
11011.0,569.0,8
11011.0,292.0,13
11011.0,58.0,11
11011.0,-1,0
11011.0,-1,1
11011.0,-1,2
11011.0,-1,3
11011.0,-1,4
11011.0,-1,5
11011.0,-1,6
11011.0,-1,7
11011.0,-1,12
11011.0,-1,20
11011.0,-1,21
11011.0,-1,22
11011.0,-1,23
11014.0,2414.0,9
11014.0,2358.0,17
11014.0,1831.0,19
11014.0,1673.0,10
11014.0,1636.0,18
11014.0,1541.0,15
11014.0,1190.0,14
11014.0,500.0,12
11014.0,484.0,13
11014.0,401.0,16
11014.0,24.0,8
11014.0,-1,0
11014.0,-1,1
11014.0,-1,2
11014.0,-1,3
11014.0,-1,4
11014.0,-1,5
11014.0,-1,6
11014.0,-1,7
11014.0,-1,11
11014.0,-1,20
11014.0,-1,21
11014.0,-1,22
11014.0,-1,23
11035.0,3642.0,12
11035.0,3366.0,16
11035.0,3249.0,8
11035.0,2631.0,18
11035.0,2630.0,9
11035.0,2416.0,7
11035.0,2255.0,11
11035.0,2007.0,15
11035.0,1935.0,10
11035.0,1551.0,13
11035.0,1527.0,17
11035.0,1094.0,6
11035.0,221.0,5
11035.0,-1,0
11035.0,-1,1
11035.0,-1,2
11035.0,-1,3
11035.0,-1,4
11035.0,-1,14
11035.0,-1,19
11035.0,-1,20
11035.0,-1,21
11035.0,-1,22
11035.0,-1,23
11036.0,3638.0,9
11036.0,3517.0,10
11036.0,2117.0,11
11036.0,1929.0,17
11036.0,1563.0,18
11036.0,1462.0,15
11036.0,1312.0,16
11036.0,1267.0,8
11036.0,1184.0,14
11036.0,168.0,19
11036.0,97.0,13
11036.0,-1,0
11036.0,-1,1
11036.0,-1,2
11036.0,-1,3
11036.0,-1,4
11036.0,-1,5
11036.0,-1,6
11036.0,-1,7
11036.0,-1,12
11036.0,-1,20
11036.0,-1,21
11036.0,-1,22
11036.0,-1,23
11037.0,4377.0,18
11037.0,3016.0,17
11037.0,2791.0,6
11037.0,2777.0,10
11037.0,2691.0,9
11037.0,2540.0,7
11037.0,2321.0,12
11037.0,1607.0,8
11037.0,1484.0,14
11037.0,1308.0,11
11037.0,1079.0,16
11037.0,460.0,15
11037.0,-1,0
11037.0,-1,1
11037.0,-1,2
11037.0,-1,3
11037.0,-1,4
11037.0,-1,5
11037.0,-1,13
11037.0,-1,19
