SUBJECT,prop,hour
11003,0.93,16
11003,0.987,9
11003,0.964,10
11003,0.932,19
11003,0.84,11
11003,0.915,8
11003,0.862,17
11003,0.777,12
11003,0.938,18
11003,0.79,14
11003,0.835,13
11009,0.958,18
11009,0.975,11
11009,0.987,8
11009,0.96,10
11009,0.698,12
11009,0.986,9
11009,0.893,19
11009,0.778,17
11009,0.821,7
11009,0.832,16
11009,0.789,13
11009,0.786,15
11011,0.85,17
11011,0.922,19
11011,0.896,9
11011,0.763,16
11011,0.912,14
11011,0.701,18
11011,0.713,15
11011,0.967,10
11011,0.513,8
11011,0.198,13
11014,0.976,9
11014,0.776,17
11014,0.913,19
11014,0.977,10
11014,0.941,18
11014,0.772,15
11014,0.42,14
11014,0.968,12
11014,0.828,13
11014,0.059,16
11035,0.924,12
11035,0.965,16
11035,0.809,8
11035,0.999,18
11035,0.918,9
11035,0.933,7
11035,0.89,11
11035,0.964,15
11035,0.801,10
11035,0.984,13
11035,0.716,17
11035,0.202,6
11036,0.966,9
11036,0.601,10
11036,0.911,11
11036,0.81,17
11036,0.935,18
11036,0.897,15
11036,0.965,16
11036,0.934,8
11036,0.141,14
11036,0.577,19
11037,0.689,18
11037,0.925,17
11037,0.994,6
11037,0.969,10
11037,0.943,9
11037,0.913,7
11037,0.692,12
11037,0.923,8
11037,0.881,14
11037,0.824,11
11037,0.426,16
11070,0.765,12
11070,0.771,17
11070,0.929,8
11070,0.911,13
11070,0.69,19
11070,0.963,9
11070,0.941,18
11070,0.957,20
11070,0.933,11
11070,0.823,16
11070,0.862,10
11070,0.048,7
11136,0.852,18
11136,0.95,10
11136,0.8,9
11136,0.874,8
11136,0.756,17
11136,0.575,14
11136,0.582,7
11136,0.884,15
11136,0.966,16
11136,0.837,19
11136,0.75,13
11141,0.938,13
11141,0.916,19
11141,0.917,16
11141,0.983,10
11141,0.928,18
11141,0.837,17
11141,0.908,12
11141,0.799,14
11141,0.852,15
11141,0.94,9
11200,0.935,7
11200,0.975,17
11200,0.77,6
11200,0.806,11
11200,0.869,10
11200,0.846,8
11200,0.386,12
11200,0.566,13
11200,0.382,16
11327,0.84,19
11327,0.856,10
11327,0.983,9
11327,0.861,16
11327,0.811,11
11327,0.956,21
11327,0.842,12
11327,0.826,15
11327,0.953,13
11327,0.718,20
11327,0.293,17
11417,0.545,19
11417,0.682,20
11417,0.988,8
11417,0.993,12
11417,0.779,7
11417,0.93,18
11417,0.885,9
11417,0.846,16
11417,0.896,14
11417,0.632,17
11417,0.993,13
11417,0.34,10
11417,0.909,15
11611,0.81,18
11611,0.82,14
11611,0.958,17
11611,0.916,7
11611,0.732,15
11611,0.529,13
11611,0.859,9
11611,0.836,8
11611,0.824,10
11611,0.43,16
11655,0.96,8
11655,0.867,11
11655,0.991,7
11655,0.981,18
11655,0.751,14
11655,0.798,17
11655,0.753,16
11655,0.521,19
11655,0.541,12
11655,0.482,10
11743,0.712,16
11743,0.974,13
11743,0.918,14
11743,0.987,7
11743,0.991,8
11743,0.951,17
11743,0.986,15
11743,0.519,9
11743,0.597,10
12095,0.778,20
12095,0.734,14
12095,0.772,18
12095,0.908,10
12095,0.903,16
12095,0.455,13
12095,0.804,15
12095,0.346,11
12095,0.222,12
12297,0.836,19
12297,0.975,18
12297,0.992,14
12297,0.797,13
12297,0.872,17
12297,0.928,7
12297,0.883,8
12297,0.901,16
12297,0.998,11
12297,0.868,9
12297,1,10
12297,0.363,20
12316,0.879,16
12316,0.977,17
12316,0.986,10
12316,0.863,11
12316,0.989,18
12316,0.921,8
12316,0.651,12
12316,0.834,9
12316,0.796,15
12316,0.734,14
12316,0.425,19
12390,0.75,22
12390,0.747,17
12390,0.876,15
12390,0.91,20
12390,0.818,16
12390,0.978,18
12390,0.821,19
12390,0.998,10
12390,0.79,8
12390,0.535,9
12390,0.69,14
12390,0.878,11
12390,0.601,21
12398,0.757,12
12398,0.797,18
12398,0.968,11
12398,0.816,17
12398,0.644,19
12398,0.942,8
12398,0.723,7
12398,0.992,15
12398,0.81,10
12398,0.904,6
12398,0.56,16
12398,0.868,9
12409,0.967,16
12409,0.912,11
12409,0.907,19
12409,0.747,20
12409,0.992,9
12409,0.918,8
12409,0.909,15
12409,0.779,14
12409,0.939,10
12409,0.794,12
12409,0.758,17
12417,0.949,9
12417,0.877,11
12417,0.986,18
12417,0.995,10
12417,0.957,16
12417,0.925,8
12417,0.869,15
12417,0.961,17
12417,0.58,7
12417,0.925,12
12520,0.966,19
12520,0.833,20
12520,0.98,18
12520,0.991,9
12520,0.878,10
12520,0.961,17
12520,0.81,13
12520,0.71,11
12520,0.453,12
12520,0.287,14
12547,0.923,15
12547,0.685,16
12547,0.931,17
12547,0.838,11
12547,0.929,18
12547,0.787,9
12547,0.995,14
12547,0.978,8
12547,0.731,7
12547,0.606,10
12547,0.802,19
12608,0.676,12
12608,0.937,21
12608,0.707,19
12608,0.987,17
12608,0.986,9
12608,0.916,13
12608,0.995,10
12608,0.906,20
12608,0.728,18
12608,0.779,11
12608,0.981,8
12608,0.704,16
12608,0.414,7
12612,0.85,17
12612,0.739,16
12612,0.654,13
12612,0.765,12
12612,0.719,8
12612,0.944,10
12612,0.979,19
12612,0.977,14
12612,0.916,18
12612,0.81,11
12612,0.502,9
12683,0.96,18
12683,0.928,19
12683,0.867,9
12683,0.832,16
12683,0.927,7
12683,0.807,11
12683,0.91,10
12683,0.904,20
12683,0.935,12
12683,0.963,13
12683,0.572,17
12683,0.889,8
12683,0.194,15
12683,0.846,6
12717,0.988,16
12717,0.893,18
12717,0.831,10
12717,0.826,17
12717,0.693,11
12717,0.581,9
12717,0.974,14
12737,0.797,18
12737,0.961,17
12737,0.993,8
12737,0.728,9
12737,0.959,16
12737,0.961,11
12737,0.521,19
12828,0.945,8
12828,0.845,12
12828,0.823,16
12828,0.925,18
12828,0.883,6
12828,0.967,9
12828,0.99,14
12828,0.83,13
12828,0.968,7
12828,0.638,10
12828,0.533,15
12828,0.601,11
12830,0.877,16
12830,0.972,14
12830,0.971,9
12830,0.96,8
12830,0.722,7
12830,0.861,17
12830,0.717,12
12830,0.888,15
12830,0.69,10
12830,0.025,11
12830,0.4,6
12840,0.752,14
12840,0.905,9
12840,0.921,19
12840,0.905,10
12840,0.994,15
12840,0.822,18
12840,0.982,11
12840,0.643,17
12840,0.939,12
12840,0.169,16
12840,0.468,8
12878,0.767,10
12878,0.992,16
12878,0.892,11
12878,0.961,14
12878,0.871,17
12878,0.821,15
12878,0.973,13
12878,0.806,18
12878,0.913,9
12878,0.554,19
12878,0.724,7
12959,0.902,14
12959,0.994,8
12959,0.656,15
12959,0.668,7
12959,0.891,10
12959,0.73,16
12959,0.932,6
12959,0.884,9
12959,0.919,17
12959,0.829,18
12959,0.621,11
12971,0.356,19
12971,0.889,9
12971,0.788,11
12971,0.943,12
12971,0.679,17
12971,0.967,7
12971,0.99,8
12971,0.955,10
12971,0.976,16
12971,0.254,18
13044,0.902,7
13044,0.916,18
13044,0.763,12
13044,0.94,14
13044,0.84,9
13044,0.959,8
13044,0.337,13
13044,0.678,19
13044,0.957,20
13044,0.405,17
13061,0.657,13
13061,0.987,14
13061,0.991,21
13061,0.869,20
13061,0.984,17
13061,0.925,12
13061,0.945,9
13061,0.668,19
13061,0.934,10
13061,0.945,11
13061,0.38,18
13069,0.955,16
13069,0.485,17
13069,0.891,14
13069,0.919,20
13069,0.724,21
13069,0.984,18
13069,0.976,19
13069,0.851,15
13069,0.563,13
13069,0.951,22
13069,0.949,11
13069,0.471,10
13079,0.67,9
13079,0.926,20
13079,0.968,16
13079,0.996,18
13079,0.987,10
13079,0.937,15
13079,0.666,11
13079,0.695,17
13079,0.612,8
13079,0.381,14
13081,0.883,10
13081,0.939,7
13081,0.964,8
13081,0.948,18
13081,0.857,14
13081,0.813,19
13081,0.858,12
13081,0.995,17
13081,0.764,6
13081,0.817,11
13081,0.322,13
13128,0.868,18
13128,0.925,19
13128,0.917,17
13128,0.681,8
13128,0.849,16
13128,0.913,11
13128,0.818,9
13128,0.47,15
13128,0.349,10
13128,0.923,7
13131,0.988,11
13131,0.492,12
13131,0.997,18
13131,0.914,16
13131,0.963,10
13131,0.714,19
13131,0.924,8
13131,0.918,17
13131,0.764,9
13131,0.872,15
13142,0.611,7
13142,0.948,18
13142,0.902,9
13142,0.873,15
13142,0.986,11
13142,0.969,16
13142,0.974,8
13142,0.997,17
13142,0.798,10
13142,0.716,12
13142,0.879,14
13142,0.906,6
13191,0.975,19
13191,0.962,20
13191,0.992,14
13191,0.922,18
13191,0.979,9
13191,0.945,7
13191,0.915,8
13191,0.835,15
13191,0.976,11
13191,0.728,16
13191,0.99,10
13191,0.191,17
13191,0.775,6
13293,0.708,19
13293,0.798,20
13293,0.974,21
13293,0.786,18
13293,0.701,10
13293,0.867,17
13293,0.808,13
13293,0.254,16
13293,0.863,11
13304,0.872,9
13304,0.888,17
13304,0.699,18
13304,0.89,19
13304,0.759,8
13304,0.78,13
13304,0.944,14
13304,0.916,11
13304,0.905,20
13304,0.203,12
13304,0.754,10
13326,0.682,18
13326,0.911,19
13326,0.612,7
13326,0.966,14
13326,0.907,17
13326,0.867,10
13326,0.904,8
13326,0.755,13
13326,0.786,11
13326,0.971,12
13326,0.245,9
13326,0.551,6
13503,0.921,10
13503,0.838,11
13503,0.907,18
13503,0.781,17
13503,0.986,19
13503,0.936,12
13503,0.583,7
13503,0.941,13
13503,0.79,8
13503,0.878,9
13503,0.029,20
13604,0.788,18
13604,0.905,8
13604,0.836,9
13604,0.904,12
13604,0.878,17
13604,0.977,10
13604,0.954,13
13604,0.413,15
13604,0.742,11
13604,0.851,7
13604,0.591,19
13628,0.314,19
13628,0.999,16
13628,0.93,15
13628,0.995,10
13628,0.878,18
13628,0.454,14
13628,0.91,20
13628,0.974,9
13628,0.418,11
13648,0.395,19
13648,0.943,11
13648,0.997,18
13648,0.947,8
13648,0.85,10
13648,0.938,17
13648,0.989,9
13648,0.605,15
13648,0.874,14
13648,0.58,16
13648,0.15,7
911343,0.477,18
911343,0.915,16
911343,0.714,12
911343,0.744,11
911343,0.94,17
911343,0.93,14
911343,0.847,15
911343,0.962,8
911343,0.935,9
911343,0.755,10
911343,0.139,19
911401,0.541,10
911401,0.934,11
911401,0.853,9
911401,0.286,13
911401,0.926,14
911401,0.184,8
911401,0.627,12
911429,0.942,19
911429,0.967,17
911429,0.945,10
911429,0.997,13
911429,0.859,9
911429,0.961,18
911429,0.483,14
911429,0.697,12
911429,0.889,16
911429,0.618,8
911429,0.937,11
911429,0.874,20
13151,0.412,20
13151,0.9,15
13151,0.773,21
13151,0.918,9
13151,0.983,10
13151,0.893,8
13151,0.868,19
13151,0.763,16
13151,0.289,18
13151,0.77,17
13151,0.524,11
