id,months_age,time,dur_min,meaningful_min,distant_min,tv_min,noise_min,silence_min,AWC,CTC,CVC,sex,mom_ed,hi
11003,17m; 6d,8.05,4.433333333333334,00:00:39,00:00:33,00:00:01,00:00:00,00:03:13,98,1,1,1 female,16,59.5
11003,17m; 6d,8.1,5,00:00:56,00:00:58,00:00:01,00:00:01,00:03:04,66,3,18,1 female,16,59.5
11003,17m; 6d,8.15,5,00:01:24,00:00:36,00:00:10,00:00:00,00:02:50,118,10,27,1 female,16,59.5
11003,17m; 6d,8.2,5,00:01:35,00:01:18,00:00:00,00:00:05,00:02:02,216,6,10,1 female,16,59.5
11003,17m; 6d,8.25,5,00:01:05,00:00:27,00:00:00,00:00:00,00:03:28,134,6,8,1 female,16,59.5
11003,17m; 6d,8.3,5,00:01:26,00:00:15,00:00:00,00:00:01,00:03:18,143,12,35,1 female,16,59.5
11003,17m; 6d,8.35,5,00:01:30,00:00:43,00:00:00,00:00:01,00:02:46,147,9,33,1 female,16,59.5
11003,17m; 6d,8.4,5,00:01:45,00:00:43,00:00:01,00:00:01,00:02:30,196,9,25,1 female,16,59.5
11003,17m; 6d,8.45,5,00:02:09,00:00:29,00:00:00,00:00:02,00:02:20,291,17,30,1 female,16,59.5
11003,17m; 6d,8.5,5,00:02:03,00:00:20,00:00:00,00:00:00,00:02:37,258,16,40,1 female,16,59.5
11003,17m; 6d,8.55,5,00:02:47,00:00:26,00:00:00,00:00:02,00:01:45,441,19,33,1 female,16,59.5
11003,17m; 6d,9,5,00:01:46,00:00:25,00:00:04,00:00:02,00:02:43,197,15,42,1 female,16,59.5
11003,17m; 6d,9.05,5,00:01:13,00:01:29,00:00:01,00:00:04,00:02:13,81,2,24,1 female,16,59.5
11003,17m; 6d,9.1,5,00:02:16,00:01:18,00:00:01,00:00:08,00:01:17,155,7,33,1 female,16,59.5
11003,17m; 6d,9.15,5,00:03:01,00:00:59,00:00:01,00:00:04,00:00:55,324,6,14,1 female,16,59.5
11003,17m; 6d,9.2,5,00:02:16,00:01:23,00:00:00,00:00:05,00:01:16,465,4,8,1 female,16,59.5
11003,17m; 6d,9.25,5,00:02:43,00:00:41,00:00:02,00:00:00,00:01:34,334,6,11,1 female,16,59.5
11003,17m; 6d,9.3,5,00:02:28,00:00:51,00:00:03,00:00:00,00:01:38,202,3,7,1 female,16,59.5
11003,17m; 6d,9.35,5,00:01:22,00:01:08,00:00:05,00:00:06,00:02:19,137,4,9,1 female,16,59.5
11003,17m; 6d,9.4,5,00:01:04,00:01:43,00:00:00,00:00:04,00:02:09,173,1,2,1 female,16,59.5
11003,17m; 6d,9.45,5,00:01:35,00:01:16,00:00:00,00:00:04,00:02:05,204,3,4,1 female,16,59.5
11003,17m; 6d,9.5,5,00:02:30,00:02:07,00:00:00,00:00:01,00:00:22,368,12,17,1 female,16,59.5
11003,17m; 6d,9.55,5,00:01:11,00:01:14,00:01:08,00:00:00,00:01:27,184,0,0,1 female,16,59.5
11003,17m; 6d,10,5,00:01:07,00:01:18,00:00:00,00:00:03,00:02:32,73,6,25,1 female,16,59.5
11003,17m; 6d,10.05,5,00:01:57,00:01:30,00:00:01,00:00:01,00:01:31,286,3,21,1 female,16,59.5
11003,17m; 6d,10.1,5,00:01:49,00:01:09,00:00:00,00:00:01,00:02:01,277,3,4,1 female,16,59.5
11003,17m; 6d,10.15,5,00:03:36,00:00:20,00:00:03,00:00:01,00:01:00,667,2,3,1 female,16,59.5
11003,17m; 6d,10.2,5,00:01:39,00:02:13,00:00:01,00:00:11,00:00:56,240,13,22,1 female,16,59.5
11003,17m; 6d,10.25,5,00:01:00,00:01:56,00:00:02,00:01:24,00:00:38,83,4,9,1 female,16,59.5
11003,17m; 6d,10.3,5,00:01:02,00:02:28,00:00:00,00:01:07,00:00:23,97,5,12,1 female,16,59.5
11003,17m; 6d,10.35,5,00:00:31,00:03:19,00:00:00,00:00:20,00:00:50,29,0,11,1 female,16,59.5
