SUBJECT,Birthdate,Age,Sex,Date,Time,RecTime,Duration,Meaningful,Distant,TV,Noise,Silence,AWC,CTC,CVC,EXCLUDE,DNL,LogbookNaps,AWCNaps,Sleep
187,2015-12-22,14m; 20d,F,2017-03-14,1904-01-01 12:35:00,0,5,1462.0000578703705,1462.0000115740741,1462.0000115740741,1904-01-01 00:00:00,1462,16,0,0,1,NA,NA,NA,NA
187,2015-12-22,15m; 15d,F,2017-04-06,1904-01-01 18:25:00,5,15,1462.0001504629629,1462,1462,1904-01-01 00:00:00,1462.0000231481481,48,0,0,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,2015-12-22,15m; 16d,F,2017-04-07,1904-01-01 21:10:00,20,92,1462.0001388888888,1462.0001620370369,1462.0004166666668,1904-01-01 00:00:01,1462.0003356481482,31,0,0,1,NA,NA,NA,NA
187,2015-12-22,15m; 16d,F,2017-04-07,1904-01-01 21:15:00,112,199,1462.0004050925927,1462.0005902777777,1462.0008912037038,1904-01-01 00:00:01,1462.0004050925927,86,4,6,1,NA,NA,NA,NA
187,2015-12-22,15m; 16d,F,2017-04-07,1904-01-01 21:20:00,311,218,1462.0008101851852,1462.0000347222222,0:00:54,1904-01-01 00:00:00,1462.0010532407407,186,2,2,1,NA,NA,NA,NA
187,2015-12-22,15m; 16d,F,2017-04-07,1904-01-01 21:25:00,529,300,1462.0013310185186,1462.0000462962962,1462.0005555555556,1904-01-01 00:00:06,1462.0014699074075,307,6,11,1,NA,NA,NA,NA
187,2015-12-22,15m; 16d,F,2017-04-07,1904-01-01 21:30:00,829,300,1462.0012268518519,1462.0002199074074,1462.0006365740742,1904-01-01 00:00:07,1462.0013078703703,218,5,6,1,NA,NA,NA,NA
187,2015-12-22,15m; 16d,F,2017-04-07,1904-01-01 21:35:00,1129,300,1462.0007986111111,1462.0001157407407,1462.0014467592594,1904-01-01 00:00:00,1462.0011111111112,161,3,3,1,NA,NA,NA,NA
187,2015-12-22,15m; 16d,F,2017-04-07,1904-01-01 21:40:00,1429,300,1462.0009143518519,1462.0002199074074,1462.0007986111111,1904-01-01 00:00:01,1462.0015277777777,237,3,4,1,NA,NA,NA,NA
187,2015-12-22,15m; 16d,F,2017-04-07,1904-01-01 21:45:00,1729,256,1462.0009027777778,1462.0001273148148,1462.0009375,1904-01-01 00:00:06,1462.0009259259259,92,4,19,1,NA,NA,NA,NA
187,2015-12-22,15m; 16d,F,2017-04-07,1904-01-01 21:50:00,1985,300,1462.0007523148149,1462.0007523148149,1462,1904-01-01 00:00:09,1462.0018634259259,146,5,9,1,NA,NA,NA,NA
187,2015-12-22,15m; 16d,F,2017-04-07,1904-01-01 21:55:00,2285,300,1462.0006481481482,1462.0006597222223,1462,1904-01-01 00:01:18,1462.0012615740741,88,7,15,1,NA,NA,NA,NA
187,2015-12-22,15m; 16d,F,2017-04-07,1904-01-01 22:00:00,2585,88,1462.000289351852,1462.000289351852,1462,1904-01-01 00:00:00,1462.0004398148149,27,1,1,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,2015-12-22,15m; 17d,F,2017-04-08,1904-01-01 12:00:00,2673,220,1462.0010069444445,1462.0001157407407,1462.0006597222223,1904-01-01 00:00:00,1462.000763888889,232,7,15,NA,NA,NA,NA,NA
187,2015-12-22,15m; 17d,F,2017-04-08,1904-01-01 12:05:00,2893,300,1462.0011805555555,1462.0005092592592,1462,1904-01-01 00:00:08,1462.0016898148149,100,8,25,NA,NA,NA,NA,NA
187,2015-12-22,15m; 17d,F,2017-04-08,1904-01-01 12:10:00,3193,300,1462.0010416666667,1462.0005555555556,1462,1904-01-01 00:00:05,1462.0018171296297,139,4,21,NA,NA,NA,NA,NA
187,2015-12-22,15m; 17d,F,2017-04-08,1904-01-01 12:15:00,3493,300,1462.0008912037038,1462.0001967592593,1462,1904-01-01 00:00:04,1462.0023379629629,191,8,14,NA,NA,NA,NA,NA
187,2015-12-22,15m; 17d,F,2017-04-08,1904-01-01 12:20:00,3793,300,1462.0009722222221,1462.0001967592593,1462,1904-01-01 00:00:00,1462.0023032407407,254,7,13,NA,NA,NA,NA,NA
187,2015-12-22,15m; 17d,F,2017-04-08,1904-01-01 12:25:00,4093,300,1462.0010300925926,1462.0002083333334,1462.0000115740741,1904-01-01 00:00:03,1462.0021875,193,11,24,NA,NA,NA,NA,NA
