X1,AWC,CTC,CVC,noise,silence,distant,tv,meaningful,xgb_pred,CDSpred,language,SUBJECT,Time
5372,22.1052631578947,0.225563909774436,0.225563909774436,0,0.725563909774436,0.12406015037594,0.0037593984962406,0.146616541353383,0.646931529045105,1,English,11003,8.05
5373,13.2,0.6,3.6,0.00333333333333333,0.613333333333333,0.193333333333333,0.00333333333333333,0.186666666666667,0.760859370231628,1,English,11003,8.1
5374,23.6,2,5.4,0,0.566666666666667,0.12,0.0333333333333333,0.28,0.827879369258881,1,English,11003,8.15
5375,43.2,1.2,2,0.0166666666666667,0.406666666666667,0.26,0,0.316666666666667,0.545976579189301,1,English,11003,8.2
5376,26.8,1.2,1.6,0,0.693333333333333,0.09,0,0.216666666666667,0.816987037658691,1,English,11003,8.25
5377,28.6,2.4,7,0.00333333333333333,0.66,0.05,0,0.286666666666667,0.878350913524628,1,English,11003,8.3
5378,29.4,1.8,6.6,0.00333333333333333,0.553333333333333,0.143333333333333,0,0.3,0.7900470495224,1,English,11003,8.35
5379,39.2,1.8,5,0.00333333333333333,0.5,0.143333333333333,0.00333333333333333,0.35,0.854268372058868,1,English,11003,8.4
5380,58.2,3.4,6,0.00666666666666667,0.466666666666667,0.0966666666666667,0,0.43,0.937099695205688,1,English,11003,8.45
5381,51.6,3.2,8,0,0.523333333333333,0.0666666666666667,0,0.41,0.924506962299347,1,English,11003,8.5
5382,88.2,3.8,6.6,0.00666666666666667,0.35,0.0866666666666667,0,0.556666666666667,0.846319675445557,1,English,11003,8.55
5383,39.4,3,8.4,0.00666666666666667,0.543333333333333,0.0833333333333333,0.0133333333333333,0.353333333333333,0.89790153503418,1,English,11003,9
5385,31,1.4,6.6,0.0266666666666667,0.256666666666667,0.26,0.00333333333333333,0.453333333333333,0.751960635185242,1,English,11003,9.1
5386,64.8,1.2,2.8,0.0133333333333333,0.183333333333333,0.196666666666667,0.00333333333333333,0.603333333333333,0.528403878211975,1,English,11003,9.15
