SUBJECT,RecTime,Time,EXCLUDE,DNL,Sleep,AWC,CTC,CVC,dur_5min,meaningful_5min,tv_5min,noise_5min,silence_5min,distant_5min
187,2673,12,0,0,0,232,7,15,3.6666666666666665,1.45,0.95,0,1.1,0.16666666666666666
187,2893,12.05,0,0,0,100,8,25,5,1.7,0,0.13333333333333333,2.433333333333333,0.7333333333333333
187,3193,12.1,0,0,0,139,4,21,5,1.5,0,0.08333333333333333,2.6166666666666667,0.8
187,3493,12.15,0,0,0,191,8,14,5,1.2833333333333334,0,0.06666666666666667,3.3666666666666667,0.2833333333333333
187,3793,12.2,0,0,0,254,7,13,5,1.4,0,0,3.316666666666667,0.2833333333333333
187,4093,12.25,0,0,0,193,11,24,5,1.4833333333333334,0.016666666666666666,0.05,3.15,0.3
187,4393,12.3,0,0,0,220,9,18,5,1.3166666666666667,0,0,3.2666666666666666,0.4166666666666667
187,4693,12.35,0,0,0,212,12,30,5,1.5333333333333334,0.16666666666666666,0.08333333333333333,2.8833333333333333,0.3333333333333333
187,4993,12.4,0,0,0,282,11,28,5,1.9833333333333334,0.13333333333333333,0.18333333333333332,2.1,0.6
187,5293,12.45,0,0,0,197,9,25,5,1.4833333333333334,0,0.18333333333333332,2.9166666666666665,0.4166666666666667
187,5593,12.5,0,0,0,347,12,17,5,1.8833333333333333,0.15,0.18333333333333332,2.183333333333333,0.6
187,5893,12.55,0,0,0,122,1,4,5,1.4166666666666667,0.05,0.016666666666666666,0.25,3.2666666666666666
187,6193,13,0,0,0,224,7,14,5,1.6,0.26666666666666666,0.016666666666666666,2.716666666666667,0.4
187,6493,13.05,0,0,0,93,1,2,5,0.8333333333333334,0.13333333333333333,0.11666666666666667,3.6333333333333333,0.2833333333333333
187,6793,13.1,0,0,0,174,6,12,5,1.0833333333333333,0.06666666666666667,0.4,2.9166666666666665,0.5333333333333333
187,7093,13.15,0,0,0,143,4,20,5,1.6666666666666667,0.016666666666666666,0.7833333333333333,1.2666666666666666,1.2666666666666666
187,7393,13.2,0,0,0,73,3,5,5,0.38333333333333336,2.6333333333333333,0.016666666666666666,1.7166666666666666,0.25
187,7693,13.25,0,0,0,0,0,3,5,0.03333333333333333,4.7,0,0.25,0.016666666666666666
187,7993,13.3,0,0,0,29,1,5,5,0.2833333333333333,2.2333333333333334,0.06666666666666667,1.4,1.0166666666666666
187,8293,13.35,0,0,0,45,1,2,5,0.38333333333333336,0,0.08333333333333333,2.9833333333333334,1.55
187,8593,13.4,0,0,0,41,4,9,5,0.5333333333333333,0,0.05,3.1,1.3166666666666667
187,8893,13.45,0,0,0,78,5,29,5,1.05,1.6166666666666667,0.11666666666666667,1.7166666666666666,0.5
187,9193,13.5,0,0,0,0,0,2,5,0.18333333333333332,3.15,0.016666666666666666,1.3833333333333333,0.26666666666666666
187,9493,13.55,0,0,0,0,0,0,5,0,2.5166666666666666,0,2.3833333333333333,0.1
187,9793,14,0,0,0,74,4,16,5,0.65,0,0.05,2.65,1.65
187,10093,14.05,0,0,0,14,0,7,5,0.26666666666666666,0,0.016666666666666666,2.25,2.466666666666667
187,10393,14.1,0,0,0,78,1,3,5,0.7333333333333333,1.0833333333333333,0.06666666666666667,1.7333333333333334,1.3833333333333333
187,10693,14.15,0,0,0,0,0,0,5,0,4.866666666666666,0,0.13333333333333333,0
187,10993,14.2,0,0,0,106,3,4,5,0.5166666666666667,3.7333333333333334,0,0.25,0.5
187,11293,14.25,0,0,0,46,4,5,5,0.3333333333333333,1.5333333333333334,0,2.5,0.6333333333333333
187,11593,14.3,0,0,0,162,8,22,5,1.2166666666666666,0.05,0.35,2.15,1.2333333333333334
187,11893,14.35,0,0,0,99,7,26,5,1.5166666666666666,0,0.36666666666666664,2.433333333333333,0.6833333333333333
187,12193,14.4,0,0,0,102,3,5,5,0.65,0,0.25,2.9166666666666665,1.1833333333333333
187,12493,14.45,0,0,0,22,1,2,5,0.36666666666666664,1.8666666666666667,0.11666666666666667,2.3666666666666667,0.2833333333333333
187,12793,14.5,0,0,0,102,5,9,5,0.55,0.9166666666666666,0.03333333333333333,2.566666666666667,0.9333333333333333
187,13093,14.55,0,0,0,162,8,25,5,1.1166666666666667,0,0.11666666666666667,2.6666666666666665,1.1
